,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A003670,포스코케미칼,20210827,215930,-62987,28458
1,A003670,포스코케미칼,20210826,234977,-50640,-1610
2,A003670,포스코케미칼,20210825,174163,13551,-2988
3,A003670,포스코케미칼,20210824,418462,-147835,-83366
4,A003670,포스코케미칼,20210823,416472,-130233,-99221
5,A003670,포스코케미칼,20210820,380457,-83525,-111259
6,A003670,포스코케미칼,20210819,313034,-22311,-108050
7,A003670,포스코케미칼,20210818,327726,-3898,-135288
8,A003670,포스코케미칼,20210817,389131,-19286,-180902
9,A003670,포스코케미칼,20210813,338059,60900,-219019
10,A003670,포스코케미칼,20210812,356338,84438,-250115
11,A003670,포스코케미칼,20210811,320573,78643,-209038
12,A003670,포스코케미칼,20210810,323464,82474,-215717
13,A003670,포스코케미칼,20210809,252157,135457,-200107
14,A003670,포스코케미칼,20210806,179467,137299,-129121
15,A003670,포스코케미칼,20210805,181096,135960,-127733
16,A003670,포스코케미칼,20210804,271894,90818,-172345
17,A003670,포스코케미칼,20210803,308764,79065,-201004
18,A003670,포스코케미칼,20210802,303569,69504,-185272
19,A003670,포스코케미칼,20210730,316456,80033,-206417
20,A003670,포스코케미칼,20210729,315702,103351,-227878
21,A003670,포스코케미칼,20210728,371164,84683,-264883
22,A003670,포스코케미칼,20210727,415594,68537,-293112
23,A003670,포스코케미칼,20210726,390605,65127,-267223
24,A003670,포스코케미칼,20210723,347981,66451,-226272
25,A003670,포스코케미칼,20210722,314689,81654,-218738
26,A003670,포스코케미칼,20210721,312200,117076,-252614
27,A003670,포스코케미칼,20210720,298023,148421,-269446
28,A003670,포스코케미칼,20210719,115935,332604,-273430
29,A003670,포스코케미칼,20210716,131218,282902,-237995
30,A003670,포스코케미칼,20210715,137508,233749,-197883
31,A003670,포스코케미칼,20210714,87872,205409,-117254
32,A003670,포스코케미칼,20210713,94948,155781,-92773
33,A003670,포스코케미칼,20210712,-33156,239096,-37025
34,A003670,포스코케미칼,20210709,-3454,325166,-132225
35,A003670,포스코케미칼,20210708,-115849,460904,-152966
36,A003670,포스코케미칼,20210707,449957,119398,-379231
37,A003670,포스코케미칼,20210706,510692,22947,-343599
38,A003670,포스코케미칼,20210705,563641,-42707,-330438
39,A003670,포스코케미칼,20210702,563167,-43470,-333644
40,A003670,포스코케미칼,20210701,478940,40155,-332300
41,A003670,포스코케미칼,20210630,593012,-93406,-310969
42,A003670,포스코케미칼,20210629,557577,-88026,-280064
43,A003670,포스코케미칼,20210628,555762,-79609,-285809
44,A003670,포스코케미칼,20210625,482108,-47437,-244159
45,A003670,포스코케미칼,20210624,452002,-9113,-252599
46,A003670,포스코케미칼,20210623,326615,90706,-225069
47,A003670,포스코케미칼,20210622,423037,-19561,-212016
48,A003670,포스코케미칼,20210621,371594,43274,-222072
49,A003670,포스코케미칼,20210618,310029,109087,-225288
50,A003670,포스코케미칼,20210617,366828,94356,-265665
51,A003670,포스코케미칼,20210616,394199,55004,-256237
52,A003670,포스코케미칼,20210615,384604,62699,-254447
53,A003670,포스코케미칼,20210614,305841,132818,-244720
54,A003670,포스코케미칼,20210611,352903,85398,-246771
55,A003670,포스코케미칼,20210610,276998,-11858,-190580
56,A003670,포스코케미칼,20210609,307340,-46207,-184455
57,A003670,포스코케미칼,20210608,310128,-33302,-204541
58,A003670,포스코케미칼,20210607,271478,-3727,-193086
59,A003670,포스코케미칼,20210604,294949,-2026,-218132
60,A003670,포스코케미칼,20210603,270582,14351,-208002
61,A003670,포스코케미칼,20210602,298115,-4410,-223320
62,A003670,포스코케미칼,20210601,169618,-7895,-193930
63,A003670,포스코케미칼,20210531,176647,767,-206739
64,A003670,포스코케미칼,20210528,89067,56719,-172069
65,A003670,포스코케미칼,20210527,74078,74822,-174075
66,A003670,포스코케미칼,20210526,98221,57643,-182603
67,A003670,포스코케미칼,20210525,136309,42401,-208610
68,A003670,포스코케미칼,20210524,178265,25222,-230245
69,A003670,포스코케미칼,20210521,178878,33995,-240117
70,A003670,포스코케미칼,20210520,182287,46439,-255172
71,A003670,포스코케미칼,20210518,180931,36542,-246737
72,A003670,포스코케미칼,20210517,232386,3320,-264782
73,A003670,포스코케미칼,20210514,188117,22983,-239545
74,A003670,포스코케미칼,20210513,188064,27521,-240114
75,A003670,포스코케미칼,20210512,186156,9634,-213928
76,A003670,포스코케미칼,20210511,195196,-582,-215054
77,A003670,포스코케미칼,20210510,76889,79734,-173199
78,A003670,포스코케미칼,20210507,98930,81758,-200212
79,A003670,포스코케미칼,20210506,84611,94848,-197921
80,A003670,포스코케미칼,20210504,25030,144944,-186953
81,A003670,포스코케미칼,20210503,57028,160083,-232986
82,A003670,포스코케미칼,20210430,-12352,225879,-230232
83,A003670,포스코케미칼,20210429,5671,207653,-238353
84,A003670,포스코케미칼,20210428,-28204,227073,-223149
85,A003670,포스코케미칼,20210427,-46137,224926,-207006
86,A003670,포스코케미칼,20210426,-261650,333263,-93788
87,A003670,포스코케미칼,20210423,-192193,261873,-95451
88,A003670,포스코케미칼,20210422,-226558,273549,-78304
89,A003670,포스코케미칼,20210421,-313048,327603,-49007
90,A003670,포스코케미칼,20210420,-267486,300299,-56519
91,A003670,포스코케미칼,20210419,-178287,238385,-83062
92,A003670,포스코케미칼,20210416,-258865,303634,-62429
93,A003670,포스코케미칼,20210415,-247765,305492,-74649
94,A003670,포스코케미칼,20210414,-245463,309357,-77101
95,A003670,포스코케미칼,20210413,-189713,256112,-77516
96,A003670,포스코케미칼,20210412,-351701,397668,-55746
97,A003670,포스코케미칼,20210409,-141457,186405,-54252
98,A003670,포스코케미칼,20210408,-116879,181437,-73376
99,A003670,포스코케미칼,20210407,-183788,159738,23301
100,A003670,포스코케미칼,20210406,-74032,121566,-48811
101,A003670,포스코케미칼,20210405,-149804,156299,-4080
102,A003670,포스코케미칼,20210402,-60566,106307,-41890
103,A003670,포스코케미칼,20210401,-12635,101815,-84856
104,A003670,포스코케미칼,20210331,-45941,128392,-79724
105,A003670,포스코케미칼,20210330,-64888,153439,-84877
106,A003670,포스코케미칼,20210329,80766,52343,-131038
107,A003670,포스코케미칼,20210326,114991,39863,-152347
108,A003670,포스코케미칼,20210325,115533,41623,-154611
109,A003670,포스코케미칼,20210324,90684,56230,-144811
110,A003670,포스코케미칼,20210323,205142,-1935,-199536
111,A003670,포스코케미칼,20210322,182106,4605,-182930
112,A003670,포스코케미칼,20210319,137528,28689,-164926
113,A003670,포스코케미칼,20210318,171686,-40497,-130630
114,A003670,포스코케미칼,20210317,136999,-26360,-108415
115,A003670,포스코케미칼,20210316,58025,-44923,-12312
116,A003670,포스코케미칼,20210315,-13264,-26909,37768
117,A003670,포스코케미칼,20210312,-4567,-17744,24607
118,A003670,포스코케미칼,20210311,-62270,36095,29306
