,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A017810,풀무원,20210827,933031,96690,-1064733
1,A017810,풀무원,20210826,933246,103368,-1071682
2,A017810,풀무원,20210825,899935,109642,-1055047
3,A017810,풀무원,20210824,890798,118370,-1054596
4,A017810,풀무원,20210823,886758,126328,-1062439
5,A017810,풀무원,20210820,868713,124039,-1046937
6,A017810,풀무원,20210819,849697,95762,-998022
7,A017810,풀무원,20210818,755770,99413,-908457
8,A017810,풀무원,20210817,740062,49646,-839912
9,A017810,풀무원,20210813,699214,43152,-795452
10,A017810,풀무원,20210812,652488,36247,-740844
11,A017810,풀무원,20210811,633888,37076,-723688
12,A017810,풀무원,20210810,583836,34467,-670101
13,A017810,풀무원,20210809,584581,28249,-664390
14,A017810,풀무원,20210806,531494,38757,-621431
15,A017810,풀무원,20210805,525300,32980,-610697
16,A017810,풀무원,20210804,505470,23053,-580722
17,A017810,풀무원,20210803,494325,12612,-558899
18,A017810,풀무원,20210802,429123,12941,-493610
19,A017810,풀무원,20210730,431290,13619,-496502
20,A017810,풀무원,20210729,432964,17290,-503169
21,A017810,풀무원,20210728,425648,15847,-490262
22,A017810,풀무원,20210727,424081,19355,-492563
23,A017810,풀무원,20210726,423585,19988,-488684
24,A017810,풀무원,20210723,426990,20054,-490769
25,A017810,풀무원,20210722,405420,9307,-458368
26,A017810,풀무원,20210721,370530,5993,-419944
27,A017810,풀무원,20210720,370375,1255,-414908
28,A017810,풀무원,20210719,344360,5232,-391796
29,A017810,풀무원,20210716,356120,6116,-405512
30,A017810,풀무원,20210715,352266,21448,-417191
31,A017810,풀무원,20210714,318458,21514,-382794
32,A017810,풀무원,20210713,313728,23878,-376043
33,A017810,풀무원,20210712,287539,24720,-350557
34,A017810,풀무원,20210709,276492,31977,-346640
35,A017810,풀무원,20210708,269370,39670,-346817
36,A017810,풀무원,20210707,246158,50234,-334449
37,A017810,풀무원,20210706,222804,60424,-321225
38,A017810,풀무원,20210705,208759,68133,-313870
