,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A075130,플랜티넷,20210827,-65812,89332,-7357
1,A075130,플랜티넷,20210826,-77152,104080,-10713
2,A075130,플랜티넷,20210825,-75022,101174,-9987
3,A075130,플랜티넷,20210824,-42482,68344,-9697
4,A075130,플랜티넷,20210823,18501,8341,-9089
5,A075130,플랜티넷,20210820,66134,-31667,-9174
6,A075130,플랜티넷,20210819,164387,-128202,-10889
7,A075130,플랜티넷,20210818,-110154,136441,-2713
8,A075130,플랜티넷,20210817,-104572,130638,-613
9,A075130,플랜티넷,20210813,-181300,205139,1714
10,A075130,플랜티넷,20210812,-126446,151039,1001
11,A075130,플랜티넷,20210811,-114280,139878,-4
12,A075130,플랜티넷,20210810,-112065,135607,2112
13,A075130,플랜티넷,20210809,-79603,106074,-882
14,A075130,플랜티넷,20210806,-103903,130584,-1122
15,A075130,플랜티넷,20210805,-91549,119244,-2110
16,A075130,플랜티넷,20210804,-100181,127891,-2110
17,A075130,플랜티넷,20210803,-97291,126008,-3107
18,A075130,플랜티넷,20210802,-25230,57472,-6624
19,A075130,플랜티넷,20210730,-1603,32876,-6624
20,A075130,플랜티넷,20210729,18140,14875,-8316
21,A075130,플랜티넷,20210728,55968,-27901,-3666
22,A075130,플랜티넷,20210727,25011,611,-1585
23,A075130,플랜티넷,20210726,11947,17234,-3989
24,A075130,플랜티넷,20210723,61868,-30354,-6462
25,A075130,플랜티넷,20210722,50902,-18024,-7647
26,A075130,플랜티넷,20210721,35587,2853,-11934
27,A075130,플랜티넷,20210720,52832,-11162,-14239
28,A075130,플랜티넷,20210719,103675,-57630,-18995
29,A075130,플랜티넷,20210716,91835,-44726,-20689
30,A075130,플랜티넷,20210715,67857,-30372,-12500
31,A075130,플랜티넷,20210714,96320,-51883,-19355
32,A075130,플랜티넷,20210713,79323,-32599,-19648
33,A075130,플랜티넷,20210712,-53810,103998,-20730
34,A075130,플랜티넷,20210709,-124808,158729,-6544
35,A075130,플랜티넷,20210708,46697,5065,-22402
36,A075130,플랜티넷,20210707,125472,-72227,-24144
37,A075130,플랜티넷,20210706,199794,-155114,-23948
38,A075130,플랜티넷,20210705,232746,-177641,-25469
39,A075130,플랜티넷,20210702,182785,-145594,-8135
40,A075130,플랜티넷,20210701,172898,-151772,4245
41,A075130,플랜티넷,20210630,172714,-152188,4567
42,A075130,플랜티넷,20210629,186134,-160422,4245
43,A075130,플랜티넷,20210628,170858,-154374,13602
44,A075130,플랜티넷,20210625,-121258,114782,27640
45,A075130,플랜티넷,20210624,-25666,36469,14672
46,A075130,플랜티넷,20210623,41517,-46949,30969
47,A075130,플랜티넷,20210622,-135409,146773,15004
48,A075130,플랜티넷,20210621,-151930,164036,15004
49,A075130,플랜티넷,20210618,-86092,101336,13344
50,A075130,플랜티넷,20210617,-103964,119235,13344
51,A075130,플랜티넷,20210616,-85705,100771,13344
52,A075130,플랜티넷,20210615,-78263,93390,13344
53,A075130,플랜티넷,20210614,-97769,103377,13344
54,A075130,플랜티넷,20210611,-108522,114188,13344
55,A075130,플랜티넷,20210610,-117521,122212,14273
56,A075130,플랜티넷,20210609,-106903,111768,14273
57,A075130,플랜티넷,20210608,-127198,132178,14273
58,A075130,플랜티넷,20210607,-126521,131263,14273
59,A075130,플랜티넷,20210604,-162850,157182,24661
