,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A002230,피에스텍,20210827,33959,-107025,35627
1,A002230,피에스텍,20210826,41148,-114214,35627
2,A002230,피에스텍,20210825,37549,-110615,35627
3,A002230,피에스텍,20210824,35821,-109087,35627
4,A002230,피에스텍,20210823,35037,-108303,35627
5,A002230,피에스텍,20210820,34955,-108221,35627
6,A002230,피에스텍,20210819,34514,-106780,35627
7,A002230,피에스텍,20210818,39678,-110102,35627
8,A002230,피에스텍,20210817,41491,-111915,35627
9,A002230,피에스텍,20210813,40016,-110440,35627
10,A002230,피에스텍,20210812,35175,-104599,35627
11,A002230,피에스텍,20210811,35338,-104762,35627
12,A002230,피에스텍,20210810,36190,-103114,35627
13,A002230,피에스텍,20210809,36260,-103184,35627
14,A002230,피에스텍,20210806,36852,-103776,35627
15,A002230,피에스텍,20210805,30158,-97082,35627
16,A002230,피에스텍,20210804,31349,-98273,35627
17,A002230,피에스텍,20210803,38090,-106634,35627
18,A002230,피에스텍,20210802,31345,-99889,35627
19,A002230,피에스텍,20210730,37211,-105755,35627
20,A002230,피에스텍,20210729,35811,-105320,35627
21,A002230,피에스텍,20210728,38474,-106047,32627
22,A002230,피에스텍,20210727,30264,-98012,32627
23,A002230,피에스텍,20210726,39596,-107344,32627
24,A002230,피에스텍,20210723,41515,-108615,29627
25,A002230,피에스텍,20210722,49335,-124744,29627
26,A002230,피에스텍,20210721,43489,-118898,29627
27,A002230,피에스텍,20210720,33960,-111688,29627
28,A002230,피에스텍,20210719,27736,-101467,25487
29,A002230,피에스텍,20210716,93381,-131454,-136
30,A002230,피에스텍,20210715,63498,-102944,-373
31,A002230,피에스텍,20210714,76464,-114619,-373
32,A002230,피에스텍,20210713,38205,-76366,-373
33,A002230,피에스텍,20210712,34804,-72965,-373
34,A002230,피에스텍,20210709,33303,-71740,-97
35,A002230,피에스텍,20210708,38184,-76621,-97
36,A002230,피에스텍,20210707,24204,-62641,-97
37,A002230,피에스텍,20210706,23288,-61725,-97
38,A002230,피에스텍,20210705,20893,-59427,0
39,A002230,피에스텍,20210702,19926,-58460,0
40,A002230,피에스텍,20210701,16435,-54969,0
41,A002230,피에스텍,20210630,11975,-50509,0
42,A002230,피에스텍,20210629,8825,-47358,0
43,A002230,피에스텍,20210628,15264,-53697,0
44,A002230,피에스텍,20210625,7289,-45733,0
45,A002230,피에스텍,20210624,3939,-42394,11
46,A002230,피에스텍,20210623,659,-39103,0
47,A002230,피에스텍,20210622,-7325,-31119,0
48,A002230,피에스텍,20210621,-27547,-10887,0
49,A002230,피에스텍,20210618,-33544,-4890,0
50,A002230,피에스텍,20210617,-21071,-17343,0
51,A002230,피에스텍,20210616,-19564,-19350,0
52,A002230,피에스텍,20210615,-13117,-25807,10
53,A002230,피에스텍,20210614,-15529,-23284,0
54,A002230,피에스텍,20210611,-21850,-18476,0
55,A002230,피에스텍,20210610,-4536,-35790,0
56,A002230,피에스텍,20210609,4722,-45699,0
57,A002230,피에스텍,20210608,-849,-40128,0
58,A002230,피에스텍,20210607,7596,-46968,0
59,A002230,피에스텍,20210604,20595,-60246,0
60,A002230,피에스텍,20210603,35448,-75079,0
61,A002230,피에스텍,20210602,34987,-74618,0
62,A002230,피에스텍,20210601,37444,-76795,0
63,A002230,피에스텍,20210531,44298,-83647,0
64,A002230,피에스텍,20210528,44272,-83954,0
65,A002230,피에스텍,20210527,41267,-80918,0
66,A002230,피에스텍,20210526,29850,-69427,0
67,A002230,피에스텍,20210525,35288,-74845,0
68,A002230,피에스텍,20210524,35102,-74711,0
69,A002230,피에스텍,20210521,30021,-72630,0
70,A002230,피에스텍,20210520,29163,-72100,0
71,A002230,피에스텍,20210518,27923,-70822,0
72,A002230,피에스텍,20210517,89636,-129558,0
73,A002230,피에스텍,20210514,84607,-124529,0
74,A002230,피에스텍,20210513,90302,-130224,0
75,A002230,피에스텍,20210512,93930,-133852,0
76,A002230,피에스텍,20210511,94786,-134709,0
77,A002230,피에스텍,20210510,96032,-135955,0
78,A002230,피에스텍,20210507,103282,-143235,0
79,A002230,피에스텍,20210506,108451,-149215,0
80,A002230,피에스텍,20210504,111325,-152138,0
81,A002230,피에스텍,20210503,110653,-151466,0
82,A002230,피에스텍,20210430,116205,-157018,0
83,A002230,피에스텍,20210429,114631,-155384,0
84,A002230,피에스텍,20210428,119378,-160064,0
85,A002230,피에스텍,20210427,116978,-158059,0
86,A002230,피에스텍,20210426,112539,-153523,0
87,A002230,피에스텍,20210423,112888,-153966,0
88,A002230,피에스텍,20210422,124734,-165812,0
89,A002230,피에스텍,20210421,125639,-166717,0
90,A002230,피에스텍,20210420,115113,-156321,0
91,A002230,피에스텍,20210419,125887,-162374,0
92,A002230,피에스텍,20210416,144150,-166467,0
