,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A043370,피에이치에이,20210827,25597,-9415,-32897
1,A043370,피에이치에이,20210826,25904,-13186,-29483
2,A043370,피에이치에이,20210825,41327,-28245,-29937
3,A043370,피에이치에이,20210824,28235,-17982,-27098
4,A043370,피에이치에이,20210823,48149,-33906,-29777
5,A043370,피에이치에이,20210820,62683,-33837,-37566
6,A043370,피에이치에이,20210819,49811,-17877,-40594
7,A043370,피에이치에이,20210818,37308,-6147,-40721
8,A043370,피에이치에이,20210817,42455,-9512,-42503
9,A043370,피에이치에이,20210813,39006,-6801,-41912
10,A043370,피에이치에이,20210812,29654,2693,-42977
11,A043370,피에이치에이,20210811,37704,-5622,-42897
12,A043370,피에이치에이,20210810,33184,-4545,-39454
13,A043370,피에이치에이,20210809,20144,1110,-32113
14,A043370,피에이치에이,20210806,32337,-1796,-41460
15,A043370,피에이치에이,20210805,26119,1258,-38191
16,A043370,피에이치에이,20210804,16804,13513,-41178
17,A043370,피에이치에이,20210803,20257,5254,-35902
18,A043370,피에이치에이,20210802,16299,3432,-30100
19,A043370,피에이치에이,20210730,8633,7031,-26033
20,A043370,피에이치에이,20210729,19003,-1933,-27433
21,A043370,피에이치에이,20210728,13523,5426,-29312
22,A043370,피에이치에이,20210727,14414,5316,-29993
23,A043370,피에이치에이,20210726,11677,7075,-28746
24,A043370,피에이치에이,20210723,-2256,20927,-29163
25,A043370,피에이치에이,20210722,-8992,27362,-28397
26,A043370,피에이치에이,20210721,-15158,35758,-30182
27,A043370,피에이치에이,20210720,-29739,49532,-26915
28,A043370,피에이치에이,20210719,-41343,59990,-25714
29,A043370,피에이치에이,20210716,-55290,70164,-21794
30,A043370,피에이치에이,20210715,-41298,73092,-38660
31,A043370,피에이치에이,20210714,-44686,78274,-39514
32,A043370,피에이치에이,20210713,-53894,88777,-39608
33,A043370,피에이치에이,20210712,-62668,98483,-39358
34,A043370,피에이치에이,20210709,-60476,98005,-41330
35,A043370,피에이치에이,20210708,-44962,82113,-40544
36,A043370,피에이치에이,20210707,-44360,79403,-39034
37,A043370,피에이치에이,20210706,-52443,85576,-38852
38,A043370,피에이치에이,20210705,-49952,82656,-38431
39,A043370,피에이치에이,20210702,-44744,75874,-36655
40,A043370,피에이치에이,20210701,-89504,66557,19523
41,A043370,피에이치에이,20210630,-92087,63514,27586
42,A043370,피에이치에이,20210629,-107963,66989,38617
43,A043370,피에이치에이,20210628,-149263,108983,38928
44,A043370,피에이치에이,20210625,-217123,176098,39351
