,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A126700,하이비젼시스템,20210827,-1259583,88162,1137094
1,A126700,하이비젼시스템,20210826,-1296246,96192,1164569
2,A126700,하이비젼시스템,20210825,-1357092,55164,1270443
3,A126700,하이비젼시스템,20210824,-1522187,131937,1359524
4,A126700,하이비젼시스템,20210823,-1488326,58472,1398848
5,A126700,하이비젼시스템,20210820,-1278900,23379,1249744
6,A126700,하이비젼시스템,20210819,-1238246,41867,1196777
7,A126700,하이비젼시스템,20210818,-1500902,48777,1426324
8,A126700,하이비젼시스템,20210817,-1706560,213322,1431989
9,A126700,하이비젼시스템,20210813,-1301678,244042,946965
10,A126700,하이비젼시스템,20210812,-1321910,256687,968159
11,A126700,하이비젼시스템,20210811,-1349452,295882,963380
12,A126700,하이비젼시스템,20210810,-1405586,332166,986918
13,A126700,하이비젼시스템,20210809,-1432719,351032,997406
14,A126700,하이비젼시스템,20210806,-1510207,421145,1001330
15,A126700,하이비젼시스템,20210805,-1443640,373424,985474
16,A126700,하이비젼시스템,20210804,-1428661,358763,978136
17,A126700,하이비젼시스템,20210803,-1420810,352730,974811
18,A126700,하이비젼시스템,20210802,-1567482,411550,1057224
19,A126700,하이비젼시스템,20210730,-1469021,351219,1013851
20,A126700,하이비젼시스템,20210729,-1453460,342680,1005775
21,A126700,하이비젼시스템,20210728,-1449529,342156,1002414
22,A126700,하이비젼시스템,20210727,-1439547,346700,996082
23,A126700,하이비젼시스템,20210726,-1356525,363370,895923
24,A126700,하이비젼시스템,20210723,-1326261,401386,816121
25,A126700,하이비젼시스템,20210722,-1196720,368947,717495
26,A126700,하이비젼시스템,20210721,-1166870,292338,704405
27,A126700,하이비젼시스템,20210720,-1208848,354443,701133
28,A126700,하이비젼시스템,20210719,-1186201,348376,685909
29,A126700,하이비젼시스템,20210716,-1170063,358792,686060
30,A126700,하이비젼시스템,20210715,-1151418,355801,678825
31,A126700,하이비젼시스템,20210714,-1217415,440067,680533
32,A126700,하이비젼시스템,20210713,-1278873,474677,710555
33,A126700,하이비젼시스템,20210712,-1347246,490251,712187
34,A126700,하이비젼시스템,20210709,-1334222,532208,657485
35,A126700,하이비젼시스템,20210708,-1318210,545592,639314
36,A126700,하이비젼시스템,20210707,-1353706,610819,619026
37,A126700,하이비젼시스템,20210706,-1315655,622244,572702
38,A126700,하이비젼시스템,20210705,-1310823,632463,577734
39,A126700,하이비젼시스템,20210702,-1345173,708440,541769
40,A126700,하이비젼시스템,20210701,-1311151,730229,465283
41,A126700,하이비젼시스템,20210630,-1293587,729522,455285
42,A126700,하이비젼시스템,20210629,-1304909,705841,480650
43,A126700,하이비젼시스템,20210628,-1302515,727840,474046
44,A126700,하이비젼시스템,20210625,-1120792,737000,285167
45,A126700,하이비젼시스템,20210624,-882693,569474,223329
46,A126700,하이비젼시스템,20210623,-873667,571783,216426
47,A126700,하이비젼시스템,20210622,-867341,531197,249656
48,A126700,하이비젼시스템,20210621,-823535,592872,138072
49,A126700,하이비젼시스템,20210618,-734255,535973,96325
50,A126700,하이비젼시스템,20210617,-681235,495682,77656
51,A126700,하이비젼시스템,20210616,-565148,489090,27968
52,A126700,하이비젼시스템,20210615,-272918,285163,-51313
53,A126700,하이비젼시스템,20210614,-162516,186675,-59721
54,A126700,하이비젼시스템,20210611,-176858,202315,-61396
55,A126700,하이비젼시스템,20210610,-168588,231587,-98761
56,A126700,하이비젼시스템,20210609,-138576,209295,-106757
57,A126700,하이비젼시스템,20210608,-156556,203190,-85974
58,A126700,하이비젼시스템,20210607,-167376,178819,-50650
59,A126700,하이비젼시스템,20210604,-132717,172348,-81520
60,A126700,하이비젼시스템,20210603,-168484,189777,-64067
61,A126700,하이비젼시스템,20210602,-98175,108023,-93310
62,A126700,하이비젼시스템,20210601,-91170,101099,-98449
63,A126700,하이비젼시스템,20210531,-52832,68250,-132502
64,A126700,하이비젼시스템,20210528,5643,48059,-176889
65,A126700,하이비젼시스템,20210527,100458,18022,-220360
66,A126700,하이비젼시스템,20210526,169223,13648,-282063
67,A126700,하이비젼시스템,20210525,369490,-9335,-426314
68,A126700,하이비젼시스템,20210524,413274,-18846,-448439
69,A126700,하이비젼시스템,20210521,414116,-14731,-452945
70,A126700,하이비젼시스템,20210520,422734,-11336,-465071
71,A126700,하이비젼시스템,20210518,457251,-22780,-488383
72,A126700,하이비젼시스템,20210517,454256,-18345,-491149
73,A126700,하이비젼시스템,20210514,432965,11230,-494154
74,A126700,하이비젼시스템,20210513,429892,12898,-493472
75,A126700,하이비젼시스템,20210512,417219,-7183,-462091
76,A126700,하이비젼시스템,20210511,338492,-14016,-369340
77,A126700,하이비젼시스템,20210510,286051,-18013,-312877
78,A126700,하이비젼시스템,20210507,218351,-21474,-243324
79,A126700,하이비젼시스템,20210506,220429,-22948,-243410
80,A126700,하이비젼시스템,20210504,212312,-15979,-243413
81,A126700,하이비젼시스템,20210503,206740,-20629,-233188
82,A126700,하이비젼시스템,20210430,212942,-25113,-233202
83,A126700,하이비젼시스템,20210429,230275,-31100,-231556
84,A126700,하이비젼시스템,20210428,238871,-34222,-235813
85,A126700,하이비젼시스템,20210427,223691,-44777,-215163
86,A126700,하이비젼시스템,20210426,207498,-39584,-209422
87,A126700,하이비젼시스템,20210423,172186,-46423,-171236
88,A126700,하이비젼시스템,20210422,182580,-56586,-170959
89,A126700,하이비젼시스템,20210421,162797,-38672,-170975
90,A126700,하이비젼시스템,20210420,120719,-6303,-165574
91,A126700,하이비젼시스템,20210419,98660,8517,-157687
92,A126700,하이비젼시스템,20210416,145305,-30081,-156853
93,A126700,하이비젼시스템,20210415,150063,-33382,-156833
94,A126700,하이비젼시스템,20210414,169513,-46491,-163236
95,A126700,하이비젼시스템,20210413,154413,-49020,-148920
96,A126700,하이비젼시스템,20210412,149662,-43385,-148170
97,A126700,하이비젼시스템,20210409,163120,-54387,-148143
98,A126700,하이비젼시스템,20210408,157884,-59571,-137287
99,A126700,하이비젼시스템,20210407,64751,-49502,-53654
100,A126700,하이비젼시스템,20210406,59127,-43463,-53514
101,A126700,하이비젼시스템,20210405,41966,-24290,-53439
102,A126700,하이비젼시스템,20210402,38822,-25706,-49893
103,A126700,하이비젼시스템,20210401,-22826,5463,-22266
104,A126700,하이비젼시스템,20210331,-4804,-11587,-22154
105,A126700,하이비젼시스템,20210330,-12680,-10361,-21259
106,A126700,하이비젼시스템,20210329,-10473,-18545,-17249
107,A126700,하이비젼시스템,20210326,-21250,-9914,-11862
108,A126700,하이비젼시스템,20210325,-54078,9899,3392
109,A126700,하이비젼시스템,20210324,-57978,-4541,22909
110,A126700,하이비젼시스템,20210323,-51382,-23441,34215
111,A126700,하이비젼시스템,20210322,-48129,-18066,26831
112,A126700,하이비젼시스템,20210319,-28071,-37539,25146
113,A126700,하이비젼시스템,20210318,-10134,-56192,27572
114,A126700,하이비젼시스템,20210317,12474,-55227,29906
