,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A221840,하이즈항공,20210827,-160008,187207,-27061
1,A221840,하이즈항공,20210826,-164928,190127,-27061
2,A221840,하이즈항공,20210825,-164098,189297,-27061
3,A221840,하이즈항공,20210824,-155754,180953,-27061
4,A221840,하이즈항공,20210823,-150201,177225,-27061
5,A221840,하이즈항공,20210820,-140852,168222,-27061
6,A221840,하이즈항공,20210819,-138224,165594,-27061
7,A221840,하이즈항공,20210818,-163940,191194,-27061
8,A221840,하이즈항공,20210817,-150674,177948,-27061
9,A221840,하이즈항공,20210813,-161260,188584,-27061
10,A221840,하이즈항공,20210812,-159560,186884,-27061
11,A221840,하이즈항공,20210811,-161941,189264,-27061
12,A221840,하이즈항공,20210810,-167434,194558,-27061
13,A221840,하이즈항공,20210809,-161155,188433,-27061
14,A221840,하이즈항공,20210806,-163898,191176,-27061
15,A221840,하이즈항공,20210805,-161757,188997,-27061
16,A221840,하이즈항공,20210804,-193945,213271,-19117
17,A221840,하이즈항공,20210803,-193938,213264,-19117
18,A221840,하이즈항공,20210802,-198540,217866,-19117
19,A221840,하이즈항공,20210730,-203900,223226,-19117
20,A221840,하이즈항공,20210729,-213896,233190,-19117
21,A221840,하이즈항공,20210728,-222357,241651,-19117
22,A221840,하이즈항공,20210727,-242483,261777,-19117
23,A221840,하이즈항공,20210726,-247074,269116,-21867
24,A221840,하이즈항공,20210723,-255615,277369,-21867
25,A221840,하이즈항공,20210722,-266407,287898,-24604
26,A221840,하이즈항공,20210721,-269907,291498,-24604
27,A221840,하이즈항공,20210720,-273050,294641,-24604
28,A221840,하이즈항공,20210719,-269407,290998,-24604
29,A221840,하이즈항공,20210716,-284328,305619,-24604
30,A221840,하이즈항공,20210715,-285345,304376,-24604
31,A221840,하이즈항공,20210714,-291098,310159,-24604
32,A221840,하이즈항공,20210713,-295957,315778,-24604
33,A221840,하이즈항공,20210712,-292075,311896,-24604
34,A221840,하이즈항공,20210709,-296443,316209,-24604
35,A221840,하이즈항공,20210708,-292097,309138,-23739
