,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A039340,한국경제TV,20210827,-421107,474296,161675
1,A039340,한국경제TV,20210826,-421984,474077,161675
2,A039340,한국경제TV,20210825,-415058,469102,161674
3,A039340,한국경제TV,20210824,-415091,470664,161674
4,A039340,한국경제TV,20210823,-414438,469990,161674
5,A039340,한국경제TV,20210820,-414762,466555,164077
6,A039340,한국경제TV,20210819,-419036,460414,182767
7,A039340,한국경제TV,20210818,-415510,464549,186259
8,A039340,한국경제TV,20210817,-401473,460821,186259
9,A039340,한국경제TV,20210813,-410985,470345,186259
10,A039340,한국경제TV,20210812,-416226,475604,186259
11,A039340,한국경제TV,20210811,-417528,476919,186259
12,A039340,한국경제TV,20210810,-429760,489157,186259
13,A039340,한국경제TV,20210809,-439724,499139,186259
14,A039340,한국경제TV,20210806,-425751,481529,186259
15,A039340,한국경제TV,20210805,-431696,487300,186259
16,A039340,한국경제TV,20210804,-437917,495831,186259
17,A039340,한국경제TV,20210803,-424923,483338,186259
18,A039340,한국경제TV,20210802,-424431,486781,186259
19,A039340,한국경제TV,20210730,-416857,479228,186259
20,A039340,한국경제TV,20210729,-424464,486847,186259
21,A039340,한국경제TV,20210728,-425323,487718,186259
22,A039340,한국경제TV,20210727,-440604,504818,186259
23,A039340,한국경제TV,20210726,-440202,504207,186259
24,A039340,한국경제TV,20210723,-416767,479262,186262
25,A039340,한국경제TV,20210722,-389775,460419,186262
26,A039340,한국경제TV,20210721,-393250,452075,198772
27,A039340,한국경제TV,20210720,-397935,456762,198772
28,A039340,한국경제TV,20210719,-403627,462472,198772
29,A039340,한국경제TV,20210716,-411236,470156,198772
30,A039340,한국경제TV,20210715,-413202,477831,198772
31,A039340,한국경제TV,20210714,-404974,468671,198772
32,A039340,한국경제TV,20210713,-426638,457684,241287
33,A039340,한국경제TV,20210712,-407412,448100,241287
34,A039340,한국경제TV,20210709,-392345,436755,241287
35,A039340,한국경제TV,20210708,-379908,425057,241287
36,A039340,한국경제TV,20210707,-379205,425812,241287
37,A039340,한국경제TV,20210706,-374787,419422,241287
38,A039340,한국경제TV,20210705,-387380,415830,258552
39,A039340,한국경제TV,20210702,-385181,413680,258552
40,A039340,한국경제TV,20210701,-385470,414131,258552
41,A039340,한국경제TV,20210630,-383450,412303,258552
42,A039340,한국경제TV,20210629,-390550,411040,267372
43,A039340,한국경제TV,20210628,-395151,414876,267372
44,A039340,한국경제TV,20210625,-393151,413961,267372
45,A039340,한국경제TV,20210624,-406892,421849,274248
46,A039340,한국경제TV,20210623,-390763,405719,274248
47,A039340,한국경제TV,20210622,-433533,417731,305936
48,A039340,한국경제TV,20210621,-431360,415737,305936
49,A039340,한국경제TV,20210618,-400491,384714,306436
50,A039340,한국경제TV,20210617,-398615,382964,306436
51,A039340,한국경제TV,20210616,-381587,370048,302944
52,A039340,한국경제TV,20210615,-395102,384784,302944
53,A039340,한국경제TV,20210614,-387497,372727,310379
54,A039340,한국경제TV,20210611,-389222,366845,310379
55,A039340,한국경제TV,20210610,-391151,358078,310379
56,A039340,한국경제TV,20210609,-397587,371125,309879
57,A039340,한국경제TV,20210608,-414692,389199,310426
58,A039340,한국경제TV,20210607,-471210,371345,357100
59,A039340,한국경제TV,20210604,-481315,377856,361040
60,A039340,한국경제TV,20210603,-464380,361052,361040
61,A039340,한국경제TV,20210602,-487679,333889,410715
62,A039340,한국경제TV,20210601,-449766,316392,390314
63,A039340,한국경제TV,20210531,-462930,328083,391806
64,A039340,한국경제TV,20210528,-438014,309587,396133
65,A039340,한국경제TV,20210527,-454334,331168,391498
66,A039340,한국경제TV,20210526,-307592,291655,243738
67,A039340,한국경제TV,20210525,-166549,227026,140485
68,A039340,한국경제TV,20210524,-79461,212226,65647
69,A039340,한국경제TV,20210521,-63446,240207,65847
70,A039340,한국경제TV,20210520,-13396,217321,44507
71,A039340,한국경제TV,20210518,-116161,221668,-17673
72,A039340,한국경제TV,20210517,-151628,218197,-16146
73,A039340,한국경제TV,20210514,-154185,213090,-29423
74,A039340,한국경제TV,20210513,-199150,234421,-29341
75,A039340,한국경제TV,20210512,-180540,246848,-29251
76,A039340,한국경제TV,20210511,-198641,265272,-29246
77,A039340,한국경제TV,20210510,-195224,267143,-29237
78,A039340,한국경제TV,20210507,-197466,267437,-29220
79,A039340,한국경제TV,20210506,-190947,280525,-29206
80,A039340,한국경제TV,20210504,-195779,285551,-29199
81,A039340,한국경제TV,20210503,-215290,307076,-29198
82,A039340,한국경제TV,20210430,-219538,311743,-29199
83,A039340,한국경제TV,20210429,-238414,333644,-29204
84,A039340,한국경제TV,20210428,-195875,324436,-29183
