,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A025540,한국단자,20210827,-165353,-121066,371457
1,A025540,한국단자,20210826,-127323,-130500,341968
2,A025540,한국단자,20210825,-134345,-130005,348926
3,A025540,한국단자,20210824,-154363,-121552,361081
4,A025540,한국단자,20210823,-164703,-99959,348560
5,A025540,한국단자,20210820,-160835,-104262,349006
6,A025540,한국단자,20210819,-165810,-108807,357008
7,A025540,한국단자,20210818,-177806,-104354,363559
8,A025540,한국단자,20210817,-181104,-98094,359871
9,A025540,한국단자,20210813,-180784,-105036,361927
10,A025540,한국단자,20210812,-168144,-110282,353419
11,A025540,한국단자,20210811,-157563,-110267,342815
12,A025540,한국단자,20210810,-151087,-106242,332962
13,A025540,한국단자,20210809,-164810,-94036,334693
14,A025540,한국단자,20210806,-160830,-99242,335964
15,A025540,한국단자,20210805,-194061,-96032,366128
16,A025540,한국단자,20210804,-200660,-97515,375213
17,A025540,한국단자,20210803,-205360,-100245,382731
18,A025540,한국단자,20210802,-235521,-92672,403643
19,A025540,한국단자,20210730,-243729,-72838,391963
20,A025540,한국단자,20210729,-271158,-54210,401684
21,A025540,한국단자,20210728,-259914,-54476,391856
22,A025540,한국단자,20210727,-276888,-39672,393978
23,A025540,한국단자,20210726,-314766,-12204,404124
24,A025540,한국단자,20210723,-309640,-10475,397567
25,A025540,한국단자,20210722,-321757,219,398637
26,A025540,한국단자,20210721,-317460,16815,378464
27,A025540,한국단자,20210720,-262502,-4624,346582
28,A025540,한국단자,20210719,-248456,828,325622
29,A025540,한국단자,20210716,-250169,11444,316676
30,A025540,한국단자,20210715,-259548,22172,314957
31,A025540,한국단자,20210714,-262728,30505,309836
32,A025540,한국단자,20210713,-274720,44708,307374
33,A025540,한국단자,20210712,-279061,50708,305731
34,A025540,한국단자,20210709,-287548,63015,301743
35,A025540,한국단자,20210708,-288735,66062,299605
36,A025540,한국단자,20210707,-315510,77202,310609
37,A025540,한국단자,20210706,-314640,76570,309859
38,A025540,한국단자,20210705,-328074,85750,314038
39,A025540,한국단자,20210702,-350971,97807,325223
40,A025540,한국단자,20210701,-360657,120808,311818
41,A025540,한국단자,20210630,-352019,116704,308254
42,A025540,한국단자,20210629,-367080,118715,321870
43,A025540,한국단자,20210628,-378191,131480,320290
44,A025540,한국단자,20210625,-389238,136492,325780
45,A025540,한국단자,20210624,-377534,128048,322291
46,A025540,한국단자,20210623,-382036,139378,315889
47,A025540,한국단자,20210622,-374466,149485,297731
48,A025540,한국단자,20210621,-382698,160370,295364
49,A025540,한국단자,20210618,-393948,183587,281371
50,A025540,한국단자,20210617,-359529,185472,244682
51,A025540,한국단자,20210616,-344392,198633,215011
52,A025540,한국단자,20210615,-324731,207740,187050
53,A025540,한국단자,20210614,-330049,213181,186928
54,A025540,한국단자,20210611,-342365,221519,191093
55,A025540,한국단자,20210610,-355644,227126,199127
56,A025540,한국단자,20210609,-368285,225169,216219
57,A025540,한국단자,20210608,-371671,212039,232697
58,A025540,한국단자,20210607,-377203,204855,244817
59,A025540,한국단자,20210604,-361548,203092,229838
60,A025540,한국단자,20210603,-351690,195136,221865
61,A025540,한국단자,20210602,-338876,194778,206673
62,A025540,한국단자,20210601,-223150,151906,131130
63,A025540,한국단자,20210531,-176148,135682,98518
64,A025540,한국단자,20210528,-161058,133853,82965
65,A025540,한국단자,20210527,-87006,81254,63854
66,A025540,한국단자,20210526,-81359,79375,58077
67,A025540,한국단자,20210525,-68260,69725,53940
68,A025540,한국단자,20210524,-70742,70285,55460
69,A025540,한국단자,20210521,-69508,88529,37258
70,A025540,한국단자,20210520,-65063,93971,28361
71,A025540,한국단자,20210518,-40989,89031,9701
72,A025540,한국단자,20210517,-1101,82670,-30570
73,A025540,한국단자,20210514,-14939,88259,-21319
74,A025540,한국단자,20210513,-27291,62875,11185
75,A025540,한국단자,20210512,-14763,62235,-507
76,A025540,한국단자,20210511,-2513,40368,8003
77,A025540,한국단자,20210510,-8180,34046,15563
78,A025540,한국단자,20210507,-4575,34722,11784
79,A025540,한국단자,20210506,20416,11646,8405
80,A025540,한국단자,20210504,23555,8030,9943
81,A025540,한국단자,20210503,18287,11277,12225
82,A025540,한국단자,20210430,37356,1807,2336
83,A025540,한국단자,20210429,42475,-900,168
84,A025540,한국단자,20210428,32879,-8205,13925
85,A025540,한국단자,20210427,14844,-6111,27151
86,A025540,한국단자,20210426,-1800,669,37599
87,A025540,한국단자,20210423,1267,-8800,43407
88,A025540,한국단자,20210422,-5223,-6333,47457
89,A025540,한국단자,20210421,-15369,-19,51281
90,A025540,한국단자,20210420,-1774,8774,29774
91,A025540,한국단자,20210419,-16252,14672,38146
92,A025540,한국단자,20210416,-20702,-1935,57537
93,A025540,한국단자,20210415,-24696,-5228,67356
94,A025540,한국단자,20210414,-55178,1801,92721
95,A025540,한국단자,20210413,-63334,13404,90763
96,A025540,한국단자,20210412,-56944,18731,80975
97,A025540,한국단자,20210409,-45372,21519,64125
98,A025540,한국단자,20210408,-43159,23689,62919
99,A025540,한국단자,20210407,-39916,27530,59419
100,A025540,한국단자,20210406,-45303,33481,59319
101,A025540,한국단자,20210405,-56989,47036,58126
102,A025540,한국단자,20210402,-54478,59795,44242
103,A025540,한국단자,20210401,11539,27788,-5248
104,A025540,한국단자,20210331,56776,29907,-33380
105,A025540,한국단자,20210330,34162,40853,-31697
106,A025540,한국단자,20210329,39592,37458,-32893
107,A025540,한국단자,20210326,41969,36406,-32634
108,A025540,한국단자,20210325,48218,32013,-34440
109,A025540,한국단자,20210324,27052,1002,-32316
110,A025540,한국단자,20210323,28655,1494,-32833
111,A025540,한국단자,20210322,23098,5650,-31121
112,A025540,한국단자,20210319,28152,472,-30968
113,A025540,한국단자,20210318,28411,-1196,-29600
114,A025540,한국단자,20210317,13309,-616,-15004
115,A025540,한국단자,20210316,20491,-2395,-20364
116,A025540,한국단자,20210315,18826,8037,-28835
117,A025540,한국단자,20210312,21114,5515,-28478
118,A025540,한국단자,20210311,21005,-6746,-15836
