,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A003350,한국화장품제조,20210827,-3181,5118,8776
1,A003350,한국화장품제조,20210826,-3298,6411,7600
2,A003350,한국화장품제조,20210825,-3451,6549,7615
3,A003350,한국화장품제조,20210824,-2446,5578,7583
4,A003350,한국화장품제조,20210823,1703,1954,7529
5,A003350,한국화장품제조,20210820,6372,-518,7764
6,A003350,한국화장품제조,20210819,7290,-467,6807
7,A003350,한국화장품제조,20210818,6314,419,6901
8,A003350,한국화장품제조,20210817,7162,-104,6606
9,A003350,한국화장품제조,20210813,7637,-176,6211
10,A003350,한국화장품제조,20210812,7149,319,6206
11,A003350,한국화장품제조,20210811,7239,135,6302
12,A003350,한국화장품제조,20210810,6590,381,6707
13,A003350,한국화장품제조,20210809,5928,76,7681
14,A003350,한국화장품제조,20210806,4819,-464,9374
15,A003350,한국화장품제조,20210805,4729,-435,9442
16,A003350,한국화장품제조,20210804,5137,-808,9407
17,A003350,한국화장품제조,20210803,5859,-1551,9428
18,A003350,한국화장품제조,20210802,5052,-768,9455
19,A003350,한국화장품제조,20210730,4905,-671,9493
20,A003350,한국화장품제조,20210729,4771,-523,9493
21,A003350,한국화장품제조,20210728,4815,-561,9488
22,A003350,한국화장품제조,20210727,4427,-145,9462
23,A003350,한국화장품제조,20210726,4487,325,8938
24,A003350,한국화장품제조,20210723,3451,2093,8204
25,A003350,한국화장품제조,20210722,2751,2797,8204
26,A003350,한국화장품제조,20210721,2317,3232,8203
27,A003350,한국화장품제조,20210720,1481,4069,8203
28,A003350,한국화장품제조,20210719,3554,1993,8207
29,A003350,한국화장품제조,20210716,2991,2567,8207
30,A003350,한국화장품제조,20210715,2480,3070,8216
31,A003350,한국화장품제조,20210714,2951,2760,8056
32,A003350,한국화장품제조,20210713,2143,3559,8062
33,A003350,한국화장품제조,20210712,1877,4168,7724
34,A003350,한국화장품제조,20210709,3591,3559,6518
35,A003350,한국화장품제조,20210708,420,6067,7162
36,A003350,한국화장품제조,20210707,-768,7713,6703
37,A003350,한국화장품제조,20210706,-2372,9682,6413
38,A003350,한국화장품제조,20210705,-561,9413,4874
39,A003350,한국화장품제조,20210702,-1509,10359,4877
40,A003350,한국화장품제조,20210701,-4433,11687,6473
