,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A060980,한라홀딩스,20210827,-161885,301822,-143256
1,A060980,한라홀딩스,20210826,-148968,294148,-148423
2,A060980,한라홀딩스,20210825,-126973,290096,-166462
3,A060980,한라홀딩스,20210824,-114530,286242,-174770
4,A060980,한라홀딩스,20210823,-109666,278200,-170738
5,A060980,한라홀딩스,20210820,-105433,276532,-173204
6,A060980,한라홀딩스,20210819,-109069,285242,-175142
7,A060980,한라홀딩스,20210818,-109327,301257,-187462
8,A060980,한라홀딩스,20210817,-111972,305224,-188177
9,A060980,한라홀딩스,20210813,-110336,303741,-188193
10,A060980,한라홀딩스,20210812,-110046,307453,-191574
11,A060980,한라홀딩스,20210811,-112158,307789,-186177
12,A060980,한라홀딩스,20210810,-113726,308340,-181289
13,A060980,한라홀딩스,20210809,-119717,301611,-167104
14,A060980,한라홀딩스,20210806,-120460,297268,-160517
15,A060980,한라홀딩스,20210805,-115956,300689,-167960
16,A060980,한라홀딩스,20210804,-121715,306429,-168089
17,A060980,한라홀딩스,20210803,-121746,308744,-170316
18,A060980,한라홀딩스,20210802,-129420,314808,-168629
19,A060980,한라홀딩스,20210730,-106806,297607,-174157
20,A060980,한라홀딩스,20210729,-97668,296570,-181989
21,A060980,한라홀딩스,20210728,-94236,293343,-183842
22,A060980,한라홀딩스,20210727,-102317,301734,-183676
23,A060980,한라홀딩스,20210726,-101032,302845,-185938
24,A060980,한라홀딩스,20210723,-101295,311167,-193543
25,A060980,한라홀딩스,20210722,-98017,313290,-192880
26,A060980,한라홀딩스,20210721,-97388,312092,-189439
27,A060980,한라홀딩스,20210720,-100041,319866,-193925
28,A060980,한라홀딩스,20210719,-99045,323975,-198821
29,A060980,한라홀딩스,20210716,-103613,332828,-198451
30,A060980,한라홀딩스,20210715,-108687,343572,-200678
31,A060980,한라홀딩스,20210714,-81605,316445,-200839
32,A060980,한라홀딩스,20210713,-88851,319332,-196311
33,A060980,한라홀딩스,20210712,-98980,325718,-192293
34,A060980,한라홀딩스,20210709,-89799,324596,-200606
35,A060980,한라홀딩스,20210708,-102583,351954,-214539
36,A060980,한라홀딩스,20210707,-103201,355923,-217902
37,A060980,한라홀딩스,20210706,-112995,357073,-209132
38,A060980,한라홀딩스,20210705,-130354,357800,-191937
39,A060980,한라홀딩스,20210702,-127597,354686,-191361
40,A060980,한라홀딩스,20210701,-139984,359436,-183596
41,A060980,한라홀딩스,20210630,-112324,336878,-188150
42,A060980,한라홀딩스,20210629,-61745,286804,-192621
43,A060980,한라홀딩스,20210628,-24039,245144,-195028
44,A060980,한라홀딩스,20210625,-47075,236480,-177226
45,A060980,한라홀딩스,20210624,112087,164520,-271138
46,A060980,한라홀딩스,20210623,114366,164968,-273865
47,A060980,한라홀딩스,20210622,107890,175871,-276971
48,A060980,한라홀딩스,20210621,97100,174250,-264605
49,A060980,한라홀딩스,20210618,75353,182079,-253422
50,A060980,한라홀딩스,20210617,71694,182472,-250220
51,A060980,한라홀딩스,20210616,68834,180824,-245996
52,A060980,한라홀딩스,20210615,62812,174655,-230764
53,A060980,한라홀딩스,20210614,55330,172180,-220318
54,A060980,한라홀딩스,20210611,42602,173433,-207786
55,A060980,한라홀딩스,20210610,30205,164599,-185941
56,A060980,한라홀딩스,20210609,12185,179185,-182699
57,A060980,한라홀딩스,20210608,21142,175623,-191054
58,A060980,한라홀딩스,20210607,14496,176436,-198669
59,A060980,한라홀딩스,20210604,50773,148318,-207406
60,A060980,한라홀딩스,20210603,52918,150136,-205191
61,A060980,한라홀딩스,20210602,45345,156953,-204482
62,A060980,한라홀딩스,20210601,81814,126769,-211041
63,A060980,한라홀딩스,20210531,85923,125343,-210118
64,A060980,한라홀딩스,20210528,113256,112332,-224061
65,A060980,한라홀딩스,20210527,136999,105367,-240400
66,A060980,한라홀딩스,20210526,136668,107200,-241499
67,A060980,한라홀딩스,20210525,143190,108777,-249009
68,A060980,한라홀딩스,20210524,135328,114871,-247392
69,A060980,한라홀딩스,20210521,125587,121910,-245874
70,A060980,한라홀딩스,20210520,156197,127710,-283102
71,A060980,한라홀딩스,20210518,138624,143716,-280181
72,A060980,한라홀딩스,20210517,135940,147044,-279371
73,A060980,한라홀딩스,20210514,147081,155595,-299020
74,A060980,한라홀딩스,20210513,165088,142757,-304150
75,A060980,한라홀딩스,20210512,159202,154553,-305263
76,A060980,한라홀딩스,20210511,160385,165986,-310300
77,A060980,한라홀딩스,20210510,164651,153919,-334434
78,A060980,한라홀딩스,20210507,182014,142729,-340796
79,A060980,한라홀딩스,20210506,189990,136684,-342711
80,A060980,한라홀딩스,20210504,206009,136217,-358499
81,A060980,한라홀딩스,20210503,197773,157705,-371648
82,A060980,한라홀딩스,20210430,240816,125543,-387113
83,A060980,한라홀딩스,20210429,240949,134284,-391446
84,A060980,한라홀딩스,20210428,238732,136552,-391438
85,A060980,한라홀딩스,20210427,237329,145526,-398914
86,A060980,한라홀딩스,20210426,247231,147240,-410665
87,A060980,한라홀딩스,20210423,259873,144408,-419503
88,A060980,한라홀딩스,20210422,257940,146855,-419676
89,A060980,한라홀딩스,20210421,260914,144768,-420484
90,A060980,한라홀딩스,20210420,238892,139663,-396289
91,A060980,한라홀딩스,20210419,238439,132669,-388780
92,A060980,한라홀딩스,20210416,236465,124693,-378741
93,A060980,한라홀딩스,20210415,240425,117977,-375921
94,A060980,한라홀딩스,20210414,217362,113397,-348592
95,A060980,한라홀딩스,20210413,202493,117216,-337561
96,A060980,한라홀딩스,20210412,185163,125687,-332245
97,A060980,한라홀딩스,20210409,207137,99023,-322714
98,A060980,한라홀딩스,20210408,190307,100375,-307208
99,A060980,한라홀딩스,20210407,171768,98403,-285069
100,A060980,한라홀딩스,20210406,186409,73042,-274360
101,A060980,한라홀딩스,20210405,164490,77864,-257163
102,A060980,한라홀딩스,20210402,145177,80855,-238436
103,A060980,한라홀딩스,20210401,143267,72508,-228492
104,A060980,한라홀딩스,20210331,146386,72128,-228270
105,A060980,한라홀딩스,20210330,146242,72933,-228417
106,A060980,한라홀딩스,20210329,151843,64703,-225808
107,A060980,한라홀딩스,20210326,138253,67611,-215091
108,A060980,한라홀딩스,20210325,119245,65668,-194098
109,A060980,한라홀딩스,20210324,98758,71583,-179564
110,A060980,한라홀딩스,20210323,90572,70697,-170350
111,A060980,한라홀딩스,20210322,73335,74643,-156967
112,A060980,한라홀딩스,20210319,48934,85429,-143312
113,A060980,한라홀딩스,20210318,75128,61503,-145574
114,A060980,한라홀딩스,20210317,60997,54620,-124512
115,A060980,한라홀딩스,20210316,64233,48319,-118080
116,A060980,한라홀딩스,20210315,64595,44600,-114716
117,A060980,한라홀딩스,20210312,43534,34327,-83374
118,A060980,한라홀딩스,20210311,35794,45955,-87322
