,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A004150,한솔홀딩스,20210827,-2096036,1720465,304391
1,A004150,한솔홀딩스,20210826,-2091415,1723789,301440
2,A004150,한솔홀딩스,20210825,-2087759,1725962,295611
3,A004150,한솔홀딩스,20210824,-2109175,1748824,294384
4,A004150,한솔홀딩스,20210823,-2087110,1727047,294096
5,A004150,한솔홀딩스,20210820,-2072137,1710675,294241
6,A004150,한솔홀딩스,20210819,-2074949,1714289,293439
7,A004150,한솔홀딩스,20210818,-2030341,1670551,294419
8,A004150,한솔홀딩스,20210817,-1999932,1629712,304849
9,A004150,한솔홀딩스,20210813,-1904378,1536087,304970
10,A004150,한솔홀딩스,20210812,-1931047,1560651,307075
11,A004150,한솔홀딩스,20210811,-1943133,1570920,308343
12,A004150,한솔홀딩스,20210810,-1941552,1576035,302196
13,A004150,한솔홀딩스,20210809,-1957016,1600908,292787
14,A004150,한솔홀딩스,20210806,-1977016,1618646,296375
15,A004150,한솔홀딩스,20210805,-1981168,1622337,296836
16,A004150,한솔홀딩스,20210804,-1984087,1623298,298794
17,A004150,한솔홀딩스,20210803,-2001737,1639593,300149
18,A004150,한솔홀딩스,20210802,-2025869,1663081,301793
19,A004150,한솔홀딩스,20210730,-2036382,1680262,295125
20,A004150,한솔홀딩스,20210729,-2052733,1695900,297338
21,A004150,한솔홀딩스,20210728,-2076593,1717294,299835
22,A004150,한솔홀딩스,20210727,-2081536,1726285,299766
23,A004150,한솔홀딩스,20210726,-2113733,1751901,302328
24,A004150,한솔홀딩스,20210723,-2143726,1782989,302261
25,A004150,한솔홀딩스,20210722,-2137314,1779675,302177
26,A004150,한솔홀딩스,20210721,-2132351,1782950,293872
27,A004150,한솔홀딩스,20210720,-2124997,1765889,298568
28,A004150,한솔홀딩스,20210719,-2124359,1762320,298956
29,A004150,한솔홀딩스,20210716,-2165580,1798287,305110
30,A004150,한솔홀딩스,20210715,-2179735,1811250,305852
31,A004150,한솔홀딩스,20210714,-2203971,1827664,309702
32,A004150,한솔홀딩스,20210713,-2219896,1811421,342341
33,A004150,한솔홀딩스,20210712,-2237922,1813444,360847
34,A004150,한솔홀딩스,20210709,-2215119,1770738,380936
35,A004150,한솔홀딩스,20210708,-2231710,1763604,407056
36,A004150,한솔홀딩스,20210707,-2206957,1740458,406105
37,A004150,한솔홀딩스,20210706,-2233614,1734948,439342
38,A004150,한솔홀딩스,20210705,-2258094,1740548,459216
39,A004150,한솔홀딩스,20210702,-2296411,1779797,458286
40,A004150,한솔홀딩스,20210701,-2303251,1782075,461951
41,A004150,한솔홀딩스,20210630,-2310282,1775310,462727
42,A004150,한솔홀딩스,20210629,-2329821,1758852,463099
43,A004150,한솔홀딩스,20210628,-2411974,1844504,462134
44,A004150,한솔홀딩스,20210625,-2337747,1770491,461233
45,A004150,한솔홀딩스,20210624,-2310492,1712969,455842
46,A004150,한솔홀딩스,20210623,-2285029,1695743,447108
47,A004150,한솔홀딩스,20210622,-2283352,1680573,443437
48,A004150,한솔홀딩스,20210621,-2227108,1626791,439475
49,A004150,한솔홀딩스,20210618,-2205229,1605877,438224
50,A004150,한솔홀딩스,20210617,-2202883,1608758,432547
51,A004150,한솔홀딩스,20210616,-2223134,1638526,432030
52,A004150,한솔홀딩스,20210615,-2193070,1616220,424175
53,A004150,한솔홀딩스,20210614,-2189103,1607951,428477
54,A004150,한솔홀딩스,20210611,-2269140,1686186,430484
55,A004150,한솔홀딩스,20210610,-2090910,1682103,346350
56,A004150,한솔홀딩스,20210609,-2038906,1652215,344488
57,A004150,한솔홀딩스,20210608,-1921658,1564681,344520
58,A004150,한솔홀딩스,20210607,-1934114,1571032,352631
59,A004150,한솔홀딩스,20210604,-1926256,1584404,331421
60,A004150,한솔홀딩스,20210603,-1870675,1515580,330794
61,A004150,한솔홀딩스,20210602,-1752018,1398985,330771
62,A004150,한솔홀딩스,20210601,-1633568,1285611,328802
63,A004150,한솔홀딩스,20210531,-1698646,1340698,337133
64,A004150,한솔홀딩스,20210528,-1608887,1237057,336441
65,A004150,한솔홀딩스,20210527,-1616251,1244769,333935
66,A004150,한솔홀딩스,20210526,-1720256,1344068,333862
67,A004150,한솔홀딩스,20210525,-1709083,1338168,328749
68,A004150,한솔홀딩스,20210524,-1724567,1358373,332531
69,A004150,한솔홀딩스,20210521,-1718888,1344035,332481
70,A004150,한솔홀딩스,20210520,-1740116,1367374,331382
71,A004150,한솔홀딩스,20210518,-1715971,1344458,331153
72,A004150,한솔홀딩스,20210517,-1678735,1301111,334287
73,A004150,한솔홀딩스,20210514,-1706933,1301540,363016
74,A004150,한솔홀딩스,20210513,-1706681,1301186,362979
75,A004150,한솔홀딩스,20210512,-1638992,1234555,362827
76,A004150,한솔홀딩스,20210511,-1673952,1274693,365818
