,辆格内靛,辆格疙,朝楼,俺牢 鉴概荐,寇惫牢 鉴概荐,扁包 鉴概荐
0,A076610,秦己可平胶,20210827,7979033,901886,-8761067
1,A076610,秦己可平胶,20210826,8315231,1020196,-9204497
2,A076610,秦己可平胶,20210825,8295583,1063096,-9204497
3,A076610,秦己可平胶,20210824,8480113,876842,-9199431
4,A076610,秦己可平胶,20210823,9192447,190830,-9199431
5,A076610,秦己可平胶,20210820,9340533,49063,-9195864
6,A076610,秦己可平胶,20210819,9242367,146452,-9195864
7,A076610,秦己可平胶,20210818,9144758,237723,-9195864
8,A076610,秦己可平胶,20210817,9403067,-25554,-9190798
9,A076610,秦己可平胶,20210813,9223847,154240,-9190798
10,A076610,秦己可平胶,20210812,9189391,184202,-9190798
11,A076610,秦己可平胶,20210811,9087996,179243,-9090798
12,A076610,秦己可平胶,20210810,8785081,122037,-8735275
13,A076610,秦己可平胶,20210809,8758107,158314,-8738842
14,A076610,秦己可平胶,20210806,8798887,10641,-8628842
15,A076610,秦己可平胶,20210805,8805616,19462,-8628842
16,A076610,秦己可平胶,20210804,6522741,159477,-6524494
17,A076610,秦己可平胶,20210803,6531155,-29870,-6344468
18,A076610,秦己可平胶,20210802,6058497,31169,-5919029
19,A076610,秦己可平胶,20210730,5598892,66456,-5486368
20,A076610,秦己可平胶,20210729,5097683,6841,-4940154
21,A076610,秦己可平胶,20210728,3863875,398,-3687650
22,A076610,秦己可平胶,20210727,104252,70571,11745
23,A076610,秦己可平胶,20210726,21664,162657,11745
24,A076610,秦己可平胶,20210723,91102,100518,11745
25,A076610,秦己可平胶,20210722,91130,95490,11745
26,A076610,秦己可平胶,20210721,121222,65398,11745
27,A076610,秦己可平胶,20210720,105992,85629,11745
28,A076610,秦己可平胶,20210719,129191,62589,11745
29,A076610,秦己可平胶,20210716,111799,80172,11745
30,A076610,秦己可平胶,20210715,83557,113714,11745
31,A076610,秦己可平胶,20210714,101686,95614,11745
32,A076610,秦己可平胶,20210713,-32268,215439,11745
33,A076610,秦己可平胶,20210712,-4875,139723,11745
34,A076610,秦己可平胶,20210709,46458,86385,11746
35,A076610,秦己可平胶,20210708,50911,84485,11745
36,A076610,秦己可平胶,20210707,17686,141752,8102
37,A076610,秦己可平胶,20210706,23621,130671,8102
38,A076610,秦己可平胶,20210705,66947,115345,8102
39,A076610,秦己可平胶,20210702,52006,128516,8102
40,A076610,秦己可平胶,20210701,90684,87790,8102
41,A076610,秦己可平胶,20210630,-2886,180436,8102
42,A076610,秦己可平胶,20210629,-1877,164400,8102
43,A076610,秦己可平胶,20210628,-30631,192701,8102
44,A076610,秦己可平胶,20210625,-41073,210055,8102
45,A076610,秦己可平胶,20210624,-35873,203528,8102
46,A076610,秦己可平胶,20210623,-71749,240683,8102
47,A076610,秦己可平胶,20210622,-87218,251247,8102
48,A076610,秦己可平胶,20210621,-98920,244049,8102
49,A076610,秦己可平胶,20210618,-251984,341861,8500
50,A076610,秦己可平胶,20210617,-256126,348330,8500
51,A076610,秦己可平胶,20210616,-215941,311295,8500
52,A076610,秦己可平胶,20210615,-248686,341291,8500
53,A076610,秦己可平胶,20210614,-328032,421590,8500
54,A076610,秦己可平胶,20210611,-391642,489421,8500
55,A076610,秦己可平胶,20210610,-270464,375768,8500
56,A076610,秦己可平胶,20210609,-281772,392184,8500
57,A076610,秦己可平胶,20210608,-233220,343368,8500
58,A076610,秦己可平胶,20210607,-256007,366358,8500
59,A076610,秦己可平胶,20210604,-183662,298601,8499
60,A076610,秦己可平胶,20210603,-198157,311800,8499
61,A076610,秦己可平胶,20210602,-135324,241777,8499
62,A076610,秦己可平胶,20210601,-244097,236864,8499
63,A076610,秦己可平胶,20210531,-547083,494804,8499
64,A076610,秦己可平胶,20210528,-442938,399444,8499
65,A076610,秦己可平胶,20210527,-388099,356787,8499
66,A076610,秦己可平胶,20210526,-469586,427947,8499
67,A076610,秦己可平胶,20210525,-360769,266238,8499
68,A076610,秦己可平胶,20210524,-318371,223340,8499
69,A076610,秦己可平胶,20210521,-335344,237416,8499
70,A076610,秦己可平胶,20210520,-374272,276344,8499
71,A076610,秦己可平胶,20210518,-322788,226860,8499
72,A076610,秦己可平胶,20210517,-355951,260023,8499
73,A076610,秦己可平胶,20210514,-366143,270585,8499
74,A076610,秦己可平胶,20210513,-380311,281806,8499
75,A076610,秦己可平胶,20210512,-378495,281187,8499
