,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A079430,현대리바트,20210827,4899,251562,-111148
1,A079430,현대리바트,20210826,7044,249423,-111357
2,A079430,현대리바트,20210825,5412,252999,-110001
3,A079430,현대리바트,20210824,11282,246363,-110057
4,A079430,현대리바트,20210823,10991,251145,-114483
5,A079430,현대리바트,20210820,14194,242757,-112302
6,A079430,현대리바트,20210819,16560,241351,-111653
7,A079430,현대리바트,20210818,14696,239854,-107847
8,A079430,현대리바트,20210817,-64537,227961,-16693
9,A079430,현대리바트,20210813,-70344,233774,-16228
10,A079430,현대리바트,20210812,-81356,243268,-15552
11,A079430,현대리바트,20210811,-88648,251129,-15883
12,A079430,현대리바트,20210810,-105355,264991,-15334
13,A079430,현대리바트,20210809,-123843,271415,-6536
14,A079430,현대리바트,20210806,-166684,306146,-5648
15,A079430,현대리바트,20210805,-191639,327958,-2403
16,A079430,현대리바트,20210804,-190691,332401,-8568
17,A079430,현대리바트,20210803,-221824,340083,15095
18,A079430,현대리바트,20210802,-278153,374443,39070
19,A079430,현대리바트,20210730,-290430,389141,39951
20,A079430,현대리바트,20210729,-309366,406696,41202
21,A079430,현대리바트,20210728,-312765,409072,42026
22,A079430,현대리바트,20210727,-322920,420355,41937
23,A079430,현대리바트,20210726,-332249,429752,41828
24,A079430,현대리바트,20210723,-354270,447454,46155
25,A079430,현대리바트,20210722,-374578,461482,50807
26,A079430,현대리바트,20210721,-391689,477802,51836
27,A079430,현대리바트,20210720,-396579,492020,42690
28,A079430,현대리바트,20210719,-423634,515282,44103
29,A079430,현대리바트,20210716,-425036,511992,48038
30,A079430,현대리바트,20210715,-442945,524792,51809
31,A079430,현대리바트,20210714,-656823,743752,48063
32,A079430,현대리바트,20210713,-356321,538180,-64796
33,A079430,현대리바트,20210712,-394379,544451,-35873
34,A079430,현대리바트,20210709,-379231,533575,-36410
35,A079430,현대리바트,20210708,-397369,542951,-26676
36,A079430,현대리바트,20210707,-410089,561669,-30030
37,A079430,현대리바트,20210706,-407904,563733,-35458
38,A079430,현대리바트,20210705,-348089,492421,-25229
39,A079430,현대리바트,20210702,-345646,497960,-26236
40,A079430,현대리바트,20210701,-360491,509260,-23852
41,A079430,현대리바트,20210630,-350212,486896,-16559
42,A079430,현대리바트,20210629,-347015,485298,-17838
43,A079430,현대리바트,20210628,-361020,486795,-11628
44,A079430,현대리바트,20210625,-332877,471069,-11017
45,A079430,현대리바트,20210624,-367793,506641,-11705
46,A079430,현대리바트,20210623,-351857,492976,-12963
47,A079430,현대리바트,20210622,-365937,516617,-11883
48,A079430,현대리바트,20210621,-353683,508685,-10678
49,A079430,현대리바트,20210618,-408340,546172,8334
50,A079430,현대리바트,20210617,-407960,550086,4141
51,A079430,현대리바트,20210616,-406498,550421,4933
52,A079430,현대리바트,20210615,-402906,548323,4093
53,A079430,현대리바트,20210614,-394514,543636,4177
54,A079430,현대리바트,20210611,-416531,534998,37604
55,A079430,현대리바트,20210610,-403617,526554,38433
56,A079430,현대리바트,20210609,-394348,524963,31057
57,A079430,현대리바트,20210608,-378841,496166,43541
58,A079430,현대리바트,20210607,-322788,466904,14561
59,A079430,현대리바트,20210604,-351414,510164,1371
60,A079430,현대리바트,20210603,-345647,502783,2312
61,A079430,현대리바트,20210602,-408999,564718,-5158
62,A079430,현대리바트,20210601,-206980,390656,-10848
63,A079430,현대리바트,20210531,-204006,385283,-7080
64,A079430,현대리바트,20210528,-192105,390162,-19140
65,A079430,현대리바트,20210527,-177088,388910,-33004
66,A079430,현대리바트,20210526,-162687,377200,-34289
67,A079430,현대리바트,20210525,-162912,371945,-24364
68,A079430,현대리바트,20210524,-173104,380758,-21785
69,A079430,현대리바트,20210521,-162964,341794,-22169
70,A079430,현대리바트,20210520,-165712,338502,-15170
71,A079430,현대리바트,20210518,-139746,312174,-15264
72,A079430,현대리바트,20210517,-129144,299081,-12203
73,A079430,현대리바트,20210514,-200523,312855,54531
74,A079430,현대리바트,20210513,-208357,321722,53664
75,A079430,현대리바트,20210512,-219097,335432,50959
76,A079430,현대리바트,20210511,-216537,357111,28343
77,A079430,현대리바트,20210510,-277669,433171,17687
78,A079430,현대리바트,20210507,-120457,336234,-55495
79,A079430,현대리바트,20210506,-124780,338330,-64332
80,A079430,현대리바트,20210504,-123849,325220,-50995
81,A079430,현대리바트,20210503,-130433,329976,-49719
82,A079430,현대리바트,20210430,-120656,333063,-64856
83,A079430,현대리바트,20210429,-131502,346785,-65397
84,A079430,현대리바트,20210428,-122907,335907,-63905
85,A079430,현대리바트,20210427,-166038,380275,-63793
86,A079430,현대리바트,20210426,-136365,350756,-63810
87,A079430,현대리바트,20210423,-136342,357405,-71141
88,A079430,현대리바트,20210422,-152276,366249,-71131
89,A079430,현대리바트,20210421,-153096,352830,-69813
90,A079430,현대리바트,20210420,-210280,407458,-66747
91,A079430,현대리바트,20210419,-206533,404123,-66748
92,A079430,현대리바트,20210416,-194369,386468,-63399
93,A079430,현대리바트,20210415,-180837,362722,-63545
94,A079430,현대리바트,20210414,-175800,360350,-65975
95,A079430,현대리바트,20210413,-134134,315367,-62935
96,A079430,현대리바트,20210412,-105565,281211,-63022
97,A079430,현대리바트,20210409,-66351,240409,-60768
98,A079430,현대리바트,20210408,56297,103648,-70946
99,A079430,현대리바트,20210407,86889,53304,-61307
100,A079430,현대리바트,20210406,69130,65573,-55347
101,A079430,현대리바트,20210405,62219,72378,-55279
102,A079430,현대리바트,20210402,71135,38687,-36952
103,A079430,현대리바트,20210401,46014,41909,-25967
104,A079430,현대리바트,20210331,-51089,135161,-20370
105,A079430,현대리바트,20210330,46674,17961,-25103
106,A079430,현대리바트,20210329,59186,5487,-25943
107,A079430,현대리바트,20210326,28259,37209,-26105
108,A079430,현대리바트,20210325,63619,8267,-34770
109,A079430,현대리바트,20210324,49745,15741,-27475
110,A079430,현대리바트,20210323,18815,37771,-8000
111,A079430,현대리바트,20210322,18936,31865,-9470
112,A079430,현대리바트,20210319,-15994,20479,-6071
113,A079430,현대리바트,20210318,-4230,8151,-5061
114,A079430,현대리바트,20210317,-349,2825,-3615
115,A079430,현대리바트,20210316,7161,-3666,-4588
116,A079430,현대리바트,20210315,-313,4764,-6248
117,A079430,현대리바트,20210312,7025,-3571,-5225
118,A079430,현대리바트,20210311,5285,-2845,-4548
