,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A004310,현대약품,20210827,106501,-51025,-50603
1,A004310,현대약품,20210826,88398,-35463,-48062
2,A004310,현대약품,20210825,96347,-43279,-48195
3,A004310,현대약품,20210824,98722,-45684,-48165
4,A004310,현대약품,20210823,106486,-51497,-48042
5,A004310,현대약품,20210820,201072,-131309,-51000
6,A004310,현대약품,20210819,250510,-173050,-58184
7,A004310,현대약품,20210818,260720,-183432,-58009
8,A004310,현대약품,20210817,300252,-221153,-61373
9,A004310,현대약품,20210813,303391,-225107,-61180
10,A004310,현대약품,20210812,300137,-222152,-61179
11,A004310,현대약품,20210811,302306,-224566,-61226
12,A004310,현대약품,20210810,309146,-225841,-66862
13,A004310,현대약품,20210809,284140,-200482,-65099
14,A004310,현대약품,20210806,281466,-191964,-70941
15,A004310,현대약품,20210805,266456,-178144,-69748
16,A004310,현대약품,20210804,276653,-183819,-74263
17,A004310,현대약품,20210803,277522,-185020,-74116
18,A004310,현대약품,20210802,281430,-183945,-79636
19,A004310,현대약품,20210730,289333,-192112,-79343
20,A004310,현대약품,20210729,285159,-181260,-86217
21,A004310,현대약품,20210728,285582,-181499,-86185
22,A004310,현대약품,20210727,284459,-179760,-86342
23,A004310,현대약품,20210726,297820,-190383,-89080
24,A004310,현대약품,20210723,291227,-179493,-92857
25,A004310,현대약품,20210722,289623,-177302,-92864
26,A004310,현대약품,20210721,288346,-175783,-92866
27,A004310,현대약품,20210720,274036,-164177,-91582
28,A004310,현대약품,20210719,284993,-182539,-84137
29,A004310,현대약품,20210716,273365,-171022,-84128
30,A004310,현대약품,20210715,263498,-161298,-83995
31,A004310,현대약품,20210714,239138,-151197,-69649
32,A004310,현대약품,20210713,228734,-140857,-69585
33,A004310,현대약품,20210712,222837,-134238,-70310
34,A004310,현대약품,20210709,237492,-139850,-79355
35,A004310,현대약품,20210708,124244,-29650,-76222
36,A004310,현대약품,20210707,-5649,104754,-80360
37,A004310,현대약품,20210706,79589,15601,-75733
38,A004310,현대약품,20210705,62202,40819,-83595
39,A004310,현대약품,20210702,72991,30021,-83594
40,A004310,현대약품,20210701,49750,48410,-80832
41,A004310,현대약품,20210630,110403,-11997,-80793
42,A004310,현대약품,20210629,134037,-32025,-82024
