,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A041440,현대에버다임,20210827,-175660,159295,3793
1,A041440,현대에버다임,20210826,-178729,169818,-3661
2,A041440,현대에버다임,20210825,-184795,175884,-3661
3,A041440,현대에버다임,20210824,-190602,181685,-3661
4,A041440,현대에버다임,20210823,-199598,192898,-3661
5,A041440,현대에버다임,20210820,-187150,192761,-4460
6,A041440,현대에버다임,20210819,-177789,185818,-5378
7,A041440,현대에버다임,20210818,-194220,202264,-5378
8,A041440,현대에버다임,20210817,-191655,202166,-7845
9,A041440,현대에버다임,20210813,-211560,222421,-7845
10,A041440,현대에버다임,20210812,-214004,224867,-7845
11,A041440,현대에버다임,20210811,-219630,230493,-7845
12,A041440,현대에버다임,20210810,-216887,227750,-7845
13,A041440,현대에버다임,20210809,-224703,235071,-7350
14,A041440,현대에버다임,20210806,-223904,234272,-7350
15,A041440,현대에버다임,20210805,-220062,230430,-7350
16,A041440,현대에버다임,20210804,-220611,230979,-7350
17,A041440,현대에버다임,20210803,-220626,230994,-7350
18,A041440,현대에버다임,20210802,-221843,232192,-7350
19,A041440,현대에버다임,20210730,-224456,234406,-7350
20,A041440,현대에버다임,20210729,-228477,238717,-7350
21,A041440,현대에버다임,20210728,-231876,242116,-7350
22,A041440,현대에버다임,20210727,-257435,268417,-7272
23,A041440,현대에버다임,20210726,-248406,251516,-305
24,A041440,현대에버다임,20210723,-263747,249047,17650
25,A041440,현대에버다임,20210722,-257156,226456,33650
26,A041440,현대에버다임,20210721,-242908,212015,33650
27,A041440,현대에버다임,20210720,-291204,260784,33650
28,A041440,현대에버다임,20210719,-258541,228121,33650
29,A041440,현대에버다임,20210716,-264052,233632,33650
30,A041440,현대에버다임,20210715,-236749,206246,33650
31,A041440,현대에버다임,20210714,-223365,193242,33270
32,A041440,현대에버다임,20210713,-204093,173940,33270
33,A041440,현대에버다임,20210712,-180822,150978,32921
34,A041440,현대에버다임,20210709,-151354,128069,26380
35,A041440,현대에버다임,20210708,-145257,121982,26380
36,A041440,현대에버다임,20210707,-141404,118632,26380
37,A041440,현대에버다임,20210706,-200822,173648,26380
38,A041440,현대에버다임,20210705,-148400,121920,25494
39,A041440,현대에버다임,20210702,-171274,140673,25494
40,A041440,현대에버다임,20210701,-166296,134048,25494
41,A041440,현대에버다임,20210630,-190758,158685,25494
42,A041440,현대에버다임,20210629,-153995,122084,27962
43,A041440,현대에버다임,20210628,-148558,116682,27962
44,A041440,현대에버다임,20210625,-132969,101546,27962
45,A041440,현대에버다임,20210624,-123193,91374,27962
46,A041440,현대에버다임,20210623,-141032,109609,28386
47,A041440,현대에버다임,20210622,-199934,156239,43120
48,A041440,현대에버다임,20210621,-176593,132922,44120
49,A041440,현대에버다임,20210618,-203267,146404,62070
50,A041440,현대에버다임,20210617,-222259,162254,65070
51,A041440,현대에버다임,20210616,-283913,227908,65070
52,A041440,현대에버다임,20210615,-259810,203809,65070
53,A041440,현대에버다임,20210614,-263587,207002,65570
54,A041440,현대에버다임,20210611,-222275,165395,65570
55,A041440,현대에버다임,20210610,-227641,189992,52780
56,A041440,현대에버다임,20210609,-88040,40806,62192
57,A041440,현대에버다임,20210608,-328993,284344,30279
58,A041440,현대에버다임,20210607,-309166,271390,26844
59,A041440,현대에버다임,20210604,-296661,263894,26844
60,A041440,현대에버다임,20210603,-269737,236923,26844
61,A041440,현대에버다임,20210602,-196138,163298,26844
62,A041440,현대에버다임,20210601,-148118,119854,31592
63,A041440,현대에버다임,20210531,-141195,112916,31592
64,A041440,현대에버다임,20210528,-137366,108087,31592
65,A041440,현대에버다임,20210527,-141059,111780,31592
66,A041440,현대에버다임,20210526,-144863,115584,31592
67,A041440,현대에버다임,20210525,-148048,118769,31592
68,A041440,현대에버다임,20210524,-158220,128951,31592
69,A041440,현대에버다임,20210521,-171190,132017,41496
70,A041440,현대에버다임,20210520,-198602,149579,51346
71,A041440,현대에버다임,20210518,-213071,155487,59907
72,A041440,현대에버다임,20210517,-209464,151996,59796
73,A041440,현대에버다임,20210514,-222388,164936,59796
74,A041440,현대에버다임,20210513,-226862,170210,59796
75,A041440,현대에버다임,20210512,-221423,160763,63804
76,A041440,현대에버다임,20210511,-221405,156075,68804
77,A041440,현대에버다임,20210510,-225121,158991,68804
78,A041440,현대에버다임,20210507,-226912,159830,68804
79,A041440,현대에버다임,20210506,-231534,165952,68804
80,A041440,현대에버다임,20210504,-184089,120740,67890
81,A041440,현대에버다임,20210503,-195976,129355,67890
82,A041440,현대에버다임,20210430,-193118,126497,67890
83,A041440,현대에버다임,20210429,-198430,131022,68687
84,A041440,현대에버다임,20210428,-208233,138970,70530
85,A041440,현대에버다임,20210427,-232274,162653,70530
86,A041440,현대에버다임,20210426,-234494,164873,70530
87,A041440,현대에버다임,20210423,-237003,167382,70530
88,A041440,현대에버다임,20210422,-235867,166246,70530
89,A041440,현대에버다임,20210421,-238921,169300,70530
90,A041440,현대에버다임,20210420,-246793,177175,70530
91,A041440,현대에버다임,20210419,-246001,176388,70530
92,A041440,현대에버다임,20210416,-238777,169084,70530
93,A041440,현대에버다임,20210415,-240523,171008,70530
94,A041440,현대에버다임,20210414,-236458,166953,70530
95,A041440,현대에버다임,20210413,-235316,165816,70530
96,A041440,현대에버다임,20210412,-248119,178619,70530
97,A041440,현대에버다임,20210409,-251059,181574,70530
98,A041440,현대에버다임,20210408,-257720,187692,70530
99,A041440,현대에버다임,20210407,-262334,192186,70530
100,A041440,현대에버다임,20210406,-252955,181672,70530
101,A041440,현대에버다임,20210405,-245567,174114,70530
102,A041440,현대에버다임,20210402,-227356,156056,70530
103,A041440,현대에버다임,20210401,-220053,148779,70530
104,A041440,현대에버다임,20210331,-218937,147682,70530
105,A041440,현대에버다임,20210330,-240628,169397,70530
106,A041440,현대에버다임,20210329,-240770,167571,70530
107,A041440,현대에버다임,20210326,-151806,81098,70530
108,A041440,현대에버다임,20210325,-134464,69550,64756
109,A041440,현대에버다임,20210324,-152285,92546,59756
110,A041440,현대에버다임,20210323,-91713,41976,49754
111,A041440,현대에버다임,20210322,-116016,76183,39748
112,A041440,현대에버다임,20210319,-40314,17364,22748
113,A041440,현대에버다임,20210318,-30938,8588,21748
114,A041440,현대에버다임,20210317,-10027,9425,0
115,A041440,현대에버다임,20210316,1638,-2274,0
116,A041440,현대에버다임,20210315,10726,-10985,0
117,A041440,현대에버다임,20210312,20316,-21075,0
118,A041440,현대에버다임,20210311,17148,-19552,0
