,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A005385,현대차우,20210827,-72622,493988,-435036
1,A005385,현대차우,20210826,-67662,491635,-437629
2,A005385,현대차우,20210825,-68230,482488,-427792
3,A005385,현대차우,20210824,-77450,473879,-410347
4,A005385,현대차우,20210823,-109206,479414,-386460
5,A005385,현대차우,20210820,-112744,480868,-384304
6,A005385,현대차우,20210819,-130256,489540,-374779
7,A005385,현대차우,20210818,-126636,481885,-374946
8,A005385,현대차우,20210817,-131779,483203,-371035
9,A005385,현대차우,20210813,-142520,494611,-369095
10,A005385,현대차우,20210812,-166533,509955,-360319
11,A005385,현대차우,20210811,-172274,515346,-357260
12,A005385,현대차우,20210810,-182412,516048,-347296
13,A005385,현대차우,20210809,-192600,519859,-340073
14,A005385,현대차우,20210806,-209009,525962,-329746
15,A005385,현대차우,20210805,-223909,531329,-321274
16,A005385,현대차우,20210804,-241630,537013,-309260
17,A005385,현대차우,20210803,-251592,537375,-300083
18,A005385,현대차우,20210802,-242506,522990,-294847
19,A005385,현대차우,20210730,-242925,519331,-290880
20,A005385,현대차우,20210729,-251062,526142,-290307
21,A005385,현대차우,20210728,-247279,515792,-285624
22,A005385,현대차우,20210727,-262627,521426,-276826
23,A005385,현대차우,20210726,-270918,524705,-271536
24,A005385,현대차우,20210723,-280297,530024,-266877
25,A005385,현대차우,20210722,-314503,550062,-252604
26,A005385,현대차우,20210721,-313920,550290,-252781
27,A005385,현대차우,20210720,-308694,546766,-254423
28,A005385,현대차우,20210719,-302698,539500,-253180
29,A005385,현대차우,20210716,-300405,531102,-246932
30,A005385,현대차우,20210715,-286658,516350,-245982
31,A005385,현대차우,20210714,-284633,514316,-245925
32,A005385,현대차우,20210713,-285440,515089,-246049
33,A005385,현대차우,20210712,-286547,516888,-247324
34,A005385,현대차우,20210709,-289615,521847,-248770
35,A005385,현대차우,20210708,-291848,521187,-245421
36,A005385,현대차우,20210707,-285991,512651,-242279
37,A005385,현대차우,20210706,-275415,504826,-243384
38,A005385,현대차우,20210705,-276737,506720,-244104
39,A005385,현대차우,20210702,-276447,507991,-245425
40,A005385,현대차우,20210701,-274314,507659,-246547
41,A005385,현대차우,20210630,-255367,485361,-243453
42,A005385,현대차우,20210629,-256324,484176,-241157
43,A005385,현대차우,20210628,-246695,473742,-240578
44,A005385,현대차우,20210625,-256457,482644,-239943
45,A005385,현대차우,20210624,-266763,473004,-219917
46,A005385,현대차우,20210623,-269503,473299,-217861
47,A005385,현대차우,20210622,-266991,472283,-219285
48,A005385,현대차우,20210621,-261147,466322,-219199
49,A005385,현대차우,20210618,-279160,480096,-214160
50,A005385,현대차우,20210617,-307077,515237,-220930
51,A005385,현대차우,20210616,-314778,530104,-228194
52,A005385,현대차우,20210615,-300672,526455,-238168
53,A005385,현대차우,20210614,-305263,528915,-236836
54,A005385,현대차우,20210611,-300823,522705,-234002
55,A005385,현대차우,20210610,-266758,486834,-232020
56,A005385,현대차우,20210609,-252313,466001,-224991
57,A005385,현대차우,20210608,-252894,461106,-220111
58,A005385,현대차우,20210607,-237021,443532,-218693
59,A005385,현대차우,20210604,-232904,439233,-218969
60,A005385,현대차우,20210603,-229202,430465,-219009
61,A005385,현대차우,20210602,-245826,434091,-204578
62,A005385,현대차우,20210601,-244972,429088,-199668
63,A005385,현대차우,20210531,-242559,410496,-178480
64,A005385,현대차우,20210528,-232536,418173,-194403
65,A005385,현대차우,20210527,-219609,390487,-179192
66,A005385,현대차우,20210526,-264052,433217,-177394
67,A005385,현대차우,20210525,-264302,435197,-177872
68,A005385,현대차우,20210524,-261174,435041,-179012
69,A005385,현대차우,20210521,-263925,437092,-178056
70,A005385,현대차우,20210520,-273912,462049,-192135
71,A005385,현대차우,20210518,-273351,458887,-190012
72,A005385,현대차우,20210517,-269139,455287,-190536
73,A005385,현대차우,20210514,-266980,452380,-189636
74,A005385,현대차우,20210513,-270859,467820,-201808
75,A005385,현대차우,20210512,-278705,479149,-205165
76,A005385,현대차우,20210511,-285533,484134,-204181
77,A005385,현대차우,20210510,-291033,489026,-205342
78,A005385,현대차우,20210507,-270888,478844,-214402
79,A005385,현대차우,20210506,-219576,443914,-230161
80,A005385,현대차우,20210504,-190411,419780,-234863
81,A005385,현대차우,20210503,-185934,416560,-234472
82,A005385,현대차우,20210430,-173799,408030,-237474
83,A005385,현대차우,20210429,-160953,388895,-231153
84,A005385,현대차우,20210428,-92525,313135,-224140
85,A005385,현대차우,20210427,-87846,302389,-218411
86,A005385,현대차우,20210426,-69568,282886,-217153
87,A005385,현대차우,20210423,-53054,266223,-217153
88,A005385,현대차우,20210422,-73273,284670,-215644
89,A005385,현대차우,20210421,-60228,257158,-201359
90,A005385,현대차우,20210420,-58726,239807,-185160
91,A005385,현대차우,20210419,-68860,238600,-173748
92,A005385,현대차우,20210416,-63298,230359,-171544
93,A005385,현대차우,20210415,-59995,219560,-164019
94,A005385,현대차우,20210414,-56120,204457,-153080
95,A005385,현대차우,20210413,-5602,153910,-153282
96,A005385,현대차우,20210412,12470,127231,-144693
97,A005385,현대차우,20210409,33781,106926,-145041
98,A005385,현대차우,20210408,44355,79726,-128096
99,A005385,현대차우,20210407,30650,71776,-106451
100,A005385,현대차우,20210406,40513,53283,-97821
101,A005385,현대차우,20210405,35036,58326,-96972
102,A005385,현대차우,20210402,43755,49505,-96375
103,A005385,현대차우,20210401,102435,2478,-106618
104,A005385,현대차우,20210331,114437,-13143,-102902
105,A005385,현대차우,20210330,116056,-17320,-100188
106,A005385,현대차우,20210329,123005,-24246,-98958
107,A005385,현대차우,20210326,99569,-15972,-84499
108,A005385,현대차우,20210325,74111,-6569,-67962
