,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A003010,혜인,20210827,-290391,180603,-8341
1,A003010,혜인,20210826,-289774,180101,-8346
2,A003010,혜인,20210825,-291587,181920,-8352
3,A003010,혜인,20210824,-294978,185476,-8517
4,A003010,혜인,20210823,-273460,164015,-8760
5,A003010,혜인,20210820,-236614,128011,-8757
6,A003010,혜인,20210819,-263654,154905,-8763
7,A003010,혜인,20210818,-290963,183086,-8783
8,A003010,혜인,20210817,-250957,144381,-9884
9,A003010,혜인,20210813,-217968,111436,-9888
10,A003010,혜인,20210812,-229011,122466,-9890
11,A003010,혜인,20210811,-225731,118760,-9464
12,A003010,혜인,20210810,-227958,117488,-6249
13,A003010,혜인,20210809,-224321,114074,-6141
14,A003010,혜인,20210806,-238361,125441,-2911
15,A003010,혜인,20210805,-235444,122500,-2887
16,A003010,혜인,20210804,-233088,116914,343
17,A003010,혜인,20210803,-192952,79262,344
18,A003010,혜인,20210802,-238376,125182,3554
19,A003010,혜인,20210730,-223873,111257,3580
20,A003010,혜인,20210729,-265019,128108,6787
21,A003010,혜인,20210728,-262752,125740,6782
22,A003010,혜인,20210727,-274731,139089,6775
23,A003010,혜인,20210726,-227366,91849,6697
24,A003010,혜인,20210723,-237910,102552,6697
25,A003010,혜인,20210722,-225331,92032,6695
26,A003010,혜인,20210721,-211353,78591,6695
27,A003010,혜인,20210720,-204448,72021,6395
28,A003010,혜인,20210719,-218273,84332,6405
29,A003010,혜인,20210716,-236739,102695,6407
30,A003010,혜인,20210715,-230073,96555,6414
31,A003010,혜인,20210714,-206208,72362,6419
32,A003010,혜인,20210713,-199796,64958,6425
33,A003010,혜인,20210712,-171740,37181,6415
34,A003010,혜인,20210709,-143754,9054,6456
35,A003010,혜인,20210708,-116938,-19047,6535
36,A003010,혜인,20210707,-124156,-11218,6534
37,A003010,혜인,20210706,-122060,-13002,6531
38,A003010,혜인,20210705,-94820,-36895,6534
39,A003010,혜인,20210702,-94275,-37487,6537
40,A003010,혜인,20210701,-92335,-38808,6541
41,A003010,혜인,20210630,-88662,-42481,6568
42,A003010,혜인,20210629,-94188,-36388,6245
43,A003010,혜인,20210628,-117296,-13251,6246
44,A003010,혜인,20210625,-108263,-22255,6251
45,A003010,혜인,20210624,-113602,-14547,3882
46,A003010,혜인,20210623,-134493,9983,273
47,A003010,혜인,20210622,-181950,62290,-4434
48,A003010,혜인,20210621,-134745,20344,-9644
49,A003010,혜인,20210618,-210060,94553,-9640
50,A003010,혜인,20210617,-268517,154085,-10529
51,A003010,혜인,20210616,-201322,84768,-11024
52,A003010,혜인,20210615,-168643,53708,-12574
53,A003010,혜인,20210614,-133978,18829,-12585
54,A003010,혜인,20210611,-112033,-3636,-12532
55,A003010,혜인,20210610,-175179,59380,-12196
56,A003010,혜인,20210609,-353163,205917,16881
57,A003010,혜인,20210608,-323844,206664,-12235
58,A003010,혜인,20210607,-305419,187553,-12404
59,A003010,혜인,20210604,-382816,266540,-12403
60,A003010,혜인,20210603,-383097,266803,-12398
61,A003010,혜인,20210602,-376975,259422,-12397
62,A003010,혜인,20210601,-322659,205840,-12378
63,A003010,혜인,20210531,-291889,174248,-12204
64,A003010,혜인,20210528,-290720,173630,-12205
65,A003010,혜인,20210527,-271114,155119,-12199
66,A003010,혜인,20210526,-299021,184617,-12206
67,A003010,혜인,20210525,-285071,170710,-12239
68,A003010,혜인,20210524,-276257,161898,-12241
69,A003010,혜인,20210521,-296621,182461,-12246
70,A003010,혜인,20210520,-412231,298322,-12292
71,A003010,혜인,20210518,-393531,281640,-12309
72,A003010,혜인,20210517,-302629,189788,-12347
73,A003010,혜인,20210514,-285490,172142,-12082
74,A003010,혜인,20210513,-292139,178803,-12068
75,A003010,혜인,20210512,-253082,139687,-12078
76,A003010,혜인,20210511,-257310,156773,-12086
77,A003010,혜인,20210510,-209755,144232,-12001
78,A003010,혜인,20210507,-88569,22059,-12008
79,A003010,혜인,20210506,-12004,-50239,-12023
80,A003010,혜인,20210504,4059,-57381,-12054
81,A003010,혜인,20210503,57260,-110510,-12079
82,A003010,혜인,20210430,136097,-189180,-12080
83,A003010,혜인,20210429,157848,-211077,-12021
84,A003010,혜인,20210428,201928,-256400,-12052
85,A003010,혜인,20210427,222548,-258550,-12053
86,A003010,혜인,20210426,185370,-239227,4666
87,A003010,혜인,20210423,257001,-242056,-12240
88,A003010,혜인,20210422,275127,-260285,-12239
89,A003010,혜인,20210421,340101,-326406,-11342
90,A003010,혜인,20210420,336522,-329087,-11342
91,A003010,혜인,20210419,382975,-374699,-9654
92,A003010,혜인,20210416,372022,-364098,-8939
93,A003010,혜인,20210415,412742,-407279,-9098
94,A003010,혜인,20210414,399884,-394187,-9045
95,A003010,혜인,20210413,412837,-407485,-9073
96,A003010,혜인,20210412,394231,-391502,-7856
97,A003010,혜인,20210409,417151,-404968,2833
98,A003010,혜인,20210408,461086,-438228,-7717
99,A003010,혜인,20210407,453448,-430835,-7713
100,A003010,혜인,20210406,470101,-443388,-7698
101,A003010,혜인,20210405,438553,-412505,-6965
102,A003010,혜인,20210402,443381,-417433,-6963
103,A003010,혜인,20210401,425550,-401576,-6961
104,A003010,혜인,20210331,367215,-341364,-6959
105,A003010,혜인,20210330,438836,-410848,-6942
106,A003010,혜인,20210329,432099,-403760,-6944
107,A003010,혜인,20210326,415455,-383798,-6943
108,A003010,혜인,20210325,377627,-351881,-6313
109,A003010,혜인,20210324,132705,-98064,-6589
110,A003010,혜인,20210323,64226,-89879,55693
111,A003010,혜인,20210322,-66659,80268,-6589
112,A003010,혜인,20210319,-73618,82887,-3886
113,A003010,혜인,20210318,-51537,63624,-4442
114,A003010,혜인,20210317,-59340,59793,-4490
115,A003010,혜인,20210316,-54901,54291,-736
116,A003010,혜인,20210315,-32605,32525,-257
117,A003010,혜인,20210312,-47381,47302,-567
118,A003010,혜인,20210311,-71462,71702,-566
