,辆格内靛,辆格疙,朝楼,俺牢 鉴概荐,寇惫牢 鉴概荐,扁包 鉴概荐
0,A065510,绒厚明,20210827,-447613,328455,132558
1,A065510,绒厚明,20210826,-449853,334107,129146
2,A065510,绒厚明,20210825,-455547,339803,129146
3,A065510,绒厚明,20210824,-461760,346016,129146
4,A065510,绒厚明,20210823,-437391,323147,129146
5,A065510,绒厚明,20210820,-432895,328458,127089
6,A065510,绒厚明,20210819,-451321,349260,124593
7,A065510,绒厚明,20210818,-465221,363158,124593
8,A065510,绒厚明,20210817,-404980,305858,121611
9,A065510,绒厚明,20210813,-409074,306914,121611
10,A065510,绒厚明,20210812,-407987,305822,121606
11,A065510,绒厚明,20210811,-399977,297812,121606
12,A065510,绒厚明,20210810,-398250,295672,121606
13,A065510,绒厚明,20210809,-407104,303616,122516
14,A065510,绒厚明,20210806,-414685,311198,122515
15,A065510,绒厚明,20210805,-406989,303470,122515
16,A065510,绒厚明,20210804,-397414,298865,117515
17,A065510,绒厚明,20210803,-365664,267013,117515
18,A065510,绒厚明,20210802,-366826,266852,117515
19,A065510,绒厚明,20210730,-334980,235856,117515
20,A065510,绒厚明,20210729,-502854,397125,122151
21,A065510,绒厚明,20210728,-506948,401219,122151
22,A065510,绒厚明,20210727,-515210,409491,122151
23,A065510,绒厚明,20210726,-521906,416199,122149
24,A065510,绒厚明,20210723,-525717,422930,119229
25,A065510,绒厚明,20210722,-530760,427973,119229
26,A065510,绒厚明,20210721,-542046,433138,122150
27,A065510,绒厚明,20210720,-550144,441086,122150
28,A065510,绒厚明,20210719,-554446,445388,122150
29,A065510,绒厚明,20210716,-561408,452350,122150
30,A065510,绒厚明,20210715,-568777,459719,122150
31,A065510,绒厚明,20210714,-580755,460886,132861
32,A065510,绒厚明,20210713,-584937,465049,132861
33,A065510,绒厚明,20210712,-567108,447756,132296
34,A065510,绒厚明,20210709,-540605,430209,122946
35,A065510,绒厚明,20210708,-524145,410711,125186
36,A065510,绒厚明,20210707,-514680,403084,123349
37,A065510,绒厚明,20210706,-515681,401904,125532
38,A065510,绒厚明,20210705,-513222,405242,119785
39,A065510,绒厚明,20210702,-514888,406758,119785
40,A065510,绒厚明,20210701,-520290,409991,121886
41,A065510,绒厚明,20210630,-531124,420746,121965
42,A065510,绒厚明,20210629,-532242,423922,120897
43,A065510,绒厚明,20210628,-535073,413845,133925
44,A065510,绒厚明,20210625,-537833,416417,134263
45,A065510,绒厚明,20210624,-528012,406745,134263
46,A065510,绒厚明,20210623,-525530,403460,134263
47,A065510,绒厚明,20210622,-516542,397849,130886
48,A065510,绒厚明,20210621,-515979,397286,130886
49,A065510,绒厚明,20210618,-493897,375970,129456
50,A065510,绒厚明,20210617,-497007,379080,129456
51,A065510,绒厚明,20210616,-500732,382805,129456
52,A065510,绒厚明,20210615,-506097,387904,129456
53,A065510,绒厚明,20210614,-505375,386659,129456
54,A065510,绒厚明,20210611,-482168,383452,109456
55,A065510,绒厚明,20210610,-479674,380205,110187
56,A065510,绒厚明,20210609,-476799,378314,110187
57,A065510,绒厚明,20210608,-473198,374637,110187
58,A065510,绒厚明,20210607,-464202,365641,110187
59,A065510,绒厚明,20210604,-435559,351861,95187
60,A065510,绒厚明,20210603,-414067,329964,95192
61,A065510,绒厚明,20210602,-401400,317297,95192
62,A065510,绒厚明,20210601,-383585,299472,95192
63,A065510,绒厚明,20210531,-350776,286565,75192
64,A065510,绒厚明,20210528,-328469,264253,75197
65,A065510,绒厚明,20210527,-319471,241699,88961
66,A065510,绒厚明,20210526,-311354,232128,88961
67,A065510,绒厚明,20210525,-335585,255338,89040
68,A065510,绒厚明,20210524,-263314,183815,87810
69,A065510,绒厚明,20210521,-155912,125572,38988
70,A065510,绒厚明,20210520,-151307,132135,27820
71,A065510,绒厚明,20210518,-91277,79135,20910
72,A065510,绒厚明,20210517,-63820,54567,18021
73,A065510,绒厚明,20210514,-50955,50141,9589
74,A065510,绒厚明,20210513,-31137,36366,3506
75,A065510,绒厚明,20210512,-11210,18087,1858
76,A065510,绒厚明,20210511,-11880,16257,3592
77,A065510,绒厚明,20210510,-20920,23685,2971
78,A065510,绒厚明,20210507,3329,-2402,2971
79,A065510,绒厚明,20210506,12887,-11950,2971
80,A065510,绒厚明,20210504,25153,-21260,10
81,A065510,绒厚明,20210503,38003,-29095,-5000
82,A065510,绒厚明,20210430,49080,-40180,-5000
83,A065510,绒厚明,20210429,52263,-43363,-5000
84,A065510,绒厚明,20210428,24495,-19011,-789
85,A065510,绒厚明,20210427,16787,-12317,-789
86,A065510,绒厚明,20210426,22755,-14043,-5000
87,A065510,绒厚明,20210423,34328,-25808,-5000
88,A065510,绒厚明,20210422,38117,-29597,-5000
89,A065510,绒厚明,20210421,26529,-18009,-5000
90,A065510,绒厚明,20210420,39696,-31212,-5000
91,A065510,绒厚明,20210419,37478,-28992,-5000
92,A065510,绒厚明,20210416,36712,-29258,-5000
93,A065510,绒厚明,20210415,36932,-29598,-5000
94,A065510,绒厚明,20210414,49521,-39455,-10000
95,A065510,绒厚明,20210413,48380,-41091,-10000
96,A065510,绒厚明,20210412,34355,-26894,-10000
97,A065510,绒厚明,20210409,67458,-59189,-10000
98,A065510,绒厚明,20210408,73045,-64776,-10000
99,A065510,绒厚明,20210407,71402,-63133,-10000
100,A065510,绒厚明,20210406,59576,-61307,0
