,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A011150,CJ¾¾Çªµå,20210823,3915,4000,3870,4000,91845,005,35930000
1,A011150,CJ¾¾Çªµå,20210820,4065,4140,3900,3920,327299,005,35930000
2,A011150,CJ¾¾Çªµå,20210819,4250,4300,4025,4095,340678,005,35930000
3,A011150,CJ¾¾Çªµå,20210818,4150,4320,4150,4270,180759,005,35930000
4,A011150,CJ¾¾Çªµå,20210817,4440,4465,4265,4270,347396,005,35930000
5,A011150,CJ¾¾Çªµå,20210813,4515,4515,4385,4440,357878,005,35930000
6,A011150,CJ¾¾Çªµå,20210812,4560,4610,4505,4520,244222,005,35930000
7,A011150,CJ¾¾Çªµå,20210811,4600,4645,4560,4560,189350,005,35930000
8,A011150,CJ¾¾Çªµå,20210810,4585,4625,4580,4600,208751,005,35930000
9,A011150,CJ¾¾Çªµå,20210809,4650,4660,4610,4610,192726,005,35930000
10,A011150,CJ¾¾Çªµå,20210806,4625,4645,4600,4645,203121,005,35930000
11,A011150,CJ¾¾Çªµå,20210805,4630,4655,4615,4630,195774,005,35930000
12,A011150,CJ¾¾Çªµå,20210804,4605,4645,4565,4625,285144,005,35930000
13,A011150,CJ¾¾Çªµå,20210803,4655,4685,4510,4610,308559,005,35930000
14,A011150,CJ¾¾Çªµå,20210802,4695,4725,4605,4655,253770,005,35930000
15,A011150,CJ¾¾Çªµå,20210730,4750,4790,4690,4695,209194,005,35930000
16,A011150,CJ¾¾Çªµå,20210729,4735,4775,4730,4750,154756,005,35930000
17,A011150,CJ¾¾Çªµå,20210728,4805,4810,4680,4735,292262,005,35930000
18,A011150,CJ¾¾Çªµå,20210727,4700,4810,4690,4800,439616,005,35930000
19,A011150,CJ¾¾Çªµå,20210726,4800,4835,4720,4730,286003,005,35930000
20,A011150,CJ¾¾Çªµå,20210723,4810,4845,4785,4815,313418,005,35930000
21,A011150,CJ¾¾Çªµå,20210722,4915,4930,4815,4820,403349,005,35930000
22,A011150,CJ¾¾Çªµå,20210721,4860,4945,4860,4890,536199,005,35930000
23,A011150,CJ¾¾Çªµå,20210720,4820,4905,4795,4840,647256,005,35930000
24,A011150,CJ¾¾Çªµå,20210719,5010,5030,4885,4905,566289,005,35930000
25,A011150,CJ¾¾Çªµå,20210716,4995,5100,4970,5010,1191526,005,35930000
26,A011150,CJ¾¾Çªµå,20210715,5020,5040,4950,4975,1101934,005,35930000
27,A011150,CJ¾¾Çªµå,20210714,4900,5050,4900,5020,1033885,005,35930000
