,辆格内靛,辆格疙,朝楼,矫啊,绊啊,历啊,辆啊,芭贰樊,刘鼻傈魂诀辆内靛,惯青林侥荐
0,A097950,CJ力老力寸,20210823,430000,432000,427000,429000,12001,005,15054000
1,A097950,CJ力老力寸,20210820,436000,439000,421500,426000,46465,005,15054000
2,A097950,CJ力老力寸,20210819,444000,444000,434000,434000,51665,005,15054000
3,A097950,CJ力老力寸,20210818,446500,447500,439500,447500,48684,005,15054000
4,A097950,CJ力老力寸,20210817,447500,449500,441500,442000,53546,005,15054000
5,A097950,CJ力老力寸,20210813,454000,454500,440000,445500,63692,005,15054000
6,A097950,CJ力老力寸,20210812,453000,461000,446000,449000,79794,005,15054000
7,A097950,CJ力老力寸,20210811,463000,465500,451000,451500,90585,005,15054000
8,A097950,CJ力老力寸,20210810,492000,492000,458500,462500,223772,005,15054000
9,A097950,CJ力老力寸,20210809,482000,494500,480500,489500,59041,005,15054000
10,A097950,CJ力老力寸,20210806,487000,498500,477500,492000,50998,005,15054000
11,A097950,CJ力老力寸,20210805,492000,492000,485000,487000,34149,005,15054000
12,A097950,CJ力老力寸,20210804,480000,493500,478000,492500,67149,005,15054000
13,A097950,CJ力老力寸,20210803,473000,483000,471000,482000,47996,005,15054000
14,A097950,CJ力老力寸,20210802,471500,483000,468000,478500,54570,005,15054000
15,A097950,CJ力老力寸,20210730,477500,477500,467500,468000,38821,005,15054000
16,A097950,CJ力老力寸,20210729,465000,479000,465000,479000,46852,005,15054000
17,A097950,CJ力老力寸,20210728,470500,471500,461000,464000,25067,005,15054000
18,A097950,CJ力老力寸,20210727,474000,475000,467000,470500,23334,005,15054000
19,A097950,CJ力老力寸,20210726,470500,474500,464500,471000,26044,005,15054000
20,A097950,CJ力老力寸,20210723,469500,474500,463000,470000,26829,005,15054000
21,A097950,CJ力老力寸,20210722,468500,470500,463000,469500,34888,005,15054000
22,A097950,CJ力老力寸,20210721,470000,471500,459000,463000,25993,005,15054000
23,A097950,CJ力老力寸,20210720,467500,476500,467500,468000,39281,005,15054000
24,A097950,CJ力老力寸,20210719,465500,477000,460000,472500,59297,005,15054000
25,A097950,CJ力老力寸,20210716,467000,477500,461000,465000,54899,005,15054000
26,A097950,CJ力老力寸,20210715,455000,465500,448000,461000,51896,005,15054000
27,A097950,CJ力老力寸,20210714,444500,458000,441500,452000,43879,005,15054000
28,A097950,CJ力老力寸,20210713,447000,448000,441500,444500,26746,005,15054000
29,A097950,CJ力老力寸,20210712,443500,447000,442500,443000,16179,005,15054000
30,A097950,CJ力老力寸,20210709,443500,447500,435500,442500,49621,005,15054000
31,A097950,CJ力老力寸,20210708,452500,454500,445000,446000,41462,005,15054000
32,A097950,CJ力老力寸,20210707,445500,454500,445500,452500,28961,005,15054000
33,A097950,CJ力老力寸,20210706,448500,454500,445500,449000,27958,005,15054000
34,A097950,CJ力老力寸,20210705,450000,452000,447000,448000,18380,005,15054000
35,A097950,CJ力老力寸,20210702,451000,455000,447500,449500,38995,005,15054000
36,A097950,CJ力老力寸,20210701,459000,462000,453500,454000,36600,005,15054000
37,A097950,CJ力老力寸,20210630,461500,473000,459500,461000,42509,005,15054000
38,A097950,CJ力老力寸,20210629,457000,466000,455000,459000,36621,005,15054000
39,A097950,CJ力老力寸,20210628,455000,467000,451500,459500,61670,005,15054000
