,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A000590,CSÈ¦µù½º,20210823,59200,60800,59200,60500,767,021,1154000
1,A000590,CSÈ¦µù½º,20210820,62300,62500,59000,59000,4444,021,1154000
2,A000590,CSÈ¦µù½º,20210819,63400,64000,62100,62300,3875,021,1154000
3,A000590,CSÈ¦µù½º,20210818,62300,63900,62000,63700,1905,021,1154000
4,A000590,CSÈ¦µù½º,20210817,64300,65100,63200,63500,2692,021,1154000
5,A000590,CSÈ¦µù½º,20210813,66000,66200,64100,65400,3810,021,1154000
6,A000590,CSÈ¦µù½º,20210812,66000,66700,66000,66000,1333,021,1154000
7,A000590,CSÈ¦µù½º,20210811,67300,67300,66000,66000,1642,021,1154000
8,A000590,CSÈ¦µù½º,20210810,67500,67900,66500,67300,1847,021,1154000
9,A000590,CSÈ¦µù½º,20210809,67200,67700,66800,67500,3010,021,1154000
10,A000590,CSÈ¦µù½º,20210806,67100,67600,65800,67500,2265,021,1154000
11,A000590,CSÈ¦µù½º,20210805,66600,67100,66500,67000,1097,021,1154000
12,A000590,CSÈ¦µù½º,20210804,67300,67300,66400,66600,1561,021,1154000
13,A000590,CSÈ¦µù½º,20210803,67600,67700,66200,67300,1243,021,1154000
14,A000590,CSÈ¦µù½º,20210802,66800,67300,66600,67300,1165,021,1154000
15,A000590,CSÈ¦µù½º,20210730,67400,67500,66800,66800,2372,021,1154000
16,A000590,CSÈ¦µù½º,20210729,68000,68000,67100,67400,1616,021,1154000
17,A000590,CSÈ¦µù½º,20210728,68100,68400,67400,68000,815,021,1154000
18,A000590,CSÈ¦µù½º,20210727,67700,68400,67500,68200,1963,021,1154000
19,A000590,CSÈ¦µù½º,20210726,68200,68200,67600,68200,1179,021,1154000
20,A000590,CSÈ¦µù½º,20210723,67600,68900,67600,67700,1983,021,1154000
21,A000590,CSÈ¦µù½º,20210722,67100,68200,67000,67600,1806,021,1154000
22,A000590,CSÈ¦µù½º,20210721,68300,68400,67200,67300,2532,021,1154000
23,A000590,CSÈ¦µù½º,20210720,68900,68900,67500,68300,3222,021,1154000
24,A000590,CSÈ¦µù½º,20210719,70400,70400,68800,69000,2923,021,1154000
25,A000590,CSÈ¦µù½º,20210716,70600,70600,69600,70400,733,021,1154000
26,A000590,CSÈ¦µù½º,20210715,70300,70700,69900,70200,533,021,1154000
27,A000590,CSÈ¦µù½º,20210714,70200,70800,69800,70300,1373,021,1154000
28,A000590,CSÈ¦µù½º,20210713,69000,70500,69000,70100,1882,021,1154000
29,A000590,CSÈ¦µù½º,20210712,67700,68500,67600,68500,2806,021,1154000
30,A000590,CSÈ¦µù½º,20210709,69600,69600,67500,67800,3315,021,1154000
