,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210823,2210,2210,2190,2195,16826,231,4840000
1,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210820,2225,2225,2195,2200,36483,231,4840000
2,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210819,2195,2230,2195,2205,51545,231,4840000
3,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210818,2225,2225,2200,2210,20438,231,4840000
4,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210817,2200,2215,2195,2210,84064,231,4840000
5,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210813,2225,2225,2200,2210,38384,231,4840000
6,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210812,2220,2225,2210,2220,30732,231,4840000
7,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210811,2215,2225,2210,2220,22638,231,4840000
8,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210810,2235,2235,2210,2225,47936,231,4840000
9,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210809,2240,2260,2220,2230,54850,231,4840000
10,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210806,2220,2245,2215,2240,134997,231,4840000
11,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210805,2225,2260,2210,2225,122045,231,4840000
12,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210804,2235,2235,2205,2230,123536,231,4840000
13,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210803,2205,2240,2195,2235,340095,231,4840000
14,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210802,2190,2190,2175,2190,31019,231,4840000
15,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210730,2190,2190,2170,2185,37299,231,4840000
16,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210729,2200,2200,2175,2195,29901,231,4840000
17,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210728,2185,2185,2160,2185,61557,231,4840000
18,A367360,DB±ÝÀ¶½ºÆÑ9È£,20210727,2190,2190,2155,2185,76976,231,4840000
