,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A241520,DSC인베스트먼트,20210823,5820,5960,5660,5830,2444883,231,27811000
1,A241520,DSC인베스트먼트,20210820,5530,6070,5450,5700,20259520,231,27811000
2,A241520,DSC인베스트먼트,20210819,5750,6380,5170,5230,22375527,231,27811000
3,A241520,DSC인베스트먼트,20210818,4850,4975,4850,4930,136030,231,27811000
4,A241520,DSC인베스트먼트,20210817,5100,5160,4860,4900,270010,231,27811000
5,A241520,DSC인베스트먼트,20210813,5290,5290,5010,5200,256111,231,27811000
6,A241520,DSC인베스트먼트,20210812,5240,5320,5220,5260,142401,231,27811000
7,A241520,DSC인베스트먼트,20210811,5270,5350,5220,5240,113741,231,27811000
8,A241520,DSC인베스트먼트,20210810,5400,5440,5270,5310,182243,231,27811000
9,A241520,DSC인베스트먼트,20210809,5490,5490,5340,5350,150205,231,27811000
10,A241520,DSC인베스트먼트,20210806,5450,5450,5350,5380,88283,231,27811000
11,A241520,DSC인베스트먼트,20210805,5340,5480,5310,5400,305562,231,27811000
12,A241520,DSC인베스트먼트,20210804,5220,5350,5200,5310,166495,231,27811000
13,A241520,DSC인베스트먼트,20210803,5290,5340,5210,5220,167188,231,27811000
14,A241520,DSC인베스트먼트,20210802,5280,5390,5260,5330,124773,231,27811000
15,A241520,DSC인베스트먼트,20210730,5390,5450,5310,5310,187565,231,27811000
16,A241520,DSC인베스트먼트,20210729,5360,5440,5350,5420,135678,231,27811000
17,A241520,DSC인베스트먼트,20210728,5340,5540,5310,5370,512906,231,27811000
18,A241520,DSC인베스트먼트,20210727,5380,5430,5330,5350,189109,231,27811000
19,A241520,DSC인베스트먼트,20210726,5430,5740,5350,5350,964211,231,27811000
20,A241520,DSC인베스트먼트,20210723,5420,5510,5340,5410,339230,231,27811000
21,A241520,DSC인베스트먼트,20210722,5370,5370,5220,5280,230262,231,27811000
22,A241520,DSC인베스트먼트,20210721,5400,5440,5280,5280,289978,231,27811000
23,A241520,DSC인베스트먼트,20210720,5430,5490,5390,5400,199863,231,27811000
24,A241520,DSC인베스트먼트,20210719,5590,5590,5510,5510,210251,231,27811000
25,A241520,DSC인베스트먼트,20210716,5680,5680,5600,5610,198850,231,27811000
26,A241520,DSC인베스트먼트,20210715,5580,5730,5560,5700,504804,231,27811000
27,A241520,DSC인베스트먼트,20210714,5550,5590,5490,5550,184382,231,27811000
28,A241520,DSC인베스트먼트,20210713,5510,5660,5500,5550,340902,231,27811000
29,A241520,DSC인베스트먼트,20210712,5590,5640,5510,5520,433589,231,27811000
30,A241520,DSC인베스트먼트,20210709,5610,5610,5400,5500,558110,231,27811000
31,A241520,DSC인베스트먼트,20210708,5840,6400,5640,5640,4656252,231,27811000
32,A241520,DSC인베스트먼트,20210707,5700,5700,5600,5630,198457,231,27811000
33,A241520,DSC인베스트먼트,20210706,5700,5760,5670,5680,235059,231,27811000
34,A241520,DSC인베스트먼트,20210705,5590,5800,5540,5670,474578,231,27811000
35,A241520,DSC인베스트먼트,20210702,5610,5640,5530,5600,171082,231,27811000
36,A241520,DSC인베스트먼트,20210701,5590,5660,5580,5610,142614,231,27811000
37,A241520,DSC인베스트먼트,20210630,5650,5680,5570,5620,143596,231,27811000
38,A241520,DSC인베스트먼트,20210629,5590,5860,5500,5610,601752,231,27811000
39,A241520,DSC인베스트먼트,20210628,5640,5680,5560,5600,150226,231,27811000
40,A241520,DSC인베스트먼트,20210625,5560,5810,5560,5610,408754,231,27811000
41,A241520,DSC인베스트먼트,20210624,5640,5660,5560,5590,251756,231,27811000
42,A241520,DSC인베스트먼트,20210623,5710,5740,5630,5660,265312,231,27811000
43,A241520,DSC인베스트먼트,20210622,5720,5740,5640,5710,231012,231,27811000
44,A241520,DSC인베스트먼트,20210621,5640,5740,5630,5710,188684,231,27811000
45,A241520,DSC인베스트먼트,20210618,5750,5800,5710,5740,166829,231,27811000
46,A241520,DSC인베스트먼트,20210617,5780,5830,5750,5770,161539,231,27811000
47,A241520,DSC인베스트먼트,20210616,5850,5880,5760,5840,157962,231,27811000
48,A241520,DSC인베스트먼트,20210615,5920,5990,5800,5860,650157,231,27811000
