,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A083450,GST,20210823,27700,27750,27100,27500,42881,359,9317000
1,A083450,GST,20210820,27550,27650,26600,27150,146583,359,9317000
2,A083450,GST,20210819,28000,28450,26900,27150,214505,359,9317000
3,A083450,GST,20210818,27950,28600,27600,28400,153493,359,9317000
4,A083450,GST,20210817,28000,28600,27500,27650,168715,359,9317000
5,A083450,GST,20210813,28700,28750,27600,28150,389914,359,9317000
6,A083450,GST,20210812,29150,29150,28100,28800,331795,359,9317000
7,A083450,GST,20210811,30150,30300,28700,29150,418294,359,9317000
8,A083450,GST,20210810,31300,31350,30400,30450,186423,359,9317000
9,A083450,GST,20210809,31100,31900,29600,30950,164874,359,9317000
10,A083450,GST,20210806,31000,31250,30500,31100,125526,359,9317000
11,A083450,GST,20210805,30300,31400,30300,30900,228911,359,9317000
12,A083450,GST,20210804,30450,30700,30100,30200,130133,359,9317000
13,A083450,GST,20210803,30300,30850,29650,30200,192530,359,9317000
14,A083450,GST,20210802,30200,30600,29700,30150,134047,359,9317000
15,A083450,GST,20210730,30000,30400,29500,30150,238111,359,9317000
16,A083450,GST,20210729,30250,30550,29700,30000,135278,359,9317000
17,A083450,GST,20210728,30500,30800,29700,30250,272999,359,9317000
18,A083450,GST,20210727,31700,32600,30500,30700,326722,359,9317000
19,A083450,GST,20210726,31350,32250,30800,31050,328870,359,9317000
20,A083450,GST,20210723,30600,31750,30500,31250,586683,359,9317000
21,A083450,GST,20210722,28650,30850,28600,30500,1149283,359,9317000
22,A083450,GST,20210721,28750,29300,27900,28000,244815,359,9317000
23,A083450,GST,20210720,27050,29050,27000,28250,498717,359,9317000
24,A083450,GST,20210719,28050,28200,27050,27550,368139,359,9317000
25,A083450,GST,20210716,27200,29800,27200,28200,1139155,359,9317000
26,A083450,GST,20210715,25750,26950,25700,26950,162388,359,9317000
27,A083450,GST,20210714,26250,26250,25500,25750,139310,359,9317000
28,A083450,GST,20210713,26150,26400,26050,26300,70836,359,9317000
29,A083450,GST,20210712,26000,26300,25800,26150,46360,359,9317000
30,A083450,GST,20210709,25750,26050,25350,26000,149200,359,9317000
31,A083450,GST,20210708,26950,27000,26150,26350,133441,359,9317000
32,A083450,GST,20210707,27600,27600,26650,26950,120559,359,9317000
33,A083450,GST,20210706,27500,27800,27300,27450,96000,359,9317000
34,A083450,GST,20210705,27450,27550,26900,27300,130955,359,9317000
35,A083450,GST,20210702,27400,27400,26650,26900,116223,359,9317000
36,A083450,GST,20210701,27500,27500,27050,27450,89347,359,9317000
37,A083450,GST,20210630,27150,27600,26900,27450,115272,359,9317000
38,A083450,GST,20210629,27200,27350,26750,26900,115643,359,9317000
39,A083450,GST,20210628,26500,27400,26500,26900,133516,359,9317000
40,A083450,GST,20210625,26600,26850,26400,26500,82995,359,9317000
41,A083450,GST,20210624,26200,26750,26150,26500,121352,359,9317000
42,A083450,GST,20210623,26900,27000,26300,26350,114794,359,9317000
43,A083450,GST,20210622,26950,26950,26500,26750,100833,359,9317000
44,A083450,GST,20210621,27500,27500,26500,26650,201834,359,9317000
45,A083450,GST,20210618,27450,27900,27000,27700,254761,359,9317000
46,A083450,GST,20210617,25900,27550,25850,27350,461606,359,9317000
47,A083450,GST,20210616,25800,26100,25600,25750,109069,359,9317000
48,A083450,GST,20210615,25950,26150,25800,25850,84684,359,9317000
49,A083450,GST,20210614,26100,26250,25700,25700,83819,359,9317000
50,A083450,GST,20210611,25950,26100,25500,26050,77237,359,9317000
51,A083450,GST,20210610,25600,26150,25500,25750,75706,359,9317000
52,A083450,GST,20210609,25550,26150,25400,25600,128523,359,9317000
53,A083450,GST,20210608,26000,26050,25450,25500,107877,359,9317000
54,A083450,GST,20210607,26550,26650,25850,25850,158926,359,9317000
55,A083450,GST,20210604,26200,26700,26100,26300,87893,359,9317000
56,A083450,GST,20210603,26550,27000,26400,26550,206460,359,9317000
57,A083450,GST,20210602,25600,26600,25200,26250,303345,359,9317000
58,A083450,GST,20210601,25550,25850,25150,25450,118483,359,9317000
59,A083450,GST,20210531,24400,25550,24400,25400,217575,359,9317000
60,A083450,GST,20210528,24650,24700,24150,24350,127736,359,9317000
61,A083450,GST,20210527,24100,24600,23750,24550,154283,359,9317000
62,A083450,GST,20210526,24900,24900,24050,24300,129270,359,9317000
63,A083450,GST,20210525,25300,25550,24600,24800,165444,359,9317000
64,A083450,GST,20210524,26850,26850,24750,24950,274589,359,9317000
65,A083450,GST,20210521,26950,27100,26050,26650,181157,359,9317000
66,A083450,GST,20210520,26550,27150,26000,26650,168954,359,9317000
67,A083450,GST,20210518,25500,26850,25350,26400,212777,359,9317000
68,A083450,GST,20210517,25850,27400,25600,25850,476855,359,9317000
69,A083450,GST,20210514,23750,25450,23700,25350,375450,359,9317000
70,A083450,GST,20210513,23100,23600,23000,23250,196650,359,9317000
71,A083450,GST,20210512,24300,24350,23350,23750,146336,359,9317000
72,A083450,GST,20210511,25350,25350,23850,24050,385051,359,9317000
73,A083450,GST,20210510,25950,26100,25500,25850,110865,359,9317000
74,A083450,GST,20210507,26200,26500,25600,25700,131208,359,9317000
75,A083450,GST,20210506,25500,26450,25500,26250,138396,359,9317000
76,A083450,GST,20210504,25450,25950,24900,25850,92519,359,9317000
77,A083450,GST,20210503,26200,26300,25400,25450,104666,359,9317000
78,A083450,GST,20210430,25400,26550,25150,26000,218210,359,9317000
79,A083450,GST,20210429,26100,26150,24650,25450,267368,359,9317000
80,A083450,GST,20210428,27750,28350,25850,26100,475105,359,9317000
81,A083450,GST,20210427,27750,27800,26650,27150,158408,359,9317000
82,A083450,GST,20210426,27350,27600,26750,27550,167967,359,9317000
83,A083450,GST,20210423,26450,27100,26150,27050,158906,359,9317000
84,A083450,GST,20210422,27650,27650,26300,26750,261360,359,9317000
85,A083450,GST,20210421,27500,27950,26900,27250,188100,359,9317000
86,A083450,GST,20210420,27500,28050,27150,27850,228060,359,9317000
87,A083450,GST,20210419,26900,28850,26450,27500,347378,359,9317000
88,A083450,GST,20210416,27000,27400,26700,26900,130648,359,9317000
89,A083450,GST,20210415,26850,27400,26450,27000,158139,359,9317000
90,A083450,GST,20210414,26450,26850,25850,26550,260567,359,9317000
91,A083450,GST,20210413,28100,28250,26300,26700,508983,359,9317000
92,A083450,GST,20210412,26600,28250,26150,28100,443854,359,9317000
93,A083450,GST,20210409,26450,27200,26150,26500,237054,359,9317000
94,A083450,GST,20210408,27250,27300,25950,26200,395771,359,9317000
95,A083450,GST,20210407,26100,27250,25450,27200,522775,359,9317000
96,A083450,GST,20210406,25800,26850,25200,25700,607240,359,9317000
97,A083450,GST,20210405,23800,25700,23550,25250,762072,359,9317000
98,A083450,GST,20210402,23150,23650,22900,23200,306228,359,9317000
99,A083450,GST,20210401,22350,22900,22200,22700,323175,359,9317000
100,A083450,GST,20210331,22150,22150,21450,21800,190033,359,9317000
101,A083450,GST,20210330,22100,22450,21950,22050,146220,359,9317000
102,A083450,GST,20210329,22500,22850,21900,21950,222072,359,9317000
103,A083450,GST,20210326,22800,23100,21950,22400,392752,359,9317000
104,A083450,GST,20210325,23500,23800,22450,22950,411994,359,9317000
105,A083450,GST,20210324,23200,23850,23000,23850,407590,359,9317000
106,A083450,GST,20210323,23300,24250,23250,23400,680264,359,9317000
107,A083450,GST,20210322,23000,23150,22350,22850,287883,359,9317000
108,A083450,GST,20210319,21450,22850,21250,22550,423301,359,9317000
109,A083450,GST,20210318,21600,22300,21500,21900,301211,359,9317000
110,A083450,GST,20210317,21550,22000,21000,21600,277280,359,9317000
111,A083450,GST,20210316,20500,21900,20150,21650,611268,359,9317000
112,A083450,GST,20210315,20450,21100,20150,20300,293138,359,9317000
113,A083450,GST,20210312,20050,20650,20050,20300,273179,359,9317000
114,A083450,GST,20210311,18550,20250,18550,19950,488354,359,9317000
