,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A395270,HANARO Fn K-반도체,20210823,9225,9225,9095,9180,1283,000,800000
1,A395270,HANARO Fn K-반도체,20210820,9235,9265,9045,9090,2492,000,800000
2,A395270,HANARO Fn K-반도체,20210819,9270,9350,9150,9160,3508,000,800000
3,A395270,HANARO Fn K-반도체,20210818,9215,9405,9185,9345,4067,000,800000
4,A395270,HANARO Fn K-반도체,20210817,9370,9410,9225,9265,26181,000,800000
5,A395270,HANARO Fn K-반도체,20210813,9480,9480,9265,9380,28451,000,800000
6,A395270,HANARO Fn K-반도체,20210812,9570,9615,9500,9500,14160,000,800000
7,A395270,HANARO Fn K-반도체,20210811,9875,9875,9630,9635,6798,000,800000
8,A395270,HANARO Fn K-반도체,20210810,10165,10165,9905,9930,8192,000,800000
9,A395270,HANARO Fn K-반도체,20210809,10160,10170,10055,10140,1289,000,800000
10,A395270,HANARO Fn K-반도체,20210806,10230,10230,10140,10140,2717,000,800000
11,A395270,HANARO Fn K-반도체,20210805,10280,10295,10210,10220,8448,000,800000
12,A395270,HANARO Fn K-반도체,20210804,10290,10290,10185,10240,6293,000,800000
13,A395270,HANARO Fn K-반도체,20210803,10025,10190,9980,10190,2628,000,800000
14,A395270,HANARO Fn K-반도체,20210802,9950,9995,9905,9980,865,000,800000
15,A395270,HANARO Fn K-반도체,20210730,9950,9950,9870,9885,1208,000,800000
