,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A294870,HDC현대산업개발,20210823,27700,27950,27400,27850,123770,018,65907000
1,A294870,HDC현대산업개발,20210820,28200,28350,27250,27400,384635,018,65907000
2,A294870,HDC현대산업개발,20210819,28950,29100,27950,28000,423103,018,65907000
3,A294870,HDC현대산업개발,20210818,28500,29700,28500,29250,313056,018,65907000
4,A294870,HDC현대산업개발,20210817,29150,29450,28550,28600,368272,018,65907000
5,A294870,HDC현대산업개발,20210813,30150,30200,28850,29400,407811,018,65907000
6,A294870,HDC현대산업개발,20210812,29700,30400,29650,29850,366624,018,65907000
7,A294870,HDC현대산업개발,20210811,29600,30000,29450,29500,290001,018,65907000
8,A294870,HDC현대산업개발,20210810,30000,30150,29600,29700,345195,018,65907000
9,A294870,HDC현대산업개발,20210809,30650,30800,30050,30200,298505,018,65907000
10,A294870,HDC현대산업개발,20210806,30800,30900,30550,30800,168699,018,65907000
11,A294870,HDC현대산업개발,20210805,30350,30950,30150,30750,260127,018,65907000
12,A294870,HDC현대산업개발,20210804,30150,30500,29900,30300,252203,018,65907000
13,A294870,HDC현대산업개발,20210803,30450,30550,29850,30150,400795,018,65907000
14,A294870,HDC현대산업개발,20210802,31050,31250,30500,30650,290648,018,65907000
15,A294870,HDC현대산업개발,20210730,31200,31200,30850,31050,268197,018,65907000
16,A294870,HDC현대산업개발,20210729,31050,31250,30750,31150,251541,018,65907000
17,A294870,HDC현대산업개발,20210728,31000,31500,30600,30900,356792,018,65907000
18,A294870,HDC현대산업개발,20210727,31200,31550,31000,31000,295277,018,65907000
19,A294870,HDC현대산업개발,20210726,31000,31100,30450,30800,338712,018,65907000
20,A294870,HDC현대산업개발,20210723,31150,31450,30950,31050,323740,018,65907000
21,A294870,HDC현대산업개발,20210722,31600,31700,31150,31350,367782,018,65907000
22,A294870,HDC현대산업개발,20210721,31700,32000,31250,31500,340064,018,65907000
23,A294870,HDC현대산업개발,20210720,31300,31700,31150,31600,500518,018,65907000
24,A294870,HDC현대산업개발,20210719,31700,32000,31650,31950,271164,018,65907000
25,A294870,HDC현대산업개발,20210716,32000,32350,31650,32150,372562,018,65907000
26,A294870,HDC현대산업개발,20210715,32500,32500,32100,32300,257745,018,65907000
27,A294870,HDC현대산업개발,20210714,32800,32800,32100,32300,437531,018,65907000
28,A294870,HDC현대산업개발,20210713,33000,33350,32750,32850,494978,018,65907000
29,A294870,HDC현대산업개발,20210712,32550,33000,32250,32750,517951,018,65907000
30,A294870,HDC현대산업개발,20210709,31200,32300,30800,32100,963780,018,65907000
31,A294870,HDC현대산업개발,20210708,33000,33100,31550,31750,824157,018,65907000
32,A294870,HDC현대산업개발,20210707,32800,32950,32100,32800,519670,018,65907000
33,A294870,HDC현대산업개발,20210706,32500,33400,32400,32850,1099216,018,65907000
34,A294870,HDC현대산업개발,20210705,32650,33000,32050,32100,822513,018,65907000
35,A294870,HDC현대산업개발,20210702,31050,32550,31000,32350,1318163,018,65907000
36,A294870,HDC현대산업개발,20210701,31550,31650,31000,31050,416464,018,65907000
37,A294870,HDC현대산업개발,20210630,31000,31750,30700,31500,602819,018,65907000
38,A294870,HDC현대산업개발,20210629,31350,31350,30750,31000,403864,018,65907000
39,A294870,HDC현대산업개발,20210628,30900,31450,30450,31100,696049,018,65907000
40,A294870,HDC현대산업개발,20210625,30900,31300,30700,30850,889101,018,65907000
41,A294870,HDC현대산업개발,20210624,29700,30700,29600,30450,849191,018,65907000
42,A294870,HDC현대산업개발,20210623,30250,30350,29500,29600,457004,018,65907000
43,A294870,HDC현대산업개발,20210622,29800,30250,29700,30100,648430,018,65907000
44,A294870,HDC현대산업개발,20210621,29300,29850,29100,29500,540011,018,65907000
45,A294870,HDC현대산업개발,20210618,29750,29800,29300,29500,456282,018,65907000
46,A294870,HDC현대산업개발,20210617,29550,29850,29350,29750,350446,018,65907000
47,A294870,HDC현대산업개발,20210616,29450,30050,29400,29650,748574,018,65907000
