,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A290130,KBSTAR ESG사회책임투자,20210823,12925,13020,12905,13015,2935,000,24800000
1,A290130,KBSTAR ESG사회책임투자,20210820,12990,13050,12765,12830,41209,000,24800000
2,A290130,KBSTAR ESG사회책임투자,20210819,13150,13185,12950,12960,22724,000,24750000
3,A290130,KBSTAR ESG사회책임투자,20210818,13125,13285,13025,13230,60886,000,24750000
4,A290130,KBSTAR ESG사회책임투자,20210817,13270,13330,13075,13140,42183,000,24700000
5,A290130,KBSTAR ESG사회책임투자,20210813,13490,13490,13195,13310,68080,000,24700000
6,A290130,KBSTAR ESG사회책임투자,20210812,13550,13595,13480,13495,49517,000,24700000
7,A290130,KBSTAR ESG사회책임투자,20210811,13735,13755,13595,13595,46695,000,24700000
8,A290130,KBSTAR ESG사회책임투자,20210810,14005,14005,13785,13785,36997,000,24700000
9,A290130,KBSTAR ESG사회책임투자,20210809,14005,14020,13915,13980,40887,000,24700000
10,A290130,KBSTAR ESG사회책임투자,20210806,14110,14130,14030,14030,33798,000,24750000
11,A290130,KBSTAR ESG사회책임투자,20210805,14135,14180,14070,14110,83199,000,24750000
12,A290130,KBSTAR ESG사회책임투자,20210804,13990,14145,13960,14120,63749,000,24800000
13,A290130,KBSTAR ESG사회책임투자,20210803,13855,13950,13820,13940,43773,000,24800000
14,A290130,KBSTAR ESG사회책임투자,20210802,13800,13835,13720,13805,146729,000,24750000
15,A290130,KBSTAR ESG사회책임투자,20210730,13880,13880,13730,13745,62240,000,24750000
16,A290130,KBSTAR ESG사회책임투자,20210729,13925,13955,13860,13925,34091,000,24700000
17,A290130,KBSTAR ESG사회책임투자,20210728,13850,13910,13755,13900,37110,000,24700000
18,A290130,KBSTAR ESG사회책임투자,20210727,14005,14060,13900,13900,17944,000,24700000
19,A290130,KBSTAR ESG사회책임투자,20210726,14105,14105,13930,13930,39852,000,24700000
20,A290130,KBSTAR ESG사회책임투자,20210723,14100,14110,14020,14025,55308,000,24700000
21,A290130,KBSTAR ESG사회책임투자,20210722,13990,14130,13990,14040,105017,000,24600000
22,A290130,KBSTAR ESG사회책임투자,20210721,14080,14105,13910,13930,61680,000,24600000
23,A290130,KBSTAR ESG사회책임투자,20210720,13960,14050,13960,14000,162757,000,24600000
24,A290130,KBSTAR ESG사회책임투자,20210719,14105,14115,14040,14085,75141,000,24700000
25,A290130,KBSTAR ESG사회책임투자,20210716,14250,14250,14160,14205,130957,000,24750000
26,A290130,KBSTAR ESG사회책임투자,20210715,14190,14310,14165,14280,123354,000,24750000
27,A290130,KBSTAR ESG사회책임투자,20210714,14105,14160,14070,14140,156637,000,24750000
28,A290130,KBSTAR ESG사회책임투자,20210713,14055,14195,14055,14165,65469,000,24750000
29,A290130,KBSTAR ESG사회책임투자,20210712,14050,14060,14000,14040,76247,000,24750000
30,A290130,KBSTAR ESG사회책임투자,20210709,13995,14010,13800,13920,181469,000,24750000
31,A290130,KBSTAR ESG사회책임투자,20210708,14280,14280,14090,14090,106905,000,24800000
32,A290130,KBSTAR ESG사회책임투자,20210707,14310,14310,14180,14205,95338,000,23400000
33,A290130,KBSTAR ESG사회책임투자,20210706,14265,14345,14265,14330,180487,000,23450000
34,A290130,KBSTAR ESG사회책임투자,20210705,14210,14290,14190,14255,185224,000,23650000
35,A290130,KBSTAR ESG사회책임투자,20210702,14230,14260,14170,14180,86822,000,23750000
36,A290130,KBSTAR ESG사회책임투자,20210701,14335,14335,14190,14230,135977,000,22800000
37,A290130,KBSTAR ESG사회책임투자,20210630,14325,14375,14285,14345,423602,000,22900000
38,A290130,KBSTAR ESG사회책임투자,20210629,14355,14365,14210,14275,1179284,000,24000000
39,A290130,KBSTAR ESG사회책임투자,20210628,14330,14340,14250,14325,183461,000,24300000
40,A290130,KBSTAR ESG사회책임투자,20210625,14300,14365,14265,14310,1097525,000,24550000
41,A290130,KBSTAR ESG사회책임투자,20210624,14270,14300,14240,14260,505479,000,24550000
42,A290130,KBSTAR ESG사회책임투자,20210623,14120,14215,14115,14185,191309,000,24550000
43,A290130,KBSTAR ESG사회책임투자,20210622,14050,14130,14050,14070,94626,000,24700000
44,A290130,KBSTAR ESG사회책임투자,20210621,14025,14065,13925,14015,112103,000,24700000
45,A290130,KBSTAR ESG사회책임투자,20210618,14210,14210,14120,14140,113383,000,25100000
46,A290130,KBSTAR ESG사회책임투자,20210617,14180,14180,14095,14155,128934,000,25200000
47,A290130,KBSTAR ESG사회책임투자,20210616,14140,14275,14135,14265,580033,000,25250000
48,A290130,KBSTAR ESG사회책임투자,20210615,14145,14165,14080,14165,173136,000,25250000
49,A290130,KBSTAR ESG사회책임투자,20210614,14100,14100,14005,14100,58677,000,25250000
50,A290130,KBSTAR ESG사회책임투자,20210611,14075,14105,13990,14065,49880,000,25300000
51,A290130,KBSTAR ESG사회책임투자,20210610,13975,14025,13910,13990,51734,000,25350000
52,A290130,KBSTAR ESG사회책임투자,20210609,14100,14115,13950,13975,89184,000,25550000
53,A290130,KBSTAR ESG사회책임투자,20210608,14125,14190,14065,14145,181891,000,25700000
54,A290130,KBSTAR ESG사회책임투자,20210607,14200,14250,14085,14155,354505,000,25750000
55,A290130,KBSTAR ESG사회책임투자,20210604,14115,14160,13985,14120,138024,000,25800000
56,A290130,KBSTAR ESG사회책임투자,20210603,14060,14180,13995,14160,191032,000,25850000
57,A290130,KBSTAR ESG사회책임투자,20210602,14055,14090,13960,14005,101174,000,25850000
58,A290130,KBSTAR ESG사회책임투자,20210601,13930,14060,13900,13995,165069,000,25850000
59,A290130,KBSTAR ESG사회책임투자,20210531,13925,13945,13825,13925,42684,000,25750000
60,A290130,KBSTAR ESG사회책임투자,20210528,13800,13900,13755,13865,32336,000,25150000
61,A290130,KBSTAR ESG사회책임투자,20210527,13820,13820,13655,13780,68246,000,25100000
62,A290130,KBSTAR ESG사회책임투자,20210526,13750,13835,13740,13770,687897,000,25050000
63,A290130,KBSTAR ESG사회책임투자,20210525,13655,13745,13620,13725,85144,000,25050000
64,A290130,KBSTAR ESG사회책임투자,20210524,13690,13705,13560,13580,56597,000,25050000
65,A290130,KBSTAR ESG사회책임투자,20210521,13720,13850,13655,13690,36896,000,25050000
66,A290130,KBSTAR ESG사회책임투자,20210520,13620,13660,13560,13640,39544,000,25000000
67,A290130,KBSTAR ESG사회책임투자,20210518,13515,13670,13500,13660,31571,000,24750000
68,A290130,KBSTAR ESG사회책임투자,20210517,13620,13640,13415,13490,55316,000,24750000
69,A290130,KBSTAR ESG사회책임투자,20210514,13540,13595,13500,13550,231448,000,24600000
70,A290130,KBSTAR ESG사회책임투자,20210513,13405,13580,13365,13415,95687,000,24500000
71,A290130,KBSTAR ESG사회책임투자,20210512,13765,13790,13510,13605,141832,000,24600000
72,A290130,KBSTAR ESG사회책임투자,20210511,13970,13995,13745,13810,160508,000,24500000
73,A290130,KBSTAR ESG사회책임투자,20210510,13955,14120,13900,14110,215402,000,24500000
74,A290130,KBSTAR ESG사회책임투자,20210507,13775,13910,13775,13880,53361,000,24450000
75,A290130,KBSTAR ESG사회책임투자,20210506,13685,13785,13670,13780,64372,000,24350000
76,A290130,KBSTAR ESG사회책임투자,20210504,13675,13770,13600,13770,91054,000,24200000
77,A290130,KBSTAR ESG사회책임투자,20210503,13635,13845,13595,13645,101587,000,24000000
78,A290130,KBSTAR ESG사회책임투자,20210430,13750,13750,13580,13625,112988,000,24000000
79,A290130,KBSTAR ESG사회책임투자,20210429,13920,13940,13725,13755,191350,000,24000000
80,A290130,KBSTAR ESG사회책임투자,20210428,14166,14166,13815,13815,225125,000,23900000
81,A290130,KBSTAR ESG사회책임투자,20210427,14017,14121,13973,14087,185367,000,23850000
