,辆格内靛,辆格疙,朝楼,矫啊,绊啊,历啊,辆啊,芭贰樊,刘鼻傈魂诀辆内靛,惯青林侥荐
0,A367760,KBSTAR Fn5G抛农,20210823,10215,10335,10215,10325,41045,000,11200000
1,A367760,KBSTAR Fn5G抛农,20210820,10410,10475,10090,10130,147867,000,11200000
2,A367760,KBSTAR Fn5G抛农,20210819,10600,10665,10360,10360,92686,000,11150000
3,A367760,KBSTAR Fn5G抛农,20210818,10550,10755,10505,10720,33908,000,11100000
4,A367760,KBSTAR Fn5G抛农,20210817,10790,10870,10600,10615,66864,000,11100000
5,A367760,KBSTAR Fn5G抛农,20210813,10970,11005,10655,10835,102445,000,11100000
6,A367760,KBSTAR Fn5G抛农,20210812,11095,11125,11015,11040,64381,000,11050000
7,A367760,KBSTAR Fn5G抛农,20210811,11320,11360,11150,11165,64485,000,11050000
8,A367760,KBSTAR Fn5G抛农,20210810,11545,11545,11315,11340,65494,000,11050000
9,A367760,KBSTAR Fn5G抛农,20210809,11565,11565,11475,11495,46039,000,11100000
10,A367760,KBSTAR Fn5G抛农,20210806,11595,11620,11500,11525,40863,000,11050000
11,A367760,KBSTAR Fn5G抛农,20210805,11520,11610,11510,11610,78569,000,11050000
12,A367760,KBSTAR Fn5G抛农,20210804,11455,11500,11420,11500,76724,000,11000000
13,A367760,KBSTAR Fn5G抛农,20210803,11320,11510,11290,11400,129621,000,11000000
14,A367760,KBSTAR Fn5G抛农,20210802,11305,11340,11205,11320,38843,000,11000000
15,A367760,KBSTAR Fn5G抛农,20210730,11385,11385,11250,11305,51805,000,10950000
16,A367760,KBSTAR Fn5G抛农,20210729,11390,11430,11330,11400,47134,000,10900000
17,A367760,KBSTAR Fn5G抛农,20210728,11395,11460,11260,11370,77277,000,10850000
18,A367760,KBSTAR Fn5G抛农,20210727,11565,11605,11440,11470,70246,000,10900000
19,A367760,KBSTAR Fn5G抛农,20210726,11710,11735,11510,11625,134076,000,10900000
20,A367760,KBSTAR Fn5G抛农,20210723,11525,11740,11490,11690,226820,000,10900000
21,A367760,KBSTAR Fn5G抛农,20210722,11425,11515,11415,11495,79101,000,10900000
22,A367760,KBSTAR Fn5G抛农,20210721,11505,11505,11340,11360,56064,000,10850000
23,A367760,KBSTAR Fn5G抛农,20210720,11380,11500,11365,11440,78875,000,10850000
24,A367760,KBSTAR Fn5G抛农,20210719,11455,11550,11415,11550,90162,000,10850000
25,A367760,KBSTAR Fn5G抛农,20210716,11515,11515,11405,11490,80775,000,10850000
26,A367760,KBSTAR Fn5G抛农,20210715,11405,11590,11375,11540,111598,000,10850000
27,A367760,KBSTAR Fn5G抛农,20210714,11380,11385,11285,11350,42635,000,10850000
28,A367760,KBSTAR Fn5G抛农,20210713,11260,11415,11260,11410,65115,000,10800000
29,A367760,KBSTAR Fn5G抛农,20210712,11250,11280,11215,11255,38683,000,10750000
30,A367760,KBSTAR Fn5G抛农,20210709,11150,11250,11025,11250,78140,000,10750000
31,A367760,KBSTAR Fn5G抛农,20210708,11540,11540,11215,11265,114957,000,10800000
32,A367760,KBSTAR Fn5G抛农,20210707,11625,11625,11485,11535,208337,000,10800000
33,A367760,KBSTAR Fn5G抛农,20210706,11600,11690,11560,11600,82745,000,10800000
34,A367760,KBSTAR Fn5G抛农,20210705,11545,11635,11535,11605,145406,000,10650000
35,A367760,KBSTAR Fn5G抛农,20210702,11570,11570,11470,11545,44171,000,10550000
36,A367760,KBSTAR Fn5G抛农,20210701,11650,11650,11470,11555,130031,000,10550000
37,A367760,KBSTAR Fn5G抛农,20210630,11460,11600,11460,11580,202784,000,10450000
38,A367760,KBSTAR Fn5G抛农,20210629,11540,11540,11415,11445,95994,000,10450000
39,A367760,KBSTAR Fn5G抛农,20210628,11555,11555,11455,11510,74498,000,10350000
40,A367760,KBSTAR Fn5G抛农,20210625,11495,11570,11465,11520,156793,000,10300000
41,A367760,KBSTAR Fn5G抛农,20210624,11405,11445,11310,11400,212606,000,10200000
42,A367760,KBSTAR Fn5G抛农,20210623,11550,11555,11360,11405,182895,000,10100000
43,A367760,KBSTAR Fn5G抛农,20210622,11605,11620,11415,11495,113176,000,10100000
44,A367760,KBSTAR Fn5G抛农,20210621,11545,11605,11440,11530,190577,000,10000000
45,A367760,KBSTAR Fn5G抛农,20210618,11395,11625,11375,11625,234950,000,9950000
46,A367760,KBSTAR Fn5G抛农,20210617,11125,11350,11100,11325,166753,000,9900000
47,A367760,KBSTAR Fn5G抛农,20210616,11190,11195,11140,11155,77871,000,9900000
48,A367760,KBSTAR Fn5G抛农,20210615,11240,11265,11160,11175,85849,000,9900000
49,A367760,KBSTAR Fn5G抛农,20210614,11170,11235,11150,11200,96558,000,9900000
50,A367760,KBSTAR Fn5G抛农,20210611,11190,11220,11125,11180,83465,000,9850000
51,A367760,KBSTAR Fn5G抛农,20210610,11070,11175,11030,11150,66164,000,9800000
52,A367760,KBSTAR Fn5G抛农,20210609,11155,11180,11045,11050,52416,000,9750000
53,A367760,KBSTAR Fn5G抛农,20210608,11240,11245,11110,11160,54102,000,9750000
54,A367760,KBSTAR Fn5G抛农,20210607,11400,11400,11170,11240,123347,000,9750000
55,A367760,KBSTAR Fn5G抛农,20210604,11345,11385,11285,11345,110074,000,9750000
56,A367760,KBSTAR Fn5G抛农,20210603,11095,11425,11085,11385,179204,000,9750000
57,A367760,KBSTAR Fn5G抛农,20210602,11075,11120,11010,11045,60308,000,9650000
58,A367760,KBSTAR Fn5G抛农,20210601,11045,11085,10915,11075,73244,000,9650000
59,A367760,KBSTAR Fn5G抛农,20210531,10800,11050,10780,11050,130879,000,9650000
60,A367760,KBSTAR Fn5G抛农,20210528,10610,10770,10610,10760,53720,000,9650000
61,A367760,KBSTAR Fn5G抛农,20210527,10580,10625,10455,10595,28582,000,9600000
62,A367760,KBSTAR Fn5G抛农,20210526,10560,10580,10520,10575,68296,000,9600000
63,A367760,KBSTAR Fn5G抛农,20210525,10535,10575,10500,10560,71349,000,9550000
64,A367760,KBSTAR Fn5G抛农,20210524,10660,10690,10485,10495,70861,000,9550000
65,A367760,KBSTAR Fn5G抛农,20210521,10680,10810,10630,10645,56502,000,9500000
66,A367760,KBSTAR Fn5G抛农,20210520,10585,10650,10505,10635,45351,000,9550000
67,A367760,KBSTAR Fn5G抛农,20210518,10525,10620,10485,10580,33488,000,9550000
68,A367760,KBSTAR Fn5G抛农,20210517,10725,10725,10485,10560,57344,000,9550000
69,A367760,KBSTAR Fn5G抛农,20210514,10475,10660,10445,10650,30705,000,9500000
70,A367760,KBSTAR Fn5G抛农,20210513,10450,10530,10360,10400,106526,000,9500000
71,A367760,KBSTAR Fn5G抛农,20210512,10750,10800,10560,10625,92208,000,9500000
72,A367760,KBSTAR Fn5G抛农,20210511,10840,10840,10675,10740,60330,000,9500000
73,A367760,KBSTAR Fn5G抛农,20210510,10845,10950,10765,10950,94855,000,9450000
74,A367760,KBSTAR Fn5G抛农,20210507,10795,10830,10750,10825,47237,000,9450000
75,A367760,KBSTAR Fn5G抛农,20210506,10760,10870,10690,10800,57731,000,9450000
76,A367760,KBSTAR Fn5G抛农,20210504,10835,10835,10605,10820,93857,000,9450000
77,A367760,KBSTAR Fn5G抛农,20210503,11125,11160,10845,10890,120235,000,9400000
78,A367760,KBSTAR Fn5G抛农,20210430,11145,11245,11055,11155,54686,000,9400000
79,A367760,KBSTAR Fn5G抛农,20210429,11250,11335,11065,11180,57169,000,9400000
80,A367760,KBSTAR Fn5G抛农,20210428,11553,11568,11225,11270,66525,000,9300000
81,A367760,KBSTAR Fn5G抛农,20210427,11682,11682,11533,11588,66783,000,9300000
82,A367760,KBSTAR Fn5G抛农,20210426,11682,11727,11633,11727,85570,000,9250000
83,A367760,KBSTAR Fn5G抛农,20210423,11528,11638,11454,11633,76381,000,9250000
84,A367760,KBSTAR Fn5G抛农,20210422,11628,11633,11523,11573,51825,000,9250000
85,A367760,KBSTAR Fn5G抛农,20210421,11682,11747,11543,11588,70214,000,9250000
86,A367760,KBSTAR Fn5G抛农,20210420,11722,11742,11643,11732,105530,000,9250000
87,A367760,KBSTAR Fn5G抛农,20210419,11568,11732,11498,11692,126892,000,9250000
