,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A326240,KBSTAR IT플러스,20210823,21765,21900,21695,21900,19799,000,8200000
1,A326240,KBSTAR IT플러스,20210820,21960,22025,21535,21545,56118,000,8100000
2,A326240,KBSTAR IT플러스,20210819,21905,22180,21865,21885,66189,000,8000000
3,A326240,KBSTAR IT플러스,20210818,21770,22250,21755,22135,82875,000,7820000
4,A326240,KBSTAR IT플러스,20210817,22210,22295,21775,21885,121235,000,7600000
5,A326240,KBSTAR IT플러스,20210813,22550,22550,22110,22270,254356,000,7400000
6,A326240,KBSTAR IT플러스,20210812,22565,22740,22555,22645,252231,000,7300000
7,A326240,KBSTAR IT플러스,20210811,22935,23000,22685,22725,234710,000,7260000
8,A326240,KBSTAR IT플러스,20210810,23365,23365,22980,23120,186609,000,7240000
9,A326240,KBSTAR IT플러스,20210809,23150,23355,23055,23310,209924,000,7500000
10,A326240,KBSTAR IT플러스,20210806,23300,23330,23140,23190,116717,000,7440000
11,A326240,KBSTAR IT플러스,20210805,23210,23360,23175,23290,577242,000,7420000
12,A326240,KBSTAR IT플러스,20210804,23000,23205,22865,23145,138023,000,7380000
13,A326240,KBSTAR IT플러스,20210803,22810,23010,22780,22935,76880,000,7300000
14,A326240,KBSTAR IT플러스,20210802,22775,22790,22590,22790,55883,000,7220000
15,A326240,KBSTAR IT플러스,20210730,22900,22900,22615,22655,176604,000,7120000
16,A326240,KBSTAR IT플러스,20210729,22980,22980,22850,22895,128858,000,7060000
17,A326240,KBSTAR IT플러스,20210728,22875,22980,22670,22870,185306,000,6960000
18,A326240,KBSTAR IT플러스,20210727,23010,23105,22920,22980,136987,000,6880000
19,A326240,KBSTAR IT플러스,20210726,23220,23250,22915,22940,171636,000,6820000
20,A326240,KBSTAR IT플러스,20210723,22965,23160,22955,23115,219838,000,6640000
21,A326240,KBSTAR IT플러스,20210722,22740,22965,22740,22940,131626,000,6360000
22,A326240,KBSTAR IT플러스,20210721,22995,23035,22560,22610,269594,000,6060000
23,A326240,KBSTAR IT플러스,20210720,22785,22945,22680,22875,419296,000,5840000
24,A326240,KBSTAR IT플러스,20210719,23020,23065,22915,23025,374765,000,6260000
25,A326240,KBSTAR IT플러스,20210716,23185,23240,23040,23205,464525,000,6180000
26,A326240,KBSTAR IT플러스,20210715,23075,23275,22990,23275,853308,000,6040000
27,A326240,KBSTAR IT플러스,20210714,22970,23070,22890,23055,316146,000,5900000
28,A326240,KBSTAR IT플러스,20210713,22775,23030,22775,23030,295318,000,5720000
29,A326240,KBSTAR IT플러스,20210712,22820,22820,22610,22710,209806,000,5800000
30,A326240,KBSTAR IT플러스,20210709,22650,22690,22360,22665,369193,000,6020000
31,A326240,KBSTAR IT플러스,20210708,23015,23075,22830,22835,515010,000,6380000
32,A326240,KBSTAR IT플러스,20210707,22920,23015,22870,22980,580160,000,6260000
33,A326240,KBSTAR IT플러스,20210706,22790,22950,22790,22920,573799,000,6260000
34,A326240,KBSTAR IT플러스,20210705,22765,22845,22720,22760,275892,000,6300000
35,A326240,KBSTAR IT플러스,20210702,22675,22755,22635,22665,135046,000,6860000
36,A326240,KBSTAR IT플러스,20210701,22765,22840,22710,22760,306428,000,6820000
37,A326240,KBSTAR IT플러스,20210630,22580,22820,22580,22770,843387,000,6800000
38,A326240,KBSTAR IT플러스,20210629,22515,22575,22410,22555,218821,000,6920000
39,A326240,KBSTAR IT플러스,20210628,22475,22545,22335,22425,113293,000,7400000
40,A326240,KBSTAR IT플러스,20210625,22535,22655,22420,22460,213469,000,8100000
41,A326240,KBSTAR IT플러스,20210624,22605,22705,22410,22475,752713,000,8120000
42,A326240,KBSTAR IT플러스,20210623,22330,22580,22285,22565,728682,000,8140000
43,A326240,KBSTAR IT플러스,20210622,22335,22335,22095,22175,52998,000,8180000
44,A326240,KBSTAR IT플러스,20210621,22180,22315,22045,22180,72723,000,8180000
45,A326240,KBSTAR IT플러스,20210618,22110,22350,22100,22325,185376,000,8180000
46,A326240,KBSTAR IT플러스,20210617,21830,22080,21785,22025,58722,000,8200000
47,A326240,KBSTAR IT플러스,20210616,21975,22045,21895,22045,71721,000,8300000
48,A326240,KBSTAR IT플러스,20210615,21860,21995,21850,21995,89352,000,8300000
49,A326240,KBSTAR IT플러스,20210614,21725,21870,21695,21870,83913,000,8300000
50,A326240,KBSTAR IT플러스,20210611,21525,21685,21495,21685,59832,000,8220000
51,A326240,KBSTAR IT플러스,20210610,21250,21510,21250,21480,22296,000,8200000
52,A326240,KBSTAR IT플러스,20210609,21380,21380,21225,21230,13723,000,8200000
53,A326240,KBSTAR IT플러스,20210608,21430,21490,21365,21430,7977,000,8200000
54,A326240,KBSTAR IT플러스,20210607,21495,21565,21315,21475,18692,000,8220000
55,A326240,KBSTAR IT플러스,20210604,21345,21390,21180,21315,13190,000,8200000
56,A326240,KBSTAR IT플러스,20210603,21315,21610,21280,21545,25879,000,8200000
57,A326240,KBSTAR IT플러스,20210602,21365,21430,21215,21220,11640,000,8180000
58,A326240,KBSTAR IT플러스,20210601,21180,21360,21140,21315,20694,000,8180000
59,A326240,KBSTAR IT플러스,20210531,21105,21160,20980,21160,26601,000,8180000
60,A326240,KBSTAR IT플러스,20210528,21090,21145,20935,21125,20005,000,8180000
61,A326240,KBSTAR IT플러스,20210527,20920,21125,20735,21090,12184,000,8180000
