,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฝรฐก,ฐํฐก,ภ๚ฐก,มพฐก,ฐลทกทฎ,ม๕ฑวภüป๊พ๗มพฤฺตๅ,น฿วเมึฝฤผ๖
0,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210823,15880,15880,15880,15880,0,000,450000
1,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210820,16055,16150,15860,15880,18053,000,450000
2,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210819,16415,16440,16100,16100,20,000,450000
3,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210818,16465,16600,16465,16565,956,000,450000
4,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210817,16640,16640,16470,16490,5,000,450000
5,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210813,16830,16830,16575,16645,476,000,450000
6,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210812,17015,17045,16980,17000,12,000,450000
7,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210811,17060,17065,16990,17010,11,000,450000
8,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210810,17205,17205,16995,17010,40,000,450000
9,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210809,17185,17290,17185,17265,10,000,450000
10,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210806,17385,17385,17195,17235,16,000,450000
11,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210805,17420,17420,17320,17325,41,000,450000
12,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210804,17280,17465,17280,17465,96,000,450000
13,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210803,17050,17150,17015,17150,311,000,450000
14,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210802,17065,17065,16905,16990,30321,000,450000
15,A252730,KBSTAR ธ๐ธเลาทฮฟ์บผ,20210730,17215,17225,17080,17080,18,000,450000
