,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A009070,KCTC,20210823,6510,6800,6510,6780,132955,019,30000000
1,A009070,KCTC,20210820,6820,6950,6450,6560,429587,019,30000000
2,A009070,KCTC,20210819,7150,7300,6810,6810,414355,019,30000000
3,A009070,KCTC,20210818,7050,7370,7030,7260,271165,019,30000000
4,A009070,KCTC,20210817,7590,7780,7150,7200,474722,019,30000000
5,A009070,KCTC,20210813,7810,7890,7600,7600,390825,019,30000000
6,A009070,KCTC,20210812,7900,8050,7710,7850,686411,019,30000000
7,A009070,KCTC,20210811,7470,8460,7470,7930,3975396,019,30000000
8,A009070,KCTC,20210810,7690,7700,7430,7470,315135,019,30000000
9,A009070,KCTC,20210809,7800,7830,7680,7690,211613,019,30000000
10,A009070,KCTC,20210806,7900,7920,7790,7800,164004,019,30000000
11,A009070,KCTC,20210805,7800,7930,7780,7890,185715,019,30000000
12,A009070,KCTC,20210804,7640,7900,7640,7850,221098,019,30000000
13,A009070,KCTC,20210803,7740,7880,7670,7680,234238,019,30000000
14,A009070,KCTC,20210802,7800,7890,7670,7740,279269,019,30000000
15,A009070,KCTC,20210730,8050,8110,7780,7800,506275,019,30000000
16,A009070,KCTC,20210729,8180,8250,8060,8060,293988,019,30000000
17,A009070,KCTC,20210728,8470,8470,8150,8170,663220,019,30000000
18,A009070,KCTC,20210727,8130,8280,8100,8160,436101,019,30000000
19,A009070,KCTC,20210726,8290,8330,8000,8010,473292,019,30000000
20,A009070,KCTC,20210723,8210,8340,8180,8230,528302,019,30000000
21,A009070,KCTC,20210722,8270,8400,8160,8210,420283,019,30000000
22,A009070,KCTC,20210721,8300,8500,8200,8250,583174,019,30000000
23,A009070,KCTC,20210720,8160,8490,8120,8220,704609,019,30000000
24,A009070,KCTC,20210719,8600,8670,8400,8400,822810,019,30000000
25,A009070,KCTC,20210716,8630,9130,8610,8730,3518737,019,30000000
26,A009070,KCTC,20210715,8860,8940,8460,8500,1518038,019,30000000
