,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A299080,KINDEX 국채선물3년인버스,20210823,99380,99380,99380,99380,0,000,50000
1,A299080,KINDEX 국채선물3년인버스,20210820,99380,99380,99380,99380,0,000,50000
2,A299080,KINDEX 국채선물3년인버스,20210819,99380,99380,99380,99380,0,000,50000
3,A299080,KINDEX 국채선물3년인버스,20210818,99460,99460,99460,99460,0,000,50000
4,A299080,KINDEX 국채선물3년인버스,20210817,99515,99515,99515,99515,0,000,50000
5,A299080,KINDEX 국채선물3년인버스,20210813,99540,99540,99540,99540,0,000,50000
6,A299080,KINDEX 국채선물3년인버스,20210812,99570,99570,99570,99570,0,000,50000
7,A299080,KINDEX 국채선물3년인버스,20210811,99580,99580,99580,99580,0,000,50000
8,A299080,KINDEX 국채선물3년인버스,20210810,99585,99585,99585,99585,0,000,50000
9,A299080,KINDEX 국채선물3년인버스,20210809,99585,99585,99585,99585,0,000,50000
10,A299080,KINDEX 국채선물3년인버스,20210806,99585,99585,99585,99585,0,000,50000
11,A299080,KINDEX 국채선물3년인버스,20210805,99585,99585,99585,99585,0,000,50000
12,A299080,KINDEX 국채선물3년인버스,20210804,99600,99600,99600,99600,0,000,50000
13,A299080,KINDEX 국채선물3년인버스,20210803,99615,99615,99615,99615,0,000,50000
14,A299080,KINDEX 국채선물3년인버스,20210802,99560,99560,99560,99560,1,000,50000
15,A299080,KINDEX 국채선물3년인버스,20210730,99590,99590,99590,99590,0,000,50000
16,A299080,KINDEX 국채선물3년인버스,20210729,99590,99590,99590,99590,0,000,50000
17,A299080,KINDEX 국채선물3년인버스,20210728,99565,99565,99565,99565,0,000,50000
18,A299080,KINDEX 국채선물3년인버스,20210727,99560,99560,99560,99560,50,000,50000
19,A299080,KINDEX 국채선물3년인버스,20210726,99530,99530,99530,99530,0,000,50000
20,A299080,KINDEX 국채선물3년인버스,20210723,99580,99580,99580,99580,0,000,50000
21,A299080,KINDEX 국채선물3년인버스,20210722,99580,99580,99580,99580,0,000,50000
22,A299080,KINDEX 국채선물3년인버스,20210721,99580,99580,99580,99580,0,000,50000
23,A299080,KINDEX 국채선물3년인버스,20210720,99665,99665,99665,99665,0,000,50000
24,A299080,KINDEX 국채선물3년인버스,20210719,99800,99800,99800,99800,0,000,50000
25,A299080,KINDEX 국채선물3년인버스,20210716,99815,99815,99815,99815,0,000,50000
26,A299080,KINDEX 국채선물3년인버스,20210715,99855,99855,99855,99855,0,000,50000
27,A299080,KINDEX 국채선물3년인버스,20210714,99565,99565,99565,99565,0,000,50000
28,A299080,KINDEX 국채선물3년인버스,20210713,99565,99565,99565,99565,0,000,50000
29,A299080,KINDEX 국채선물3년인버스,20210712,99520,99520,99520,99520,0,000,50000
30,A299080,KINDEX 국채선물3년인버스,20210709,99520,99520,99520,99520,0,000,50000
31,A299080,KINDEX 국채선물3년인버스,20210708,99520,99520,99520,99520,0,000,50000
32,A299080,KINDEX 국채선물3년인버스,20210707,99680,99680,99680,99680,0,000,50000
33,A299080,KINDEX 국채선물3년인버스,20210706,99840,99840,99840,99840,0,000,50000
34,A299080,KINDEX 국채선물3년인버스,20210705,99840,99840,99840,99840,0,000,50000
35,A299080,KINDEX 국채선물3년인버스,20210702,99840,99840,99840,99840,0,000,50000
36,A299080,KINDEX 국채선물3년인버스,20210701,99795,99795,99795,99795,1,000,50000
37,A299080,KINDEX 국채선물3년인버스,20210630,99840,99840,99840,99840,0,000,50000
38,A299080,KINDEX 국채선물3년인버스,20210629,99880,99880,99880,99880,0,000,50000
