,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A275300,KODEX MSCIÄ÷¸®Æ¼,20210823,11055,11120,11020,11120,2622,000,500000
1,A275300,KODEX MSCIÄ÷¸®Æ¼,20210820,11110,11120,10900,10920,82382,000,500000
2,A275300,KODEX MSCIÄ÷¸®Æ¼,20210819,11110,11205,11070,11070,60,000,500000
3,A275300,KODEX MSCIÄ÷¸®Æ¼,20210818,11110,11200,11110,11165,8100,000,500000
4,A275300,KODEX MSCIÄ÷¸®Æ¼,20210817,11070,11155,11070,11155,158,000,500000
5,A275300,KODEX MSCIÄ÷¸®Æ¼,20210813,11295,11295,11235,11255,150,000,500000
6,A275300,KODEX MSCIÄ÷¸®Æ¼,20210812,11375,11375,11335,11360,195,000,500000
7,A275300,KODEX MSCIÄ÷¸®Æ¼,20210811,11340,11390,11340,11375,98,000,500000
8,A275300,KODEX MSCIÄ÷¸®Æ¼,20210810,11315,11355,11315,11355,51,000,500000
9,A275300,KODEX MSCIÄ÷¸®Æ¼,20210809,11350,11385,11350,11385,250,000,500000
10,A275300,KODEX MSCIÄ÷¸®Æ¼,20210806,11360,11455,11360,11455,32,000,500000
11,A275300,KODEX MSCIÄ÷¸®Æ¼,20210805,11405,11420,11405,11415,51,000,500000
12,A275300,KODEX MSCIÄ÷¸®Æ¼,20210804,11250,11335,11250,11335,50,000,500000
13,A275300,KODEX MSCIÄ÷¸®Æ¼,20210803,11200,11235,11180,11235,17140,000,500000
14,A275300,KODEX MSCIÄ÷¸®Æ¼,20210802,11170,11250,11170,11250,54,000,500000
15,A275300,KODEX MSCIÄ÷¸®Æ¼,20210730,11320,11320,11175,11175,368,000,500000
16,A275300,KODEX MSCIÄ÷¸®Æ¼,20210729,11335,11350,11310,11350,336,000,500000
17,A275300,KODEX MSCIÄ÷¸®Æ¼,20210728,11380,11380,11230,11300,101,000,800000
18,A275300,KODEX MSCIÄ÷¸®Æ¼,20210727,11410,11415,11405,11405,20,000,800000
19,A275300,KODEX MSCIÄ÷¸®Æ¼,20210726,11475,11475,11455,11455,42,000,800000
20,A275300,KODEX MSCIÄ÷¸®Æ¼,20210723,11520,11525,11520,11525,8154,000,800000
21,A275300,KODEX MSCIÄ÷¸®Æ¼,20210722,11425,11505,11410,11465,991,000,700000
22,A275300,KODEX MSCIÄ÷¸®Æ¼,20210721,11405,11405,11370,11370,27,000,700000
23,A275300,KODEX MSCIÄ÷¸®Æ¼,20210720,11430,11460,11395,11455,20511,000,700000
24,A275300,KODEX MSCIÄ÷¸®Æ¼,20210719,11495,11495,11410,11450,9024,000,700000
25,A275300,KODEX MSCIÄ÷¸®Æ¼,20210716,11465,11535,11460,11535,283,000,700000
26,A275300,KODEX MSCIÄ÷¸®Æ¼,20210715,11380,11515,11345,11515,38870,000,700000
27,A275300,KODEX MSCIÄ÷¸®Æ¼,20210714,11295,11365,11295,11365,83,000,700000
28,A275300,KODEX MSCIÄ÷¸®Æ¼,20210713,11190,11365,11190,11365,22,000,700000
29,A275300,KODEX MSCIÄ÷¸®Æ¼,20210712,11135,11155,11095,11155,137,000,700000
30,A275300,KODEX MSCIÄ÷¸®Æ¼,20210709,11205,11205,11025,11105,53,000,700000
31,A275300,KODEX MSCIÄ÷¸®Æ¼,20210708,11345,11345,11275,11280,156,000,700000
32,A275300,KODEX MSCIÄ÷¸®Æ¼,20210707,11265,11290,11265,11290,11,000,700000
33,A275300,KODEX MSCIÄ÷¸®Æ¼,20210706,11290,11290,11265,11275,7031,000,700000
34,A275300,KODEX MSCIÄ÷¸®Æ¼,20210705,11255,11335,11255,11290,92,000,700000
35,A275300,KODEX MSCIÄ÷¸®Æ¼,20210702,11275,11275,11230,11250,2140,000,700000
36,A275300,KODEX MSCIÄ÷¸®Æ¼,20210701,11340,11340,11285,11300,2526,000,700000
37,A275300,KODEX MSCIÄ÷¸®Æ¼,20210630,11190,11340,11190,11285,563,000,700000
38,A275300,KODEX MSCIÄ÷¸®Æ¼,20210629,11205,11220,11200,11220,9631,000,700000
39,A275300,KODEX MSCIÄ÷¸®Æ¼,20210628,11195,11200,11160,11200,47,000,700000
40,A275300,KODEX MSCIÄ÷¸®Æ¼,20210625,11275,11295,11165,11210,14683,000,600000
41,A275300,KODEX MSCIÄ÷¸®Æ¼,20210624,11315,11390,11290,11315,49,000,600000
42,A275300,KODEX MSCIÄ÷¸®Æ¼,20210623,11285,11340,11270,11315,30557,000,600000
43,A275300,KODEX MSCIÄ÷¸®Æ¼,20210622,11025,11025,11025,11025,5,000,600000
44,A275300,KODEX MSCIÄ÷¸®Æ¼,20210621,11035,11035,10995,11025,3,000,600000
45,A275300,KODEX MSCIÄ÷¸®Æ¼,20210618,11035,11035,11035,11035,0,000,600000
46,A275300,KODEX MSCIÄ÷¸®Æ¼,20210617,10915,10960,10915,10960,15,000,600000
47,A275300,KODEX MSCIÄ÷¸®Æ¼,20210616,10925,10960,10925,10960,4,000,600000
48,A275300,KODEX MSCIÄ÷¸®Æ¼,20210615,10880,10935,10865,10930,12539,000,600000
49,A275300,KODEX MSCIÄ÷¸®Æ¼,20210614,10875,10905,10875,10890,7669,000,600000
50,A275300,KODEX MSCIÄ÷¸®Æ¼,20210611,10695,10695,10695,10695,0,000,600000
51,A275300,KODEX MSCIÄ÷¸®Æ¼,20210610,10695,10695,10695,10695,0,000,600000
52,A275300,KODEX MSCIÄ÷¸®Æ¼,20210609,10565,10565,10565,10565,0,000,600000
53,A275300,KODEX MSCIÄ÷¸®Æ¼,20210608,10645,10645,10645,10645,0,000,600000
54,A275300,KODEX MSCIÄ÷¸®Æ¼,20210607,10645,10645,10645,10645,10,000,600000
55,A275300,KODEX MSCIÄ÷¸®Æ¼,20210604,10620,10620,10620,10620,0,000,600000
56,A275300,KODEX MSCIÄ÷¸®Æ¼,20210603,10655,10655,10655,10655,1,000,700000
57,A275300,KODEX MSCIÄ÷¸®Æ¼,20210602,10735,10735,10655,10655,88,000,700000
58,A275300,KODEX MSCIÄ÷¸®Æ¼,20210601,10735,10735,10735,10735,101,000,700000
59,A275300,KODEX MSCIÄ÷¸®Æ¼,20210531,10695,10755,10645,10735,140,000,700000
60,A275300,KODEX MSCIÄ÷¸®Æ¼,20210528,10605,10645,10605,10645,91,000,700000
61,A275300,KODEX MSCIÄ÷¸®Æ¼,20210527,10605,10605,10605,10605,1,000,700000
62,A275300,KODEX MSCIÄ÷¸®Æ¼,20210526,10605,10605,10605,10605,0,000,700000
63,A275300,KODEX MSCIÄ÷¸®Æ¼,20210525,10550,10550,10550,10550,4,000,700000
64,A275300,KODEX MSCIÄ÷¸®Æ¼,20210524,10470,10470,10435,10435,50,000,700000
65,A275300,KODEX MSCIÄ÷¸®Æ¼,20210521,10470,10470,10470,10470,0,000,700000
66,A275300,KODEX MSCIÄ÷¸®Æ¼,20210520,10480,10480,10470,10470,8,000,700000
67,A275300,KODEX MSCIÄ÷¸®Æ¼,20210518,10505,10505,10505,10505,0,000,700000
68,A275300,KODEX MSCIÄ÷¸®Æ¼,20210517,10415,10415,10415,10415,1,000,700000
69,A275300,KODEX MSCIÄ÷¸®Æ¼,20210514,10480,10485,10435,10435,22,000,700000
70,A275300,KODEX MSCIÄ÷¸®Æ¼,20210513,10430,10435,10410,10410,7,000,700000
71,A275300,KODEX MSCIÄ÷¸®Æ¼,20210512,10390,10390,10390,10390,999,000,700000
72,A275300,KODEX MSCIÄ÷¸®Æ¼,20210511,10595,10595,10595,10595,0,000,700000
73,A275300,KODEX MSCIÄ÷¸®Æ¼,20210510,10775,10775,10775,10775,89,000,700000
74,A275300,KODEX MSCIÄ÷¸®Æ¼,20210507,10530,10570,10530,10545,38,000,700000
75,A275300,KODEX MSCIÄ÷¸®Æ¼,20210506,10345,10345,10345,10345,0,000,700000
76,A275300,KODEX MSCIÄ÷¸®Æ¼,20210504,10350,10350,10350,10350,0,000,700000
77,A275300,KODEX MSCIÄ÷¸®Æ¼,20210503,10490,10490,10295,10295,7064,000,700000
78,A275300,KODEX MSCIÄ÷¸®Æ¼,20210430,10490,10555,10490,10555,3,000,700000
79,A275300,KODEX MSCIÄ÷¸®Æ¼,20210429,10625,10625,10590,10590,7,000,700000
80,A275300,KODEX MSCIÄ÷¸®Æ¼,20210428,10762,10762,10580,10580,9,000,700000
81,A275300,KODEX MSCIÄ÷¸®Æ¼,20210427,10782,10782,10747,10747,2,000,700000
82,A275300,KODEX MSCIÄ÷¸®Æ¼,20210426,10871,10871,10871,10871,1,000,700000
83,A275300,KODEX MSCIÄ÷¸®Æ¼,20210423,10831,10915,10831,10915,81,000,700000
84,A275300,KODEX MSCIÄ÷¸®Æ¼,20210422,10836,10841,10797,10811,231,000,700000
85,A275300,KODEX MSCIÄ÷¸®Æ¼,20210421,10895,10895,10895,10895,500,000,600000
86,A275300,KODEX MSCIÄ÷¸®Æ¼,20210420,11053,11053,11053,11053,1,000,600000
87,A275300,KODEX MSCIÄ÷¸®Æ¼,20210419,11098,11112,11053,11078,21518,000,600000
88,A275300,KODEX MSCIÄ÷¸®Æ¼,20210416,11043,11043,11043,11043,10,000,600000
89,A275300,KODEX MSCIÄ÷¸®Æ¼,20210415,11014,11014,11014,11014,6,000,600000
90,A275300,KODEX MSCIÄ÷¸®Æ¼,20210414,11083,11083,11083,11083,7003,000,600000
91,A275300,KODEX MSCIÄ÷¸®Æ¼,20210413,10984,11098,10984,11068,4,000,600000
92,A275300,KODEX MSCIÄ÷¸®Æ¼,20210412,10940,10940,10940,10940,10,000,600000
93,A275300,KODEX MSCIÄ÷¸®Æ¼,20210409,10994,10994,10994,10994,22,000,600000
94,A275300,KODEX MSCIÄ÷¸®Æ¼,20210408,10767,10890,10767,10890,54,000,600000
95,A275300,KODEX MSCIÄ÷¸®Æ¼,20210407,10777,10777,10723,10747,12997,000,600000
96,A275300,KODEX MSCIÄ÷¸®Æ¼,20210406,10777,10777,10777,10777,205,000,600000
97,A275300,KODEX MSCIÄ÷¸®Æ¼,20210405,10836,10836,10826,10826,7,000,600000
98,A275300,KODEX MSCIÄ÷¸®Æ¼,20210402,10930,10930,10915,10925,53,000,600000
99,A275300,KODEX MSCIÄ÷¸®Æ¼,20210401,10935,10935,10935,10935,9,000,600000
100,A275300,KODEX MSCIÄ÷¸®Æ¼,20210331,10920,10920,10851,10851,4,000,600000
101,A275300,KODEX MSCIÄ÷¸®Æ¼,20210330,10782,10782,10782,10782,1,000,600000
102,A275300,KODEX MSCIÄ÷¸®Æ¼,20210329,10851,10851,10777,10777,39,000,600000
103,A275300,KODEX MSCIÄ÷¸®Æ¼,20210326,10747,10747,10747,10747,0,000,600000
104,A275300,KODEX MSCIÄ÷¸®Æ¼,20210325,10668,10668,10668,10668,384,000,600000
105,A275300,KODEX MSCIÄ÷¸®Æ¼,20210324,10698,10698,10698,10698,0,000,600000
106,A275300,KODEX MSCIÄ÷¸®Æ¼,20210323,10584,10584,10584,10584,0,000,600000
107,A275300,KODEX MSCIÄ÷¸®Æ¼,20210322,10584,10584,10584,10584,0,000,600000
108,A275300,KODEX MSCIÄ÷¸®Æ¼,20210319,10584,10584,10584,10584,7100,000,600000
109,A275300,KODEX MSCIÄ÷¸®Æ¼,20210318,10683,10683,10683,10683,0,000,600000
110,A275300,KODEX MSCIÄ÷¸®Æ¼,20210317,10782,10782,10644,10644,4,000,600000
111,A275300,KODEX MSCIÄ÷¸®Æ¼,20210316,10732,10732,10732,10732,0,000,600000
112,A275300,KODEX MSCIÄ÷¸®Æ¼,20210315,10570,10570,10570,10570,500,000,600000
113,A275300,KODEX MSCIÄ÷¸®Æ¼,20210312,10609,10609,10609,10609,0,000,600000
114,A275300,KODEX MSCIÄ÷¸®Æ¼,20210311,10555,10560,10555,10560,2,000,600000
115,A275300,KODEX MSCIÄ÷¸®Æ¼,20210310,10367,10367,10367,10367,0,000,600000
116,A275300,KODEX MSCIÄ÷¸®Æ¼,20210309,10377,10377,10283,10372,33,000,600000
117,A275300,KODEX MSCIÄ÷¸®Æ¼,20210308,10575,10575,10461,10461,1002,000,600000
118,A275300,KODEX MSCIÄ÷¸®Æ¼,20210305,10570,10570,10570,10570,1,000,600000
119,A275300,KODEX MSCIÄ÷¸®Æ¼,20210304,10649,10649,10649,10649,1,000,600000
