,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A321410,KODEX 멀티에셋하이인컴(H),20210823,11040,11040,10970,10970,32,000,500000
1,A321410,KODEX 멀티에셋하이인컴(H),20210820,10990,10990,10915,10920,226,000,500000
2,A321410,KODEX 멀티에셋하이인컴(H),20210819,11025,11025,10905,10990,334,000,500000
3,A321410,KODEX 멀티에셋하이인컴(H),20210818,11045,11045,10970,10970,523,000,500000
4,A321410,KODEX 멀티에셋하이인컴(H),20210817,10960,11000,10960,10965,432,000,500000
5,A321410,KODEX 멀티에셋하이인컴(H),20210813,10890,10960,10890,10910,470,000,500000
6,A321410,KODEX 멀티에셋하이인컴(H),20210812,10890,10890,10870,10890,1289,000,500000
7,A321410,KODEX 멀티에셋하이인컴(H),20210811,10855,10855,10840,10845,2266,000,500000
8,A321410,KODEX 멀티에셋하이인컴(H),20210810,10865,10865,10860,10860,4453,000,500000
9,A321410,KODEX 멀티에셋하이인컴(H),20210809,10990,10990,10885,10885,1158,000,500000
10,A321410,KODEX 멀티에셋하이인컴(H),20210806,10960,11055,10950,10950,2061,000,500000
11,A321410,KODEX 멀티에셋하이인컴(H),20210805,11090,11090,10950,10955,4826,000,500000
12,A321410,KODEX 멀티에셋하이인컴(H),20210804,11090,11090,10960,10995,9340,000,500000
13,A321410,KODEX 멀티에셋하이인컴(H),20210803,11095,11095,11000,11010,168,000,500000
14,A321410,KODEX 멀티에셋하이인컴(H),20210802,10960,11000,10925,11000,169,000,500000
15,A321410,KODEX 멀티에셋하이인컴(H),20210730,10950,10950,10915,10915,162,000,500000
16,A321410,KODEX 멀티에셋하이인컴(H),20210729,11010,11010,10915,10950,4220,000,500000
17,A321410,KODEX 멀티에셋하이인컴(H),20210728,10900,10990,10900,10990,66,000,500000
18,A321410,KODEX 멀티에셋하이인컴(H),20210727,10865,10965,10865,10880,14840,000,500000
19,A321410,KODEX 멀티에셋하이인컴(H),20210726,10920,10920,10870,10870,3449,000,500000
20,A321410,KODEX 멀티에셋하이인컴(H),20210723,10905,10920,10905,10920,116,000,500000
21,A321410,KODEX 멀티에셋하이인컴(H),20210722,10960,10970,10860,10905,312,000,500000
22,A321410,KODEX 멀티에셋하이인컴(H),20210721,10900,10925,10900,10910,29,000,500000
23,A321410,KODEX 멀티에셋하이인컴(H),20210720,10875,10940,10830,10840,7640,000,500000
24,A321410,KODEX 멀티에셋하이인컴(H),20210719,10890,10890,10870,10870,8,000,500000
25,A321410,KODEX 멀티에셋하이인컴(H),20210716,10920,10920,10885,10885,801,000,500000
26,A321410,KODEX 멀티에셋하이인컴(H),20210715,10860,10920,10860,10920,622,000,500000
27,A321410,KODEX 멀티에셋하이인컴(H),20210714,10880,10880,10810,10860,748,000,500000
28,A321410,KODEX 멀티에셋하이인컴(H),20210713,10875,10880,10875,10880,57,000,500000
29,A321410,KODEX 멀티에셋하이인컴(H),20210712,10930,10930,10865,10870,480,000,500000
30,A321410,KODEX 멀티에셋하이인컴(H),20210709,10870,10940,10865,10865,344,000,500000
