,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A261250,KODEX 미국달러선물레버리지,20210823,9965,10000,9935,9945,56004,000,2460000
1,A261250,KODEX 미국달러선물레버리지,20210820,9980,10070,9910,10040,130152,000,2550000
2,A261250,KODEX 미국달러선물레버리지,20210819,9920,10005,9905,9980,176782,000,2600000
3,A261250,KODEX 미국달러선물레버리지,20210818,10030,10050,9845,9850,165877,000,2640000
4,A261250,KODEX 미국달러선물레버리지,20210817,9830,10030,9830,10000,150586,000,2620000
5,A261250,KODEX 미국달러선물레버리지,20210813,9755,9875,9755,9860,198846,000,2710000
6,A261250,KODEX 미국달러선물레버리지,20210812,9635,9745,9630,9745,79803,000,2710000
7,A261250,KODEX 미국달러선물레버리지,20210811,9615,9670,9615,9670,144034,000,2700000
8,A261250,KODEX 미국달러선물레버리지,20210810,9510,9570,9505,9560,89580,000,2660000
9,A261250,KODEX 미국달러선물레버리지,20210809,9505,9525,9450,9485,47479,000,2640000
10,A261250,KODEX 미국달러선물레버리지,20210806,9455,9475,9410,9440,77021,000,2640000
11,A261250,KODEX 미국달러선물레버리지,20210805,9480,9505,9425,9465,60800,000,2730000
12,A261250,KODEX 미국달러선물레버리지,20210804,9545,9550,9455,9465,66443,000,2820000
13,A261250,KODEX 미국달러선물레버리지,20210803,9585,9620,9540,9545,46789,000,2840000
14,A261250,KODEX 미국달러선물레버리지,20210802,9585,9630,9570,9585,116053,000,2710000
15,A261250,KODEX 미국달러선물레버리지,20210730,9480,9565,9470,9555,86942,000,2770000
16,A261250,KODEX 미국달러선물레버리지,20210729,9590,9600,9480,9510,156443,000,2740000
17,A261250,KODEX 미국달러선물레버리지,20210728,9640,9690,9615,9655,125559,000,2740000
18,A261250,KODEX 미국달러선물레버리지,20210727,9625,9625,9560,9580,66116,000,2740000
19,A261250,KODEX 미국달러선물레버리지,20210726,9580,9660,9520,9645,87402,000,2740000
20,A261250,KODEX 미국달러선물레버리지,20210723,9575,9590,9530,9580,42705,000,2800000
21,A261250,KODEX 미국달러선물레버리지,20210722,9580,9610,9545,9575,58954,000,2860000
