,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A325020,KODEX 배당가치,20210823,12775,12850,12735,12850,1357,000,7200000
1,A325020,KODEX 배당가치,20210820,12850,12860,12580,12650,2887,000,7200000
2,A325020,KODEX 배당가치,20210819,13095,13095,12770,12825,4421,000,7200000
3,A325020,KODEX 배당가치,20210818,13125,13205,13070,13165,846,000,7200000
4,A325020,KODEX 배당가치,20210817,13230,13230,13100,13135,1946,000,7200000
5,A325020,KODEX 배당가치,20210813,13325,13325,13130,13265,3523,000,7200000
6,A325020,KODEX 배당가치,20210812,13445,13500,13370,13415,18307,000,7200000
7,A325020,KODEX 배당가치,20210811,13500,13550,13430,13490,2322,000,7200000
8,A325020,KODEX 배당가치,20210810,13630,13630,13465,13465,6090,000,7200000
9,A325020,KODEX 배당가치,20210809,13695,13695,13610,13630,61465,000,7200000
10,A325020,KODEX 배당가치,20210806,13715,13775,13670,13710,5312,000,7200000
11,A325020,KODEX 배당가치,20210805,13790,13825,13705,13705,33162,000,7200000
12,A325020,KODEX 배당가치,20210804,13685,13830,13675,13830,2332,000,7200000
13,A325020,KODEX 배당가치,20210803,13585,13665,13505,13665,19767,000,7200000
14,A325020,KODEX 배당가치,20210802,13590,13640,13490,13585,2135,000,7200000
15,A325020,KODEX 배당가치,20210730,13650,13655,13525,13565,15513,000,7200000
16,A325020,KODEX 배당가치,20210729,13690,13745,13630,13705,1810,000,7200000
17,A325020,KODEX 배당가치,20210728,13590,13690,13560,13690,3666,000,7200000
18,A325020,KODEX 배당가치,20210727,13625,13695,13565,13625,1955,000,7200000
19,A325020,KODEX 배당가치,20210726,13755,13755,13600,13615,1764,000,7200000
20,A325020,KODEX 배당가치,20210723,13675,13730,13650,13725,28643,000,7200000
21,A325020,KODEX 배당가치,20210722,13520,13685,13520,13685,2211,000,7200000
22,A325020,KODEX 배당가치,20210721,13550,13560,13420,13485,2970,000,7200000
23,A325020,KODEX 배당가치,20210720,13415,13495,13415,13495,11111,000,7200000
24,A325020,KODEX 배당가치,20210719,13600,13600,13535,13565,5790,000,7200000
25,A325020,KODEX 배당가치,20210716,13695,13715,13610,13715,28592,000,7200000
26,A325020,KODEX 배당가치,20210715,13665,13770,13660,13770,2644,000,7200000
27,A325020,KODEX 배당가치,20210714,13645,13675,13595,13675,3937,000,7200000
28,A325020,KODEX 배당가치,20210713,13680,13715,13655,13715,1686,000,7200000
29,A325020,KODEX 배당가치,20210712,13540,13620,13540,13595,1610,000,7200000
30,A325020,KODEX 배당가치,20210709,13475,13480,13300,13415,4065,000,7200000
31,A325020,KODEX 배당가치,20210708,13735,13770,13600,13600,3085,000,7200000
32,A325020,KODEX 배당가치,20210707,13790,13790,13680,13710,18726,000,7200000
33,A325020,KODEX 배당가치,20210706,13855,13890,13800,13860,17712,000,7200000
34,A325020,KODEX 배당가치,20210705,13835,13845,13765,13825,6881,000,7200000
35,A325020,KODEX 배당가치,20210702,13810,13865,13760,13835,26158,000,7200000
36,A325020,KODEX 배당가치,20210701,13930,13930,13795,13825,6470,000,7200000
37,A325020,KODEX 배당가치,20210630,13925,13980,13915,13965,2791,000,7200000
38,A325020,KODEX 배당가치,20210629,14035,14035,13855,13935,26267,000,7200000
39,A325020,KODEX 배당가치,20210628,14045,14070,13975,14060,3874,000,7200000
40,A325020,KODEX 배당가치,20210625,13870,14030,13870,14030,2835,000,7300000
41,A325020,KODEX 배당가치,20210624,13665,13830,13665,13830,31477,000,7300000
42,A325020,KODEX 배당가치,20210623,13720,13720,13615,13715,37490,000,7300000
43,A325020,KODEX 배당가치,20210622,13685,13730,13680,13730,57068,000,7300000
44,A325020,KODEX 배당가치,20210621,13655,13670,13545,13600,19740,000,7300000
45,A325020,KODEX 배당가치,20210618,13865,13865,13790,13805,4632,000,7300000
46,A325020,KODEX 배당가치,20210617,13940,13940,13850,13885,2935,000,7300000
47,A325020,KODEX 배당가치,20210616,13835,13975,13830,13975,5935,000,7300000
48,A325020,KODEX 배당가치,20210615,13775,13835,13775,13835,5360,000,7300000
49,A325020,KODEX 배당가치,20210614,13875,13875,13770,13825,3526,000,7300000
50,A325020,KODEX 배당가치,20210611,13960,13960,13860,13925,6507,000,7300000
51,A325020,KODEX 배당가치,20210610,13895,13920,13820,13870,3640,000,7300000
52,A325020,KODEX 배당가치,20210609,14005,14010,13890,13895,6240,000,9400000
53,A325020,KODEX 배당가치,20210608,14020,14075,14005,14060,2219,000,9400000
54,A325020,KODEX 배당가치,20210607,14060,14060,13925,14030,9281,000,10400000
55,A325020,KODEX 배당가치,20210604,14005,14015,13945,13995,2592,000,10400000
56,A325020,KODEX 배당가치,20210603,14025,14065,14010,14040,4632,000,10500000
57,A325020,KODEX 배당가치,20210602,13965,14035,13965,14025,14937,000,10500000
58,A325020,KODEX 배당가치,20210601,13915,13980,13875,13960,10048,000,10500000
59,A325020,KODEX 배당가치,20210531,13830,13895,13750,13895,105050,000,10500000
60,A325020,KODEX 배당가치,20210528,13725,13855,13725,13830,6506,000,11200000
61,A325020,KODEX 배당가치,20210527,13765,13785,13650,13695,14119,000,11200000
62,A325020,KODEX 배당가치,20210526,13835,13865,13755,13815,3023,000,11200000
63,A325020,KODEX 배당가치,20210525,13775,13840,13740,13840,2119,000,11200000
64,A325020,KODEX 배당가치,20210524,13675,13770,13635,13735,8253,000,11300000
65,A325020,KODEX 배당가치,20210521,13850,13880,13645,13690,158747,000,11300000
66,A325020,KODEX 배당가치,20210520,13790,13865,13675,13775,48116,000,11300000
67,A325020,KODEX 배당가치,20210518,13765,13960,13765,13950,5593,000,11700000
68,A325020,KODEX 배당가치,20210517,13880,13880,13675,13755,5669,000,11300000
69,A325020,KODEX 배당가치,20210514,13905,13910,13815,13880,436566,000,11300000
70,A325020,KODEX 배당가치,20210513,13690,14040,13690,13850,675855,000,11200000
71,A325020,KODEX 배당가치,20210512,14170,14170,13795,13945,607587,000,11200000
72,A325020,KODEX 배당가치,20210511,14165,14210,14015,14200,686803,000,11800000
73,A325020,KODEX 배당가치,20210510,14055,14255,14035,14225,665911,000,11800000
74,A325020,KODEX 배당가치,20210507,13930,13990,13885,13985,1327026,000,11800000
75,A325020,KODEX 배당가치,20210506,13605,13900,13550,13900,5402,000,11800000
76,A325020,KODEX 배당가치,20210504,13470,13560,13390,13560,25334,000,11700000
77,A325020,KODEX 배당가치,20210503,13550,13665,13450,13510,5943,000,11700000
78,A325020,KODEX 배당가치,20210430,13625,13685,13505,13575,123776,000,11700000
79,A325020,KODEX 배당가치,20210429,13735,13750,13545,13620,16228,000,11700000
80,A325020,KODEX 배당가치,20210428,13768,13768,13617,13715,3423,000,11700000
81,A325020,KODEX 배당가치,20210427,13680,13744,13641,13744,2015,000,11700000
82,A325020,KODEX 배당가치,20210426,13500,13675,13500,13675,3746,000,11700000
83,A325020,KODEX 배당가치,20210423,13310,13500,13290,13480,4993,000,11800000
84,A325020,KODEX 배당가치,20210422,13349,13451,13349,13427,5734,000,12900000
85,A325020,KODEX 배당가치,20210421,13417,13417,13231,13353,53488,000,12900000
86,A325020,KODEX 배당가치,20210420,13339,13500,13329,13500,1107162,000,12900000
87,A325020,KODEX 배당가치,20210419,13329,13358,13271,13349,7093,000,12900000
88,A325020,KODEX 배당가치,20210416,13339,13339,13266,13314,16108,000,12900000
89,A325020,KODEX 배당가치,20210415,13275,13339,13251,13334,32886,000,12900000
90,A325020,KODEX 배당가치,20210414,13188,13271,13114,13271,2173,000,12900000
91,A325020,KODEX 배당가치,20210413,13095,13212,13095,13212,2622,000,12900000
92,A325020,KODEX 배당가치,20210412,13100,13158,13056,13124,26169,000,12900000
93,A325020,KODEX 배당가치,20210409,13183,13183,13031,13100,124037,000,12900000
94,A325020,KODEX 배당가치,20210408,13163,13183,13075,13183,29373,000,13000000
95,A325020,KODEX 배당가치,20210407,13095,13163,13085,13163,3369,000,13000000
96,A325020,KODEX 배당가치,20210406,13139,13139,12973,13090,194902,000,13000000
97,A325020,KODEX 배당가치,20210405,13041,13105,12983,13105,4200,000,13000000
98,A325020,KODEX 배당가치,20210402,13027,13031,12958,13012,17586,000,13300000
99,A325020,KODEX 배당가치,20210401,12997,13027,12890,12973,5544,000,13300000
100,A325020,KODEX 배당가치,20210331,12929,13051,12929,12997,4171,000,13300000
101,A325020,KODEX 배당가치,20210330,12914,12968,12909,12958,1913,000,13600000
102,A325020,KODEX 배당가치,20210329,12841,12875,12748,12841,2773,000,13600000
103,A325020,KODEX 배당가치,20210326,12744,12836,12700,12822,24877,000,13600000
104,A325020,KODEX 배당가치,20210325,12524,12661,12514,12661,1424,000,13600000
105,A325020,KODEX 배당가치,20210324,12519,12592,12465,12548,1530,000,13600000
106,A325020,KODEX 배당가치,20210323,12748,12748,12622,12641,8293,000,13600000
107,A325020,KODEX 배당가치,20210322,12709,12753,12646,12729,1669,000,13600000
108,A325020,KODEX 배당가치,20210319,12675,12700,12597,12700,4384,000,13600000
109,A325020,KODEX 배당가치,20210318,12705,12758,12705,12739,2019,000,13500000
110,A325020,KODEX 배당가치,20210317,12739,12739,12597,12690,1611,000,13500000
111,A325020,KODEX 배당가치,20210316,12695,12783,12695,12773,225816,000,13500000
112,A325020,KODEX 배당가치,20210315,12592,12714,12592,12700,1587,000,13500000
113,A325020,KODEX 배당가치,20210312,12583,12651,12539,12636,4568,000,13500000
114,A325020,KODEX 배당가치,20210311,12422,12602,12422,12583,3326,000,13500000
115,A325020,KODEX 배당가치,20210310,12587,12587,12353,12412,40914,000,13500000
116,A325020,KODEX 배당가치,20210309,12622,12622,12387,12592,2006,000,13500000
117,A325020,KODEX 배당가치,20210308,12519,12587,12465,12529,10111,000,13200000
118,A325020,KODEX 배당가치,20210305,12334,12451,12280,12451,1911,000,13200000
119,A325020,KODEX 배당가치,20210304,12387,12514,12358,12456,342737,000,13200000
120,A325020,KODEX 배당가치,20210303,12343,12534,12304,12534,1856,000,13200000
121,A325020,KODEX 배당가치,20210302,12392,12470,12261,12353,2221,000,13200000
122,A325020,KODEX 배당가치,20210226,12226,12265,12129,12231,4241,000,13200000
123,A325020,KODEX 배당가치,20210225,12295,12485,12295,12475,45778,000,13200000
124,A325020,KODEX 배당가치,20210224,12363,12451,12143,12158,62560,000,13300000
125,A325020,KODEX 배당가치,20210223,12348,12456,12275,12402,12353,000,13300000
126,A325020,KODEX 배당가치,20210222,12441,12539,12309,12368,24269,000,13300000
127,A325020,KODEX 배당가치,20210219,12324,12417,12104,12417,24239,000,13400000
128,A325020,KODEX 배당가치,20210218,12568,12568,12358,12387,23498,000,13400000
129,A325020,KODEX 배당가치,20210217,12597,12617,12504,12583,1430,000,13400000
130,A325020,KODEX 배당가치,20210216,12544,12675,12534,12675,32570,000,13300000
131,A325020,KODEX 배당가치,20210215,12587,12626,12534,12592,20044,000,13300000
132,A325020,KODEX 배당가치,20210210,12490,12539,12397,12519,1383,000,13300000
133,A325020,KODEX 배당가치,20210209,12563,12563,12417,12465,100945,000,13300000
134,A325020,KODEX 배당가치,20210208,12524,12597,12436,12504,24838,000,13800000
135,A325020,KODEX 배당가치,20210205,12475,12568,12378,12568,37160,000,13200000
136,A325020,KODEX 배당가치,20210204,12548,12548,12275,12417,760865,000,13200000
137,A325020,KODEX 배당가치,20210203,12431,12578,12334,12514,442218,000,13200000
138,A325020,KODEX 배당가치,20210202,12275,12480,12246,12368,16104,000,13200000
139,A325020,KODEX 배당가치,20210201,11821,12241,11821,12241,42357,000,13200000
140,A325020,KODEX 배당가치,20210129,12246,12246,11836,11899,11788,000,13200000
141,A325020,KODEX 배당가치,20210128,12178,12392,12124,12246,2815,000,13200000
142,A325020,KODEX 배당가치,20210127,12563,12656,12456,12519,15614,000,13200000
143,A325020,KODEX 배당가치,20210126,12890,12890,12519,12587,4253,000,13200000
144,A325020,KODEX 배당가치,20210125,12636,12895,12597,12895,21214,000,13300000
145,A325020,KODEX 배당가치,20210122,12802,12802,12563,12597,17731,000,13300000
146,A325020,KODEX 배당가치,20210121,12607,12817,12597,12817,128482,000,13300000
147,A325020,KODEX 배당가치,20210120,12695,12695,12475,12626,1567,000,13300000
148,A325020,KODEX 배당가치,20210119,12280,12524,12251,12524,18827,000,13300000
149,A325020,KODEX 배당가치,20210118,12261,12343,12095,12202,20906,000,13300000
150,A325020,KODEX 배당가치,20210115,12695,12792,12402,12461,7698,000,13300000
151,A325020,KODEX 배당가치,20210114,12587,12690,12587,12690,26537,000,13300000
152,A325020,KODEX 배당가치,20210113,12504,12646,12490,12617,35519,000,13300000
153,A325020,KODEX 배당가치,20210112,12456,12548,12217,12495,37129,000,13300000
154,A325020,KODEX 배당가치,20210111,12661,12797,12295,12500,15663,000,13300000
155,A325020,KODEX 배당가치,20210108,12402,12568,12368,12568,159027,000,13300000
156,A325020,KODEX 배당가치,20210107,12085,12368,12070,12295,91394,000,13300000
157,A325020,KODEX 배당가치,20210106,11958,12046,11865,11924,62265,000,13300000
158,A325020,KODEX 배당가치,20210105,11704,11948,11660,11948,64500,000,13300000
159,A325020,KODEX 배당가치,20210104,11660,11763,11568,11753,13029,000,14000000
160,A325020,KODEX 배당가치,20201230,11495,11665,11470,11665,55620,000,14000000
161,A325020,KODEX 배당가치,20201229,11568,11602,11426,11524,711092,000,14000000
162,A325020,KODEX 배당가치,20201228,11421,11470,11377,11441,38285,000,14100000
163,A325020,KODEX 배당가치,20201224,11192,11377,11192,11377,11222,000,14100000
164,A325020,KODEX 배당가치,20201223,11070,11177,11002,11168,40122,000,14100000
165,A325020,KODEX 배당가치,20201222,11177,11192,11060,11070,1426,000,14100000
166,A325020,KODEX 배당가치,20201221,11182,11216,11060,11216,6463,000,15000000
167,A325020,KODEX 배당가치,20201218,11158,11182,11138,11158,1734,000,15000000
168,A325020,KODEX 배당가치,20201217,11231,11231,11055,11168,939025,000,15000000
169,A325020,KODEX 배당가치,20201216,11255,11255,11153,11231,3322,000,15000000
170,A325020,KODEX 배당가치,20201215,11236,11236,11080,11182,29544,000,15000000
171,A325020,KODEX 배당가치,20201214,11255,11270,11192,11236,17350,000,15000000
172,A325020,KODEX 배당가치,20201211,11212,11319,11212,11309,6480,000,15000000
173,A325020,KODEX 배당가치,20201210,11060,11212,11046,11168,14352,000,15000000
174,A325020,KODEX 배당가치,20201209,11012,11182,11012,11173,12425,000,15100000
175,A325020,KODEX 배당가치,20201208,11080,11080,10948,10968,27131,000,15100000
176,A325020,KODEX 배당가치,20201207,11133,11138,10958,11109,125918,000,15100000
177,A325020,KODEX 배당가치,20201204,11026,11177,11026,11148,7113,000,15100000
178,A325020,KODEX 배당가치,20201203,10894,11021,10855,11021,21203,000,15100000
179,A325020,KODEX 배당가치,20201202,10792,10909,10787,10909,22303,000,15100000
180,A325020,KODEX 배당가치,20201201,10675,10772,10660,10758,19793,000,15200000
181,A325020,KODEX 배당가치,20201130,10802,10850,10548,10548,9317,000,15200000
182,A325020,KODEX 배당가치,20201127,10782,10811,10738,10802,12323,000,15200000
183,A325020,KODEX 배당가치,20201126,10729,10797,10655,10797,49152,000,15200000
184,A325020,KODEX 배당가치,20201125,10816,10880,10650,10763,24343,000,15200000
185,A325020,KODEX 배당가치,20201124,10807,10807,10714,10782,11753,000,16500000
186,A325020,KODEX 배당가치,20201123,10499,10743,10499,10743,4438,000,16500000
187,A325020,KODEX 배당가치,20201120,10519,10548,10475,10509,1356843,000,16500000
188,A325020,KODEX 배당가치,20201119,10509,10553,10450,10553,5844,000,16500000
189,A325020,KODEX 배당가치,20201118,10582,10602,10494,10572,41916,000,16500000
190,A325020,KODEX 배당가치,20201117,10611,10670,10538,10592,169974,000,16500000
191,A325020,KODEX 배당가치,20201116,10441,10602,10441,10602,22342,000,16500000
192,A325020,KODEX 배당가치,20201113,10328,10387,10299,10387,3809,000,16500000
193,A325020,KODEX 배당가치,20201112,10446,10446,10304,10382,114298,000,15900000
194,A325020,KODEX 배당가치,20201111,10245,10465,10245,10450,67171,000,15900000
195,A325020,KODEX 배당가치,20201110,10167,10226,10099,10226,673048,000,15900000
196,A325020,KODEX 배당가치,20201109,10002,10084,9982,10055,88969,000,15900000
197,A325020,KODEX 배당가치,20201106,9972,9972,9845,9909,79775,000,15900000
198,A325020,KODEX 배당가치,20201105,9762,9943,9762,9943,4380,000,15700000
199,A325020,KODEX 배당가치,20201104,9831,9836,9689,9719,44396,000,15700000
200,A325020,KODEX 배당가치,20201103,9680,9792,9680,9782,89962,000,15700000
201,A325020,KODEX 배당가치,20201102,9440,9650,9440,9645,90445,000,16300000
202,A325020,KODEX 배당가치,20201030,9650,9650,9440,9445,16813,000,16300000
203,A325020,KODEX 배당가치,20201029,9709,9743,9626,9709,642337,000,16300000
204,A325020,KODEX 배당가치,20201028,9758,9880,9758,9880,26892,000,16200000
205,A325020,KODEX 배당가치,20201027,9802,9880,9797,9826,2194,000,16200000
206,A325020,KODEX 배당가치,20201026,9909,9938,9865,9889,43761,000,16200000
207,A325020,KODEX 배당가치,20201023,9870,9943,9816,9938,100878,000,16200000
208,A325020,KODEX 배당가치,20201022,9665,9811,9665,9806,36335,000,16200000
209,A325020,KODEX 배당가치,20201021,9728,9782,9728,9782,12402,000,16100000
210,A325020,KODEX 배당가치,20201020,9519,9762,9519,9762,6492,000,16100000
211,A325020,KODEX 배당가치,20201019,9626,9738,9626,9675,89819,000,16100000
212,A325020,KODEX 배당가치,20201016,9709,9709,9553,9626,93060,000,16100000
213,A325020,KODEX 배당가치,20201015,9689,9699,9626,9699,9714,000,16100000
214,A325020,KODEX 배당가치,20201014,9816,9816,9670,9728,95103,000,15800000
215,A325020,KODEX 배당가치,20201013,9870,9870,9758,9841,1304,000,15800000
216,A325020,KODEX 배당가치,20201012,9762,9836,9762,9836,306576,000,15700000
217,A325020,KODEX 배당가치,20201008,9816,9821,9748,9806,699,000,15800000
218,A325020,KODEX 배당가치,20201007,9606,9777,9592,9777,73506,000,15800000
219,A325020,KODEX 배당가치,20201006,9728,9753,9626,9694,153680,000,15800000
220,A325020,KODEX 배당가치,20201005,9484,9728,9484,9728,1661,000,15800000
221,A325020,KODEX 배당가치,20200929,9489,9504,9450,9484,26947,000,15800000
222,A325020,KODEX 배당가치,20200928,9299,9416,9299,9392,75393,000,15700000
223,A325020,KODEX 배당가치,20200925,9226,9289,9216,9250,617,000,15500000
224,A325020,KODEX 배당가치,20200924,9304,9304,9192,9226,24069,000,15500000
225,A325020,KODEX 배당가치,20200923,9465,9484,9328,9455,190864,000,15500000
226,A325020,KODEX 배당가치,20200922,9567,9567,9392,9465,3313,000,15500000
227,A325020,KODEX 배당가치,20200921,9714,9836,9621,9689,25176,000,15500000
228,A325020,KODEX 배당가치,20200918,9777,9777,9670,9714,436,000,15500000
229,A325020,KODEX 배당가치,20200917,9802,9802,9684,9758,738,000,15500000
230,A325020,KODEX 배당가치,20200916,9772,9797,9753,9792,8336,000,15500000
231,A325020,KODEX 배당가치,20200915,9733,9772,9694,9772,8893,000,15500000
232,A325020,KODEX 배당가치,20200914,9640,9753,9640,9753,7657,000,15500000
233,A325020,KODEX 배당가치,20200911,9455,9558,9455,9558,467,000,15500000
234,A325020,KODEX 배당가치,20200910,9553,9553,9479,9514,6601,000,15500000
235,A325020,KODEX 배당가치,20200909,9440,9494,9421,9460,26747,000,15500000
236,A325020,KODEX 배당가치,20200908,9582,9582,9470,9528,26625,000,15500000
237,A325020,KODEX 배당가치,20200907,9372,9494,9372,9494,411,000,15500000
238,A325020,KODEX 배당가치,20200904,9289,9397,9289,9397,2322,000,15500000
239,A325020,KODEX 배당가치,20200903,9475,9533,9460,9509,640,000,15500000
240,A325020,KODEX 배당가치,20200902,9489,9489,9367,9460,820,000,15500000
241,A325020,KODEX 배당가치,20200901,9377,9450,9377,9450,440,000,15500000
242,A325020,KODEX 배당가치,20200831,9470,9528,9318,9318,1506,000,15500000
243,A325020,KODEX 배당가치,20200828,9338,9479,9338,9416,2270,000,15500000
244,A325020,KODEX 배당가치,20200827,9358,9362,9284,9299,1484,000,15500000
245,A325020,KODEX 배당가치,20200826,9465,9475,9338,9465,64788,000,15500000
246,A325020,KODEX 배당가치,20200825,9411,9528,9411,9523,1354,000,15500000
247,A325020,KODEX 배당가치,20200824,9153,9304,9118,9304,2699,000,15500000
248,A325020,KODEX 배당가치,20200821,9167,9309,9162,9240,1282,000,15500000
249,A325020,KODEX 배당가치,20200820,9416,9455,9065,9118,5628,000,15500000
250,A325020,KODEX 배당가치,20200819,9440,9558,9440,9533,6790,000,15200000
251,A325020,KODEX 배당가치,20200818,9733,9748,9401,9455,23285,000,15400000
252,A325020,KODEX 배당가치,20200814,9923,9923,9660,9797,181364,000,15400000
253,A325020,KODEX 배당가치,20200813,9972,9972,9811,9928,551081,000,15100000
254,A325020,KODEX 배당가치,20200812,9816,9909,9694,9909,2385,000,15100000
255,A325020,KODEX 배당가치,20200811,9680,9875,9680,9870,406183,000,15100000
256,A325020,KODEX 배당가치,20200810,9392,9650,9392,9636,10806,000,15200000
257,A325020,KODEX 배당가치,20200807,9338,9362,9240,9343,2298,000,15200000
258,A325020,KODEX 배당가치,20200806,9133,9314,9133,9304,167863,000,15000000
259,A325020,KODEX 배당가치,20200805,9031,9089,8953,9089,3166,000,15000000
260,A325020,KODEX 배당가치,20200804,8879,8977,8879,8977,171114,000,15000000
261,A325020,KODEX 배당가치,20200803,8904,8909,8826,8850,3567,000,15000000
262,A325020,KODEX 배당가치,20200731,9021,9075,8904,8928,1629,000,15000000
263,A325020,KODEX 배당가치,20200730,9065,9114,9006,9050,7876,000,15100000
264,A325020,KODEX 배당가치,20200729,8914,9026,8884,9026,10881,000,15100000
265,A325020,KODEX 배당가치,20200728,8874,8948,8850,8938,13822,000,15100000
266,A325020,KODEX 배당가치,20200727,8733,8860,8733,8826,3083,000,15300000
