,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A256750,KODEX 심천ChiNext(합성),20210823,14090,14120,14010,14085,7269,000,4800000
1,A256750,KODEX 심천ChiNext(합성),20210820,14445,14495,13920,14090,37265,000,4800000
2,A256750,KODEX 심천ChiNext(합성),20210819,14305,14495,14200,14480,53909,000,4800000
3,A256750,KODEX 심천ChiNext(합성),20210818,14340,14465,14230,14400,28863,000,4800000
4,A256750,KODEX 심천ChiNext(합성),20210817,14750,14750,14365,14480,26674,000,4800000
5,A256750,KODEX 심천ChiNext(합성),20210813,14865,15100,14555,14835,46544,000,4800000
6,A256750,KODEX 심천ChiNext(합성),20210812,14935,14935,14780,14865,21559,000,4800000
7,A256750,KODEX 심천ChiNext(합성),20210811,14855,15000,14855,14955,27097,000,4800000
8,A256750,KODEX 심천ChiNext(합성),20210810,14885,14985,14750,14840,19956,000,4800000
9,A256750,KODEX 심천ChiNext(합성),20210809,15080,15080,14700,14900,36904,000,4800000
10,A256750,KODEX 심천ChiNext(합성),20210806,15165,15310,14915,15020,44169,000,4800000
11,A256750,KODEX 심천ChiNext(합성),20210805,15365,15365,15085,15165,44295,000,4800000
12,A256750,KODEX 심천ChiNext(합성),20210804,15160,15295,14950,15280,75461,000,4800000
13,A256750,KODEX 심천ChiNext(합성),20210803,15110,15170,14970,15150,51983,000,4800000
14,A256750,KODEX 심천ChiNext(합성),20210802,14790,15120,14770,15115,61285,000,4800000
15,A256750,KODEX 심천ChiNext(합성),20210730,14850,15100,14775,14850,61900,000,4800000
16,A256750,KODEX 심천ChiNext(합성),20210729,14540,15020,14485,15020,105660,000,4800000
17,A256750,KODEX 심천ChiNext(합성),20210728,14255,14360,13915,14230,152876,000,4800000
18,A256750,KODEX 심천ChiNext(합성),20210727,14825,14940,14565,14570,80353,000,4800000
19,A256750,KODEX 심천ChiNext(합성),20210726,15250,15265,14300,14825,134918,000,4800000
20,A256750,KODEX 심천ChiNext(합성),20210723,15320,15480,15210,15250,36397,000,4800000
21,A256750,KODEX 심천ChiNext(합성),20210722,15480,15555,15290,15300,119226,000,4800000
