,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A130730,KOSEF 단기자금,20210823,101195,101195,101180,101190,376835,000,528000
1,A130730,KOSEF 단기자금,20210820,101185,101195,101185,101190,814278,000,528000
2,A130730,KOSEF 단기자금,20210819,101185,101195,101185,101185,522951,000,528000
3,A130730,KOSEF 단기자금,20210818,101180,101185,101175,101175,63654,000,528000
4,A130730,KOSEF 단기자금,20210817,101170,101180,101170,101170,75686,000,528000
5,A130730,KOSEF 단기자금,20210813,101140,101190,101140,101170,3272,000,528000
6,A130730,KOSEF 단기자금,20210812,101125,101180,101125,101170,2934,000,528000
7,A130730,KOSEF 단기자금,20210811,101160,101170,101155,101165,139497,000,528000
8,A130730,KOSEF 단기자금,20210810,101125,101165,101125,101155,1074854,000,528000
9,A130730,KOSEF 단기자금,20210809,101165,101165,101155,101155,2342,000,528000
10,A130730,KOSEF 단기자금,20210806,101155,101165,101150,101160,13239,000,528000
11,A130730,KOSEF 단기자금,20210805,101155,101170,101155,101160,25880,000,528000
12,A130730,KOSEF 단기자금,20210804,101150,101155,101145,101145,254539,000,528000
13,A130730,KOSEF 단기자금,20210803,101145,101155,101145,101145,821382,000,528000
14,A130730,KOSEF 단기자금,20210802,101140,101150,101130,101145,620247,000,528000
15,A130730,KOSEF 단기자금,20210730,101150,101150,101140,101140,46189,000,528000
16,A130730,KOSEF 단기자금,20210729,101150,101150,101135,101145,1224542,000,528000
17,A130730,KOSEF 단기자금,20210728,101145,101155,101135,101140,1486214,000,528000
18,A130730,KOSEF 단기자금,20210727,101145,101155,101130,101145,523441,000,528000
19,A130730,KOSEF 단기자금,20210726,101140,101150,101135,101140,401465,000,528000
20,A130730,KOSEF 단기자금,20210723,101135,101150,101135,101140,97177,000,528000
21,A130730,KOSEF 단기자금,20210722,101145,101145,101130,101135,1408328,000,528000
22,A130730,KOSEF 단기자금,20210721,101145,101150,101135,101135,372683,000,528000
23,A130730,KOSEF 단기자금,20210720,101115,101125,101115,101125,33679,000,528000
24,A130730,KOSEF 단기자금,20210719,101085,101120,101085,101115,3500,000,528000
