,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A138230,KOSEF 미국달러선물,20210823,12355,12380,12345,12350,5775,000,2620000
1,A138230,KOSEF 미국달러선물,20210820,12380,12420,12320,12415,23385,000,2620000
2,A138230,KOSEF 미국달러선물,20210819,12325,12380,12320,12380,41769,000,2610000
3,A138230,KOSEF 미국달러선물,20210818,12400,12405,12280,12290,34113,000,2610000
4,A138230,KOSEF 미국달러선물,20210817,12280,12395,12275,12380,27170,000,2610000
5,A138230,KOSEF 미국달러선물,20210813,12215,12300,12215,12285,43295,000,2610000
6,A138230,KOSEF 미국달러선물,20210812,12155,12220,12140,12210,23173,000,2610000
7,A138230,KOSEF 미국달러선물,20210811,12130,12160,12125,12160,19081,000,2610000
8,A138230,KOSEF 미국달러선물,20210810,12075,12110,12065,12100,6734,000,2610000
9,A138230,KOSEF 미국달러선물,20210809,12055,12075,12020,12045,6914,000,2610000
10,A138230,KOSEF 미국달러선물,20210806,12045,12045,11995,12025,8636,000,2610000
11,A138230,KOSEF 미국달러선물,20210805,12035,12065,12000,12030,7314,000,2610000
12,A138230,KOSEF 미국달러선물,20210804,12100,12100,12020,12020,10357,000,2610000
13,A138230,KOSEF 미국달러선물,20210803,12125,12135,12075,12090,7398,000,2600000
14,A138230,KOSEF 미국달러선물,20210802,12125,12145,12085,12110,16159,000,2600000
15,A138230,KOSEF 미국달러선물,20210730,12050,12110,12035,12110,7151,000,2600000
16,A138230,KOSEF 미국달러선물,20210729,12115,12120,12045,12070,17139,000,2600000
17,A138230,KOSEF 미국달러선물,20210728,12135,12175,12135,12160,8530,000,2600000
18,A138230,KOSEF 미국달러선물,20210727,12120,12135,12095,12105,7959,000,2600000
19,A138230,KOSEF 미국달러선물,20210726,12125,12150,12120,12150,7148,000,2600000
20,A138230,KOSEF 미국달러선물,20210723,12110,12110,12075,12100,11048,000,2600000
21,A138230,KOSEF 미국달러선물,20210722,12115,12130,12085,12100,10879,000,2600000
22,A138230,KOSEF 미국달러선물,20210721,12095,12140,12080,12130,10029,000,2600000
23,A138230,KOSEF 미국달러선물,20210720,12115,12125,12085,12115,11742,000,2600000
24,A138230,KOSEF 미국달러선물,20210719,12015,12080,12015,12080,4339,000,2600000
25,A138230,KOSEF 미국달러선물,20210716,12030,12045,11985,12005,6586,000,2600000
26,A138230,KOSEF 미국달러선물,20210715,12040,12085,11990,12020,23265,000,2600000
27,A138230,KOSEF 미국달러선물,20210714,12105,12125,12090,12095,12774,000,2600000
28,A138230,KOSEF 미국달러선물,20210713,12080,12080,12035,12060,12069,000,2600000
29,A138230,KOSEF 미국달러선물,20210712,12060,12080,12035,12080,11708,000,2590000
30,A138230,KOSEF 미국달러선물,20210709,12085,12100,12055,12090,27808,000,2590000
31,A138230,KOSEF 미국달러선물,20210708,12000,12055,11985,12040,16176,000,2590000
32,A138230,KOSEF 미국달러선물,20210707,11945,11995,11945,11985,9492,000,2590000
33,A138230,KOSEF 미국달러선물,20210706,11915,11925,11895,11900,5321,000,2590000
34,A138230,KOSEF 미국달러선물,20210705,11915,11915,11880,11915,11241,000,2590000
35,A138230,KOSEF 미국달러선물,20210702,11935,11955,11930,11945,6925,000,2590000
36,A138230,KOSEF 미국달러선물,20210701,11880,11935,11875,11930,55716,000,2590000
37,A138230,KOSEF 미국달러선물,20210630,11890,11910,11850,11865,14087,000,2590000
38,A138230,KOSEF 미국달러선물,20210629,11885,11910,11880,11885,8192,000,2590000
39,A138230,KOSEF 미국달러선물,20210628,11875,11910,11865,11900,5956,000,2590000
40,A138230,KOSEF 미국달러선물,20210625,11930,11930,11865,11865,8554,000,2590000
41,A138230,KOSEF 미국달러선물,20210624,11965,11980,11935,11955,6736,000,2590000
42,A138230,KOSEF 미국달러선물,20210623,11915,11980,11910,11965,21938,000,2590000
43,A138230,KOSEF 미국달러선물,20210622,11920,11930,11900,11925,7731,000,2590000
44,A138230,KOSEF 미국달러선물,20210621,11935,11985,11920,11950,15687,000,2590000
45,A138230,KOSEF 미국달러선물,20210618,11910,11920,11890,11905,17609,000,2590000
46,A138230,KOSEF 미국달러선물,20210617,11895,11905,11865,11900,18077,000,2590000
47,A138230,KOSEF 미국달러선물,20210616,11765,11785,11760,11765,8609,000,2590000
48,A138230,KOSEF 미국달러선물,20210615,11770,11775,11760,11765,6511,000,2590000
49,A138230,KOSEF 미국달러선물,20210614,11735,11770,11735,11760,15077,000,2590000
50,A138230,KOSEF 미국달러선물,20210611,11725,11725,11685,11700,34153,000,2590000
