,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A040610,SG&G,20210823,2440,2510,2415,2490,46900,275,34087000
1,A040610,SG&G,20210820,2555,2610,2430,2450,288283,275,34087000
2,A040610,SG&G,20210819,2650,2750,2555,2565,277997,275,34087000
3,A040610,SG&G,20210818,2505,2755,2500,2700,188439,275,34087000
4,A040610,SG&G,20210817,2685,2685,2545,2560,279354,275,34087000
5,A040610,SG&G,20210813,2755,2755,2585,2710,259097,275,34087000
6,A040610,SG&G,20210812,2800,2830,2710,2740,106790,275,34087000
7,A040610,SG&G,20210811,2890,2890,2780,2795,78565,275,34087000
8,A040610,SG&G,20210810,2910,2925,2810,2820,110112,275,34087000
9,A040610,SG&G,20210809,2925,2935,2850,2910,138852,275,34087000
10,A040610,SG&G,20210806,2900,2965,2880,2925,129995,275,34087000
11,A040610,SG&G,20210805,2850,2920,2820,2920,94412,275,34087000
12,A040610,SG&G,20210804,2735,2865,2735,2850,113506,275,34087000
13,A040610,SG&G,20210803,2830,2860,2720,2740,187629,275,34087000
14,A040610,SG&G,20210802,2850,2860,2785,2830,181615,275,34087000
15,A040610,SG&G,20210730,2885,2910,2815,2845,179711,275,34087000
16,A040610,SG&G,20210729,2935,2970,2870,2880,239668,275,34087000
17,A040610,SG&G,20210728,2945,3035,2915,2935,286099,275,34087000
18,A040610,SG&G,20210727,2945,3050,2930,3000,257492,275,34087000
19,A040610,SG&G,20210726,3055,3070,2955,2975,307388,275,34087000
20,A040610,SG&G,20210723,3055,3080,3010,3080,138292,275,34087000
21,A040610,SG&G,20210722,3000,3060,3000,3050,133179,275,34087000
22,A040610,SG&G,20210721,3075,3110,2975,3000,327260,275,34087000
23,A040610,SG&G,20210720,3110,3110,3045,3065,277805,275,34087000
24,A040610,SG&G,20210719,3300,3300,3110,3135,399308,275,34087000
25,A040610,SG&G,20210716,3155,3290,3100,3255,643376,275,34087000
26,A040610,SG&G,20210715,3065,3185,3065,3155,355197,275,34087000
27,A040610,SG&G,20210714,3125,3145,3050,3060,451713,275,34087000
28,A040610,SG&G,20210713,3180,3235,3120,3150,422369,275,34087000
29,A040610,SG&G,20210712,3070,3175,3055,3140,341845,275,34087000
30,A040610,SG&G,20210709,3100,3130,3005,3075,506045,275,34087000
31,A040610,SG&G,20210708,3220,3250,3070,3130,792910,275,34087000
32,A040610,SG&G,20210707,3275,3285,3220,3235,466255,275,34087000
33,A040610,SG&G,20210706,3340,3395,3275,3275,724674,275,34087000
34,A040610,SG&G,20210705,3500,3505,3315,3345,1753673,275,34087000
35,A040610,SG&G,20210702,3365,3770,3330,3525,6472814,275,34087000
36,A040610,SG&G,20210701,3450,3450,3320,3380,821982,275,34087000
37,A040610,SG&G,20210630,3405,3550,3365,3420,3494647,275,34087000
38,A040610,SG&G,20210629,3150,3730,3150,3400,13354918,275,34087000
39,A040610,SG&G,20210628,3215,3280,3060,3180,1282629,275,34087000
40,A040610,SG&G,20210625,3400,3475,3235,3240,3426067,275,34087000
41,A040610,SG&G,20210624,3185,3940,3075,3345,25620634,275,34087000
42,A040610,SG&G,20210623,3305,3310,3145,3165,1161620,275,34087000
43,A040610,SG&G,20210622,3200,3305,3125,3305,1771903,275,34087000
44,A040610,SG&G,20210621,3100,3230,3045,3185,2938366,275,34087000
45,A040610,SG&G,20210618,3085,3115,3020,3105,524106,275,34087000
46,A040610,SG&G,20210617,3035,3135,2985,3085,992951,275,34087000
47,A040610,SG&G,20210616,3005,3065,2985,3030,795412,275,34087000
48,A040610,SG&G,20210615,2870,2990,2870,2960,308646,275,34087000
49,A040610,SG&G,20210614,2915,2955,2880,2880,151480,275,34087000
50,A040610,SG&G,20210611,2970,2975,2895,2910,245586,275,34087000
51,A040610,SG&G,20210610,2905,2970,2880,2940,249611,275,34087000
52,A040610,SG&G,20210609,2855,2935,2845,2905,206814,275,34087000
53,A040610,SG&G,20210608,2900,2900,2840,2850,162910,275,34087000
54,A040610,SG&G,20210607,2950,2975,2855,2900,689015,275,34087000
55,A040610,SG&G,20210604,2975,2980,2870,2950,273972,275,34087000
56,A040610,SG&G,20210603,2995,2995,2950,2975,276985,275,34087000
57,A040610,SG&G,20210602,2955,2995,2910,2995,470668,275,34087000
58,A040610,SG&G,20210601,2875,2960,2855,2955,283480,275,34087000
59,A040610,SG&G,20210531,2820,2910,2810,2870,228967,275,34087000
60,A040610,SG&G,20210528,2830,2875,2810,2820,122948,275,34087000
61,A040610,SG&G,20210527,2920,2950,2815,2845,354090,275,34087000
62,A040610,SG&G,20210526,2880,2920,2875,2900,198328,275,34087000
63,A040610,SG&G,20210525,2780,2910,2775,2880,262722,275,34087000
64,A040610,SG&G,20210524,2880,2895,2800,2800,226655,275,34087000
65,A040610,SG&G,20210521,2905,2945,2820,2910,419816,275,34087000
66,A040610,SG&G,20210520,2815,2920,2770,2880,429543,275,34087000
67,A040610,SG&G,20210518,2785,2825,2755,2795,157465,275,34087000
68,A040610,SG&G,20210517,2750,2800,2740,2780,265236,275,34087000
69,A040610,SG&G,20210514,2655,2800,2655,2740,336988,275,34087000
70,A040610,SG&G,20210513,2605,2720,2595,2650,176655,275,34087000
71,A040610,SG&G,20210512,2750,2785,2635,2650,230037,275,34087000
72,A040610,SG&G,20210511,2735,2770,2730,2755,117203,275,34087000
73,A040610,SG&G,20210510,2820,2845,2720,2745,360478,275,34087000
74,A040610,SG&G,20210507,2730,2835,2700,2815,219844,275,34087000
75,A040610,SG&G,20210506,2650,2745,2640,2730,170739,275,34087000
76,A040610,SG&G,20210504,2670,2730,2545,2650,339484,275,34087000
77,A040610,SG&G,20210503,2710,2730,2655,2670,190986,275,34087000
78,A040610,SG&G,20210430,2785,2840,2635,2700,390738,275,34087000
79,A040610,SG&G,20210429,2875,2885,2760,2775,360255,275,34087000
80,A040610,SG&G,20210428,2835,2900,2835,2875,314718,275,34087000
81,A040610,SG&G,20210427,2840,2915,2830,2830,362797,275,34087000
82,A040610,SG&G,20210426,2850,2885,2800,2835,254898,275,34087000
83,A040610,SG&G,20210423,2935,2935,2835,2850,397874,275,34087000
84,A040610,SG&G,20210422,2980,3005,2920,2930,567512,275,34087000
85,A040610,SG&G,20210421,2890,3010,2855,2975,1077250,275,34087000
86,A040610,SG&G,20210420,2810,2875,2770,2845,358698,275,34087000
87,A040610,SG&G,20210419,2950,2995,2805,2810,786500,275,34087000
88,A040610,SG&G,20210416,2915,2965,2835,2950,517698,275,34087000
89,A040610,SG&G,20210415,3000,3020,2880,2900,680492,275,34087000
90,A040610,SG&G,20210414,3040,3070,2975,3030,588483,275,34087000
91,A040610,SG&G,20210413,3050,3195,3015,3040,1581860,275,34087000
92,A040610,SG&G,20210412,3060,3180,3030,3085,2242164,275,34087000
93,A040610,SG&G,20210409,3070,3135,3030,3030,1376417,275,34087000
94,A040610,SG&G,20210408,2965,3175,2870,3105,3564956,275,34087000
95,A040610,SG&G,20210407,3020,3120,2980,2980,1117846,275,34087000
96,A040610,SG&G,20210406,3105,3105,2980,3005,969078,275,34087000
97,A040610,SG&G,20210405,3105,3190,3020,3105,3655536,275,34087000
98,A040610,SG&G,20210402,2830,3300,2825,3145,23306670,275,34087000
99,A040610,SG&G,20210401,2900,2905,2805,2820,1012701,275,34087000
100,A040610,SG&G,20210331,2755,3020,2745,2880,6546297,275,34087000
101,A040610,SG&G,20210330,2755,2815,2720,2750,1139768,275,34087000
102,A040610,SG&G,20210329,2800,2830,2660,2755,1323816,275,34087000
103,A040610,SG&G,20210326,2600,2800,2565,2740,2377951,275,34087000
104,A040610,SG&G,20210325,2500,2605,2500,2565,415997,275,34087000
105,A040610,SG&G,20210324,2415,2550,2400,2515,453968,275,34087000
106,A040610,SG&G,20210323,2650,2660,2405,2415,1146402,275,34087000
107,A040610,SG&G,20210322,2605,2670,2590,2645,495062,275,34087000
108,A040610,SG&G,20210319,2570,2670,2555,2600,405374,275,34087000
109,A040610,SG&G,20210318,2570,2635,2555,2605,399811,275,34087000
110,A040610,SG&G,20210317,2520,2595,2480,2570,389043,275,34087000
111,A040610,SG&G,20210316,2520,2575,2490,2495,354146,275,34087000
112,A040610,SG&G,20210315,2505,2550,2460,2490,250981,275,34087000
113,A040610,SG&G,20210312,2425,2545,2395,2515,565868,275,34087000
114,A040610,SG&G,20210311,2415,2435,2250,2425,417102,275,34087000
115,A040610,SG&G,20210310,2385,2490,2355,2365,489726,275,34087000
116,A040610,SG&G,20210309,2385,2525,2345,2370,1061472,275,34087000
117,A040610,SG&G,20210308,2450,2525,2380,2390,596459,275,34087000
118,A040610,SG&G,20210305,2555,2815,2450,2465,5738834,275,34087000
119,A040610,SG&G,20210304,2520,2750,2445,2630,6462339,275,34087000
120,A040610,SG&G,20210303,2485,2550,2450,2545,387417,275,34087000
121,A040610,SG&G,20210302,2500,2535,2400,2450,391255,275,34087000
122,A040610,SG&G,20210226,2440,2455,2360,2450,354594,275,34087000
123,A040610,SG&G,20210225,2450,2570,2395,2515,517749,275,34087000
124,A040610,SG&G,20210224,2545,2590,2375,2405,936679,275,34087000
125,A040610,SG&G,20210223,2635,2660,2510,2545,518462,275,34087000
126,A040610,SG&G,20210222,2760,2760,2645,2660,433774,275,34087000
127,A040610,SG&G,20210219,2700,2810,2665,2760,746066,275,34087000
128,A040610,SG&G,20210218,2845,2860,2660,2725,968852,275,34087000
129,A040610,SG&G,20210217,2690,2925,2620,2890,2014794,275,34087000
130,A040610,SG&G,20210216,2785,2830,2660,2675,589112,275,34087000
131,A040610,SG&G,20210215,2720,2810,2695,2795,697831,275,34087000
132,A040610,SG&G,20210210,2660,2760,2625,2705,535361,275,34087000
133,A040610,SG&G,20210209,2590,2750,2565,2660,589974,275,34087000
134,A040610,SG&G,20210208,2825,2825,2565,2565,738097,275,34087000
135,A040610,SG&G,20210205,2725,2835,2690,2820,614997,275,34087000
136,A040610,SG&G,20210204,2940,3015,2650,2750,2292702,275,34087000
137,A040610,SG&G,20210203,3005,3010,2820,2895,1040699,275,34087000
138,A040610,SG&G,20210202,2780,3030,2740,3030,1448001,275,34087000
139,A040610,SG&G,20210201,2700,2960,2700,2770,1165852,275,34087000
140,A040610,SG&G,20210129,2780,2830,2570,2700,1284062,275,34087000
141,A040610,SG&G,20210128,2900,2920,2650,2775,896837,275,34087000
142,A040610,SG&G,20210127,2790,3065,2780,2970,1884218,275,34087000
143,A040610,SG&G,20210126,2900,2980,2765,2805,1324162,275,34087000
144,A040610,SG&G,20210125,2890,2940,2855,2880,1016522,275,34087000
145,A040610,SG&G,20210122,3020,3125,2865,2915,1707062,275,34087000
146,A040610,SG&G,20210121,3060,3260,2950,2955,4623092,275,34087000
147,A040610,SG&G,20210120,2955,3145,2900,3060,1623023,275,34087000
148,A040610,SG&G,20210119,3180,3205,3050,3060,2381191,275,34087000
149,A040610,SG&G,20210118,2915,3430,2750,3280,13948663,275,34087000
150,A040610,SG&G,20210115,2850,3345,2790,2910,12457627,275,34087000
151,A040610,SG&G,20210114,3270,3270,2640,2790,3855617,275,34087000
152,A040610,SG&G,20210113,2310,2975,2310,2975,2959448,275,34087000
153,A040610,SG&G,20210112,2315,2375,2265,2290,1076762,275,34087000
154,A040610,SG&G,20210111,2325,2640,2165,2370,10175660,275,34087000
155,A040610,SG&G,20210108,2110,2690,2050,2350,34540304,275,34087000
156,A040610,SG&G,20210107,1665,2160,1635,2160,20228675,275,34087000
157,A040610,SG&G,20210106,1590,1665,1580,1665,505419,275,34087000
158,A040610,SG&G,20210105,1575,1590,1560,1590,209960,275,34087000
159,A040610,SG&G,20210104,1595,1595,1565,1575,151031,275,34087000
160,A040610,SG&G,20201230,1535,1575,1530,1565,234397,275,34087000
161,A040610,SG&G,20201229,1515,1560,1500,1515,116080,275,34087000
162,A040610,SG&G,20201228,1560,1590,1495,1510,200256,275,34087000
163,A040610,SG&G,20201224,1540,1580,1520,1565,205661,275,34087000
164,A040610,SG&G,20201223,1530,1555,1510,1530,142346,275,34087000
165,A040610,SG&G,20201222,1580,1590,1530,1530,219925,275,34087000
166,A040610,SG&G,20201221,1590,1590,1560,1580,126338,275,34087000
167,A040610,SG&G,20201218,1585,1600,1565,1590,120224,275,34087000
168,A040610,SG&G,20201217,1605,1615,1560,1570,263229,275,34087000
169,A040610,SG&G,20201216,1590,1605,1575,1605,180853,275,34087000
