,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210823,5825,5870,5825,5850,209,000,900000
1,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210820,5920,5920,5770,5785,294,000,900000
2,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210819,5885,5900,5770,5895,3250,000,900000
3,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210818,5865,5885,5785,5850,2595,000,900000
4,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210817,6005,6005,5885,5885,2894,000,900000
5,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210813,5950,6000,5950,6000,3719,000,900000
6,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210812,5930,5965,5930,5950,2372,000,900000
7,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210811,5935,5945,5910,5920,1698,000,900000
8,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210810,5905,5950,5850,5935,611,000,900000
9,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210809,5820,5875,5810,5850,2363,000,900000
10,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210806,5855,5855,5805,5820,1454,000,900000
11,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210805,5895,5895,5850,5850,160,000,900000
12,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210804,5810,5840,5730,5800,978,000,900000
13,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210803,5750,5810,5750,5810,1071,000,900000
14,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210802,5700,5750,5700,5750,2296,000,900000
15,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210730,5635,5700,5635,5680,462,000,900000
16,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210729,5650,5700,5615,5700,8690,000,900000
17,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210728,5695,5695,5550,5615,7633,000,900000
18,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210727,5775,5845,5775,5800,661,000,900000
19,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210726,5895,5905,5750,5755,280,000,900000
20,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210723,5900,5920,5850,5895,3877,000,900000
21,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210722,5885,5900,5850,5850,3155,000,900000
22,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210721,5850,5850,5795,5825,2160,000,900000
23,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210720,5770,5770,5730,5760,1740,000,900000
24,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210719,5870,5870,5765,5770,3382,000,900000
25,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210716,5865,5890,5850,5890,1785,000,900000
26,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210715,5800,5820,5780,5815,3768,000,900000
27,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210714,5810,5815,5770,5770,4773,000,900000
28,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210713,5785,5800,5750,5790,5024,000,900000
29,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210712,5730,5790,5720,5785,6528,000,900000
30,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210709,5625,5705,5620,5705,2724,000,900000
31,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210708,5660,5670,5640,5670,976,000,900000
32,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210707,5660,5660,5590,5660,914,000,900000
33,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210706,5660,5660,5615,5615,616,000,900000
34,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210705,5640,5660,5640,5660,641,000,900000
35,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210702,5710,5710,5640,5640,306,000,900000
36,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210701,5730,5730,5645,5690,5319,000,900000
37,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210630,5690,5690,5680,5685,486,000,900000
38,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210629,5695,5735,5660,5660,471,000,900000
39,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210628,5685,5690,5670,5670,1698,000,900000
40,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210625,5610,5655,5610,5655,2671,000,900000
41,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210624,5695,5695,5360,5610,17649,000,900000
42,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210623,5645,5700,5645,5700,239,000,900000
43,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210622,5715,5715,5625,5625,3918,000,900000
44,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210621,5550,5685,5540,5680,1805,000,900000
45,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210618,5605,5605,5605,5605,29,000,900000
46,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210617,5580,5600,5545,5560,750,000,900000
47,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210616,5675,5675,5600,5600,1173,000,900000
48,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210615,5745,5745,5670,5675,2334,000,900000
49,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210614,5720,5720,5710,5710,733,000,900000
50,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210611,5715,5750,5715,5720,1423,000,900000
51,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210610,5650,5705,5650,5705,472,000,900000
52,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210609,5640,5660,5640,5650,223,000,900000
53,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210608,5685,5715,5660,5670,367,000,900000
54,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210607,5655,5685,5655,5685,121,000,900000
55,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210604,5700,5700,5650,5685,1445,000,900000
56,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210603,5640,5705,5640,5705,1548,000,900000
57,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210602,5750,5755,5665,5665,2128,000,900000
58,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210601,5680,5745,5680,5710,1169,000,900000
59,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210531,5620,5680,5620,5670,3405,000,900000
60,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210528,5665,5700,5660,5665,3028,000,900000
61,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210527,5640,5640,5565,5615,2344,000,900000
62,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210526,5535,5550,5505,5550,11989,000,900000
63,A220130,SMART 중국본토 중소형 CSI500(합성 H),20210525,5505,5540,5505,5540,5875,000,900000
