,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A011810,STX,20210823,4920,4975,4760,4975,100222,016,26868000
1,A011810,STX,20210820,5100,5150,4830,4840,603683,016,26868000
2,A011810,STX,20210819,5210,5300,5020,5100,512094,016,20068000
3,A011810,STX,20210818,5460,5490,5100,5260,1537406,016,20068000
4,A011810,STX,20210817,6730,6730,6300,6400,96629,016,20068000
5,A011810,STX,20210813,6850,6850,6500,6730,52054,016,20068000
6,A011810,STX,20210812,6750,6810,6650,6700,24169,016,20068000
7,A011810,STX,20210811,6650,6870,6640,6650,51402,016,20068000
8,A011810,STX,20210810,6860,6860,6660,6710,54079,016,20068000
9,A011810,STX,20210809,7090,7090,6810,6820,77117,016,20068000
10,A011810,STX,20210806,7150,7150,6940,7080,92502,016,20068000
11,A011810,STX,20210805,7290,7290,7100,7150,41028,016,20068000
12,A011810,STX,20210804,6820,7450,6780,7220,149708,016,20068000
13,A011810,STX,20210803,6740,6890,6650,6820,56221,016,20068000
14,A011810,STX,20210802,7080,7120,6650,6740,119648,016,20068000
15,A011810,STX,20210730,7050,7280,6990,7060,78451,016,20068000
16,A011810,STX,20210729,7090,7090,6960,7000,77350,016,20068000
17,A011810,STX,20210728,7210,7250,6980,7040,114417,016,20068000
18,A011810,STX,20210727,7430,7470,7200,7210,99887,016,20068000
19,A011810,STX,20210726,7510,7700,7390,7420,41723,016,20068000
20,A011810,STX,20210723,7760,7760,7440,7500,65524,016,20068000
21,A011810,STX,20210722,7480,7740,7440,7660,121667,016,20068000
22,A011810,STX,20210721,7490,7570,7380,7440,64318,016,20068000
23,A011810,STX,20210720,7530,7530,7300,7370,82187,016,20068000
24,A011810,STX,20210719,7630,7790,7520,7530,85360,016,20068000
25,A011810,STX,20210716,8050,8070,7500,7740,175133,016,20068000
26,A011810,STX,20210715,8130,8220,8000,8050,83680,016,20068000
27,A011810,STX,20210714,8180,8270,8090,8130,68678,016,20068000
28,A011810,STX,20210713,8420,8420,8180,8210,65014,016,20068000
29,A011810,STX,20210712,8200,8490,8120,8260,130343,016,20068000
30,A011810,STX,20210709,8070,8340,7950,8050,87167,016,20068000
31,A011810,STX,20210708,8450,8500,8090,8170,134245,016,20068000
32,A011810,STX,20210707,8600,8690,8390,8450,155354,016,20068000
33,A011810,STX,20210706,8460,9100,8370,8690,636322,016,20068000
34,A011810,STX,20210705,8590,8590,8400,8470,143155,016,20068000
35,A011810,STX,20210702,8740,8860,8550,8630,173465,016,20068000
36,A011810,STX,20210701,8870,9200,8620,8670,427666,016,20068000
37,A011810,STX,20210630,10000,10050,8770,8830,1271763,016,20068000
38,A011810,STX,20210629,8290,10650,8160,10300,2008020,016,20068000
39,A011810,STX,20210628,8390,8420,8190,8210,92168,016,20068000
40,A011810,STX,20210625,8940,9000,8230,8310,401327,016,20068000
41,A011810,STX,20210624,8083,8515,8000,8460,308607,016,20068000
42,A011810,STX,20210623,8129,8129,7927,8019,59571,016,20068000
43,A011810,STX,20210622,8129,8156,8000,8046,44201,016,20068000
44,A011810,STX,20210621,7963,8046,7853,7927,60976,016,20068000
45,A011810,STX,20210618,8184,8184,7936,7963,96923,016,20068000
46,A011810,STX,20210617,8230,8248,8092,8129,80023,016,20068000
47,A011810,STX,20210616,8156,8303,8147,8248,78421,016,20068000
48,A011810,STX,20210615,8358,8634,8129,8211,154496,016,20068000
49,A011810,STX,20210614,8478,8478,8276,8285,52302,016,20068000
50,A011810,STX,20210611,8368,8441,8239,8285,58310,016,20068000
51,A011810,STX,20210610,8175,8515,8156,8368,87780,016,20068000
52,A011810,STX,20210609,9001,9001,8110,8239,370779,016,20068000
53,A011810,STX,20210608,9093,9167,8854,8974,270224,016,20068000
54,A011810,STX,20210607,8772,9130,8597,9093,311539,016,20068000
55,A011810,STX,20210604,8579,8753,8515,8680,142521,016,20068000
56,A011810,STX,20210603,8515,8606,8322,8579,128459,016,20068000
57,A011810,STX,20210602,8561,8689,8469,8515,120425,016,20068000
58,A011810,STX,20210601,8441,8652,8340,8579,198725,016,20068000
59,A011810,STX,20210531,8423,8928,8331,8423,342766,016,20068000
60,A011810,STX,20210528,8505,8652,8294,8395,259240,016,20068000
61,A011810,STX,20210527,8294,9920,8120,8505,1519443,016,20068000
62,A011810,STX,20210526,8055,9874,8009,8285,1359469,016,20068000
63,A011810,STX,20210525,8432,8432,7945,8055,157879,016,20068000
64,A011810,STX,20210524,8358,8414,7532,7807,382018,016,20068000
65,A011810,STX,20210521,9231,9231,8781,8910,123813,016,19726000
66,A011810,STX,20210520,9507,9507,9185,9185,73221,016,19726000
