,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A084870,TBH±Û·Î¹ú,20210823,2630,2665,2510,2575,59434,006,20856000
1,A084870,TBH±Û·Î¹ú,20210820,2690,2810,2470,2630,224966,006,20856000
2,A084870,TBH±Û·Î¹ú,20210819,2935,2970,2730,2750,303409,006,20856000
3,A084870,TBH±Û·Î¹ú,20210818,2835,2960,2760,2925,516910,006,20856000
4,A084870,TBH±Û·Î¹ú,20210817,2750,2890,2730,2840,476209,006,20856000
5,A084870,TBH±Û·Î¹ú,20210813,2630,2890,2625,2750,387823,006,20856000
6,A084870,TBH±Û·Î¹ú,20210812,2645,2750,2615,2630,56365,006,20856000
7,A084870,TBH±Û·Î¹ú,20210811,2730,2760,2610,2645,118616,006,20856000
8,A084870,TBH±Û·Î¹ú,20210810,2710,2790,2710,2730,65034,006,20856000
9,A084870,TBH±Û·Î¹ú,20210809,2695,2760,2670,2700,59037,006,20856000
10,A084870,TBH±Û·Î¹ú,20210806,2600,2775,2600,2670,164718,006,20856000
11,A084870,TBH±Û·Î¹ú,20210805,2495,2615,2495,2600,38659,006,20856000
12,A084870,TBH±Û·Î¹ú,20210804,2430,2505,2430,2485,50019,006,20856000
13,A084870,TBH±Û·Î¹ú,20210803,2545,2570,2370,2430,140143,006,20856000
14,A084870,TBH±Û·Î¹ú,20210802,2625,2625,2520,2545,49567,006,20856000
15,A084870,TBH±Û·Î¹ú,20210730,2660,2710,2635,2640,56190,006,20856000
16,A084870,TBH±Û·Î¹ú,20210729,2495,2760,2495,2650,274027,006,20856000
17,A084870,TBH±Û·Î¹ú,20210728,2610,2615,2490,2495,80440,006,20856000
18,A084870,TBH±Û·Î¹ú,20210727,2495,2625,2475,2610,81068,006,20856000
19,A084870,TBH±Û·Î¹ú,20210726,2655,2665,2515,2515,92981,006,20856000
20,A084870,TBH±Û·Î¹ú,20210723,2625,2710,2595,2650,69078,006,20856000
21,A084870,TBH±Û·Î¹ú,20210722,2710,2740,2550,2625,128401,006,20856000
22,A084870,TBH±Û·Î¹ú,20210721,2805,2895,2715,2745,105650,006,20856000
23,A084870,TBH±Û·Î¹ú,20210720,2790,2835,2710,2810,174282,006,20856000
24,A084870,TBH±Û·Î¹ú,20210719,3030,3035,2710,2790,512298,006,20856000
25,A084870,TBH±Û·Î¹ú,20210716,2885,3060,2840,3035,432578,006,20856000
26,A084870,TBH±Û·Î¹ú,20210715,2785,2910,2775,2885,130649,006,20856000
27,A084870,TBH±Û·Î¹ú,20210714,2795,2825,2755,2785,48515,006,20856000
28,A084870,TBH±Û·Î¹ú,20210713,2720,2820,2705,2795,50362,006,20856000
