,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A341850,TIGER KIS부동산인프라채권TR,20210823,5620,5670,5620,5665,718,000,6600000
1,A341850,TIGER KIS부동산인프라채권TR,20210820,5625,5665,5625,5650,68859,000,6600000
2,A341850,TIGER KIS부동산인프라채권TR,20210819,5680,5680,5650,5655,85795,000,6550000
3,A341850,TIGER KIS부동산인프라채권TR,20210818,5640,5685,5605,5675,24046,000,6550000
4,A341850,TIGER KIS부동산인프라채권TR,20210817,5675,5685,5640,5640,49684,000,6450000
5,A341850,TIGER KIS부동산인프라채권TR,20210813,5695,5695,5645,5690,10730,000,6400000
6,A341850,TIGER KIS부동산인프라채권TR,20210812,5685,5700,5670,5690,82403,000,6350000
7,A341850,TIGER KIS부동산인프라채권TR,20210811,5680,5695,5665,5695,39329,000,6350000
8,A341850,TIGER KIS부동산인프라채권TR,20210810,5675,5705,5665,5690,47161,000,6350000
9,A341850,TIGER KIS부동산인프라채권TR,20210809,5690,5695,5675,5695,73396,000,6350000
10,A341850,TIGER KIS부동산인프라채권TR,20210806,5700,5700,5670,5685,110391,000,6450000
11,A341850,TIGER KIS부동산인프라채권TR,20210805,5665,5695,5665,5685,11880,000,6450000
12,A341850,TIGER KIS부동산인프라채권TR,20210804,5660,5690,5640,5650,108508,000,6450000
13,A341850,TIGER KIS부동산인프라채권TR,20210803,5670,5690,5660,5670,10975,000,6450000
14,A341850,TIGER KIS부동산인프라채권TR,20210802,5660,5700,5660,5700,8612,000,6450000
15,A341850,TIGER KIS부동산인프라채권TR,20210730,5680,5700,5670,5675,5614,000,6450000
16,A341850,TIGER KIS부동산인프라채권TR,20210729,5705,5720,5680,5680,2659,000,6450000
17,A341850,TIGER KIS부동산인프라채권TR,20210728,5724,5724,5680,5695,1908,000,6450000
18,A341850,TIGER KIS부동산인프라채권TR,20210727,5699,5699,5685,5695,1001,000,6450000
19,A341850,TIGER KIS부동산인프라채권TR,20210726,5739,5739,5680,5699,2617,000,6450000
20,A341850,TIGER KIS부동산인프라채권TR,20210723,5739,5739,5709,5719,3203,000,6450000
21,A341850,TIGER KIS부동산인프라채권TR,20210722,5709,5739,5695,5734,2411,000,6450000
22,A341850,TIGER KIS부동산인프라채권TR,20210721,5714,5744,5699,5714,5881,000,6450000
23,A341850,TIGER KIS부동산인프라채권TR,20210720,5699,5739,5699,5724,1967,000,6450000
24,A341850,TIGER KIS부동산인프라채권TR,20210719,5724,5749,5724,5724,1695,000,6450000
25,A341850,TIGER KIS부동산인프라채권TR,20210716,5709,5749,5704,5749,3099,000,6450000
26,A341850,TIGER KIS부동산인프라채권TR,20210715,5724,5734,5695,5699,4619,000,6450000
27,A341850,TIGER KIS부동산인프라채권TR,20210714,5739,5764,5699,5724,8088,000,6450000
28,A341850,TIGER KIS부동산인프라채권TR,20210713,5749,5774,5749,5774,10696,000,6450000
29,A341850,TIGER KIS부동산인프라채권TR,20210712,5744,5789,5744,5764,2559,000,6450000
30,A341850,TIGER KIS부동산인프라채권TR,20210709,5734,5769,5724,5769,3672,000,6450000
31,A341850,TIGER KIS부동산인프라채권TR,20210708,5754,5794,5754,5769,7025,000,6450000
32,A341850,TIGER KIS부동산인프라채권TR,20210707,5769,5774,5734,5764,6714,000,6450000
33,A341850,TIGER KIS부동산인프라채권TR,20210706,5779,5779,5754,5769,11451,000,6450000
34,A341850,TIGER KIS부동산인프라채권TR,20210705,5789,5789,5764,5779,10825,000,6800000
35,A341850,TIGER KIS부동산인프라채권TR,20210702,5729,5769,5729,5764,4631,000,6800000
36,A341850,TIGER KIS부동산인프라채권TR,20210701,5744,5764,5709,5729,354541,000,6800000
37,A341850,TIGER KIS부동산인프라채권TR,20210630,5754,5784,5754,5754,3022,000,6800000
38,A341850,TIGER KIS부동산인프라채권TR,20210629,5764,5789,5749,5764,11479,000,6800000
39,A341850,TIGER KIS부동산인프라채권TR,20210628,5729,5759,5709,5739,11552,000,6800000
40,A341850,TIGER KIS부동산인프라채권TR,20210625,5724,5754,5724,5739,50793,000,6800000
41,A341850,TIGER KIS부동산인프라채권TR,20210624,5699,5744,5699,5729,3703,000,6800000
42,A341850,TIGER KIS부동산인프라채권TR,20210623,5699,5744,5699,5729,13684,000,6800000
43,A341850,TIGER KIS부동산인프라채권TR,20210622,5690,5749,5690,5744,14688,000,6900000
44,A341850,TIGER KIS부동산인프라채권TR,20210621,5744,5744,5685,5729,6906,000,6600000
45,A341850,TIGER KIS부동산인프라채권TR,20210618,5729,5942,5729,5749,88935,000,6600000
46,A341850,TIGER KIS부동산인프라채권TR,20210617,5734,5769,5734,5754,6352,000,6550000
47,A341850,TIGER KIS부동산인프라채권TR,20210616,5754,5759,5734,5749,5697,000,6550000
48,A341850,TIGER KIS부동산인프라채권TR,20210615,5754,5754,5690,5754,157159,000,6550000
49,A341850,TIGER KIS부동산인프라채권TR,20210614,5749,5774,5744,5754,9686,000,6550000
50,A341850,TIGER KIS부동산인프라채권TR,20210611,5784,5789,5749,5769,5013,000,5750000
