,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210823,11120,11125,10780,10860,12056,000,1660000
1,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210820,11425,11445,11120,11120,20778,000,1660000
2,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210819,11580,11580,11285,11290,18276,000,1660000
3,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210818,11435,11635,11435,11590,12866,000,1660000
4,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210817,11555,11635,11415,11460,14700,000,1660000
5,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210813,11650,11670,11455,11555,11067,000,1640000
6,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210812,11680,11735,11615,11615,6878,000,1640000
7,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210811,11680,11695,11585,11640,16397,000,1640000
8,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210810,11705,11715,11600,11655,8877,000,1640000
9,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210809,11705,11730,11645,11705,11921,000,1620000
10,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210806,11830,11830,11680,11705,16458,000,1640000
11,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210805,11845,11875,11800,11830,8721,000,1660000
12,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210804,11800,11880,11660,11855,27795,000,1640000
13,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210803,11740,11765,11665,11740,27088,000,1640000
14,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210802,11730,11765,11575,11740,13310,000,1640000
15,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210730,11990,11990,11710,11710,15200,000,1640000
16,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210729,11995,11995,11890,11930,11806,000,1640000
17,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210728,11775,11960,11775,11890,10846,000,1620000
18,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210727,11785,11900,11785,11825,7095,000,1620000
19,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210726,12040,12040,11780,11785,29033,000,1620000
20,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210723,12030,12030,11920,11950,9375,000,1620000
21,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210722,11860,12000,11860,11945,15503,000,1620000
22,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210721,12005,12005,11840,11860,8828,000,1620000
23,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210720,11640,11885,11640,11870,10717,000,1740000
24,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210719,11985,11985,11845,11870,12131,000,1740000
25,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210716,11980,12000,11905,11980,129123,000,1740000
26,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210715,12140,12140,11985,12015,20088,000,1740000
27,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210714,12045,12075,11955,12065,12099,000,1740000
28,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210713,12040,12060,12000,12050,11629,000,1720000
29,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210712,11875,12000,11875,11975,13882,000,1720000
30,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210709,11930,12040,11765,11875,30020,000,1720000
31,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210708,12300,12300,12030,12060,21774,000,1720000
32,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210707,12465,12465,12200,12225,31158,000,1720000
33,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210706,12350,12430,12330,12350,25719,000,1720000
34,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210705,12380,12380,12275,12330,14436,000,1720000
35,A138530,TIGER LG±×·ì+ÆÝ´õ¸àÅÐ,20210702,12270,12310,12220,12235,33330,000,1720000
