,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A114820,TIGER 국채3년,20210823,111990,111990,110695,110765,151,000,600000
1,A114820,TIGER 국채3년,20210820,110875,110885,110780,110815,703,000,600000
2,A114820,TIGER 국채3년,20210819,110815,110885,110775,110875,1131,000,600000
3,A114820,TIGER 국채3년,20210818,110700,110850,110665,110785,13486,000,600000
4,A114820,TIGER 국채3년,20210817,110640,110720,110630,110715,1833,000,600000
5,A114820,TIGER 국채3년,20210813,110650,110690,110590,110620,1128,000,600000
6,A114820,TIGER 국채3년,20210812,110685,110685,110555,110665,1063,000,600000
7,A114820,TIGER 국채3년,20210811,110610,110695,110605,110690,1122,000,600000
8,A114820,TIGER 국채3년,20210810,110655,110655,110545,110590,1404,000,600000
9,A114820,TIGER 국채3년,20210809,110545,110595,110490,110535,1453,000,600000
10,A114820,TIGER 국채3년,20210806,110600,110630,110535,110600,31163,000,600000
11,A114820,TIGER 국채3년,20210805,110660,110720,110610,110640,1912,000,600000
12,A114820,TIGER 국채3년,20210804,110605,110680,110590,110650,1219,000,600000
13,A114820,TIGER 국채3년,20210803,110610,110645,110555,110605,2346,000,600000
14,A114820,TIGER 국채3년,20210802,110585,110670,110585,110610,1481,000,600000
15,A114820,TIGER 국채3년,20210730,110600,110650,110530,110585,3069,000,600000
16,A114820,TIGER 국채3년,20210729,110520,110570,110460,110560,345,000,600000
17,A114820,TIGER 국채3년,20210728,110660,110700,110520,110530,1582,000,600000
18,A114820,TIGER 국채3년,20210727,110605,110715,110605,110695,1498,000,600000
19,A114820,TIGER 국채3년,20210726,110610,110695,110605,110695,1600,000,600000
20,A114820,TIGER 국채3년,20210723,110625,110625,110540,110610,273,000,600000
21,A114820,TIGER 국채3년,20210722,110525,110580,110495,110565,1755,000,600000
22,A114820,TIGER 국채3년,20210721,110475,110570,110475,110555,406,000,600000
23,A114820,TIGER 국채3년,20210720,110435,110585,110435,110570,229,000,600000
24,A114820,TIGER 국채3년,20210719,110300,110400,110300,110390,826,000,600000
25,A114820,TIGER 국채3년,20210716,110255,110410,110205,110345,300,000,600000
26,A114820,TIGER 국채3년,20210715,110585,110620,110145,110145,27871,000,600000
27,A114820,TIGER 국채3년,20210714,110475,110595,110470,110585,495,000,600000
28,A114820,TIGER 국채3년,20210713,110585,110585,110445,110495,836,000,600000
29,A114820,TIGER 국채3년,20210712,110505,110635,110505,110625,423,000,600000
30,A114820,TIGER 국채3년,20210709,110570,110625,110495,110615,969,000,600000
31,A114820,TIGER 국채3년,20210708,110475,110675,110475,110635,401,000,600000
32,A114820,TIGER 국채3년,20210707,110400,110470,110350,110470,399,000,600000
33,A114820,TIGER 국채3년,20210706,110330,110330,110255,110285,3326,000,600000
34,A114820,TIGER 국채3년,20210705,110290,110330,110200,110330,1127,000,600000
35,A114820,TIGER 국채3년,20210702,110220,110250,110150,110205,1139,000,600000
36,A114820,TIGER 국채3년,20210701,110260,110335,110185,110265,469,000,600000
37,A114820,TIGER 국채3년,20210630,110210,110310,110180,110260,11353,000,600000
38,A114820,TIGER 국채3년,20210629,110160,110240,110110,110230,2176,000,600000
39,A114820,TIGER 국채3년,20210628,110255,110265,110090,110155,546,000,600000
40,A114820,TIGER 국채3년,20210625,110345,110345,110235,110255,841,000,600000
41,A114820,TIGER 국채3년,20210624,110500,110525,110330,110405,12714,000,600000
42,A114820,TIGER 국채3년,20210623,110595,110625,110500,110570,667,000,600000
43,A114820,TIGER 국채3년,20210622,110445,110595,110445,110575,1609,000,600000
44,A114820,TIGER 국채3년,20210621,110470,110530,110440,110470,1514,000,600000
45,A114820,TIGER 국채3년,20210618,110390,110510,110330,110430,1962,000,600000
46,A114820,TIGER 국채3년,20210617,110405,110505,110405,110435,2322,000,600000
47,A114820,TIGER 국채3년,20210616,110540,110580,110480,110550,1588,000,600000
48,A114820,TIGER 국채3년,20210615,110525,110630,110510,110570,1576,000,600000
49,A114820,TIGER 국채3년,20210614,110720,110740,110640,110740,565,000,600000
50,A114820,TIGER 국채3년,20210611,110530,110600,110510,110575,890,000,600000
51,A114820,TIGER 국채3년,20210610,110745,110820,110640,110640,35551,000,600000
52,A114820,TIGER 국채3년,20210609,110695,110845,110695,110745,9129,000,600000
53,A114820,TIGER 국채3년,20210608,110595,110705,110595,110695,1854,000,600000
54,A114820,TIGER 국채3년,20210607,110614,110614,110535,110555,5117,000,600000
55,A114820,TIGER 국채3년,20210604,110569,110579,110505,110510,805,000,600000
56,A114820,TIGER 국채3년,20210603,110564,110654,110545,110545,16990,000,600000
57,A114820,TIGER 국채3년,20210602,110530,110584,110470,110564,4257,000,600000
58,A114820,TIGER 국채3년,20210601,110525,110579,110480,110500,2710,000,600000
59,A114820,TIGER 국채3년,20210531,110619,110619,110470,110540,768,000,600000
60,A114820,TIGER 국채3년,20210528,110749,110769,110579,110699,2937,000,600000
61,A114820,TIGER 국채3년,20210527,110669,110839,110614,110839,38308,000,600000
62,A114820,TIGER 국채3년,20210526,110789,110789,110699,110699,3123,000,600000
63,A114820,TIGER 국채3년,20210525,110749,110784,110709,110734,456,000,600000
64,A114820,TIGER 국채3년,20210524,110784,110844,110744,110804,908,000,600000
65,A114820,TIGER 국채3년,20210521,110789,110849,110789,110809,354,000,600000
66,A114820,TIGER 국채3년,20210520,110734,110824,110729,110824,471,000,600000
67,A114820,TIGER 국채3년,20210518,110774,110804,110714,110804,424,000,600000
68,A114820,TIGER 국채3년,20210517,110704,110774,110699,110774,247,000,600000
69,A114820,TIGER 국채3년,20210514,110664,110749,110634,110684,376,000,600000
70,A114820,TIGER 국채3년,20210513,110639,110709,110589,110689,395,000,600000
71,A114820,TIGER 국채3년,20210512,110724,110734,110644,110724,1203,000,600000
72,A114820,TIGER 국채3년,20210511,110714,110744,110659,110724,834,000,600000
73,A114820,TIGER 국채3년,20210510,110769,110769,110654,110714,3078,000,600000
74,A114820,TIGER 국채3년,20210507,110609,110699,110604,110669,681,000,600000
75,A114820,TIGER 국채3년,20210506,110659,110684,110564,110644,263,000,600000
76,A114820,TIGER 국채3년,20210504,110569,110649,110569,110629,221,000,600000
77,A114820,TIGER 국채3년,20210503,110559,110674,110555,110619,852,000,600000
78,A114820,TIGER 국채3년,20210430,110644,110704,110569,110624,3222,000,600000
79,A114820,TIGER 국채3년,20210429,110649,110719,110634,110714,157,000,600000
80,A114820,TIGER 국채3년,20210428,110689,110769,110669,110724,142,000,570000
81,A114820,TIGER 국채3년,20210427,110674,110744,110629,110689,31908,000,570000
82,A114820,TIGER 국채3년,20210426,110699,110729,110639,110639,369,000,570000
83,A114820,TIGER 국채3년,20210423,110814,110814,110659,110749,357,000,570000
84,A114820,TIGER 국채3년,20210422,110744,110799,110724,110799,297,000,570000
85,A114820,TIGER 국채3년,20210421,110714,110769,110684,110754,284,000,570000
86,A114820,TIGER 국채3년,20210420,110719,110729,110654,110709,296,000,570000
87,A114820,TIGER 국채3년,20210419,110639,110729,110619,110719,502,000,570000
88,A114820,TIGER 국채3년,20210416,110669,110709,110619,110639,858,000,570000
89,A114820,TIGER 국채3년,20210415,110819,110819,110649,110664,704,000,570000
90,A114820,TIGER 국채3년,20210414,110684,110749,110684,110749,184,000,570000
91,A114820,TIGER 국채3년,20210413,110659,110709,110629,110629,531,000,570000
