,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210823,79570,79720,79515,79585,41501,000,13100000
1,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210820,78605,78995,78500,78850,235352,000,12900000
2,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210819,78180,78400,77870,77870,351116,000,12700000
3,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210818,79180,79180,78650,78700,374714,000,12500000
4,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210817,79140,79890,79100,79740,241543,000,12500000
5,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210813,78575,79085,78500,79050,283441,000,12400000
6,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210812,77610,78150,77605,78100,113332,000,12200000
7,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210811,77790,78065,77755,77980,240620,000,11900000
8,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210810,77710,77955,77690,77935,263060,000,11800000
9,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210809,77235,77330,77140,77260,315329,000,11400000
10,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210806,77705,77770,77560,77645,254041,000,11300000
11,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210805,77410,77585,77220,77300,281891,000,11300000
12,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210804,77490,77490,77150,77285,167878,000,11200000
13,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210803,77265,77415,77160,77170,108697,000,11200000
14,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210802,77390,77680,77365,77605,78480,000,11100000
15,A133690,TIGER ¹Ì±¹³ª½º´Ú100,20210730,76410,76570,76205,76570,143831,000,11100000
