,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A261110,TIGER 미국달러선물레버리지,20210823,10060,10080,10015,10015,1902,000,700000
1,A261110,TIGER 미국달러선물레버리지,20210820,10060,10155,9995,10135,5317,000,700000
2,A261110,TIGER 미국달러선물레버리지,20210819,9990,10090,9990,10075,2370,000,700000
3,A261110,TIGER 미국달러선물레버리지,20210818,10095,10110,9925,9945,4991,000,700000
4,A261110,TIGER 미국달러선물레버리지,20210817,9925,10100,9920,10080,3628,000,700000
5,A261110,TIGER 미국달러선물레버리지,20210813,9835,9950,9835,9940,2283,000,700000
6,A261110,TIGER 미국달러선물레버리지,20210812,9725,9830,9720,9810,680,000,700000
7,A261110,TIGER 미국달러선물레버리지,20210811,9710,9760,9705,9750,3189,000,700000
8,A261110,TIGER 미국달러선물레버리지,20210810,9620,9660,9600,9640,5163,000,700000
9,A261110,TIGER 미국달러선물레버리지,20210809,9600,9600,9555,9555,735,000,700000
10,A261110,TIGER 미국달러선물레버리지,20210806,9535,9540,9510,9510,390,000,700000
11,A261110,TIGER 미국달러선물레버리지,20210805,9565,9585,9520,9540,807,000,700000
12,A261110,TIGER 미국달러선물레버리지,20210804,9630,9630,9550,9560,1179,000,700000
13,A261110,TIGER 미국달러선물레버리지,20210803,9660,9730,9635,9635,2995,000,700000
14,A261110,TIGER 미국달러선물레버리지,20210802,9685,9725,9670,9675,2490,000,700000
15,A261110,TIGER 미국달러선물레버리지,20210730,9570,9655,9570,9640,456,000,700000
16,A261110,TIGER 미국달러선물레버리지,20210729,9675,9695,9570,9570,5962,000,700000
17,A261110,TIGER 미국달러선물레버리지,20210728,9725,9785,9725,9745,1599,000,700000
18,A261110,TIGER 미국달러선물레버리지,20210727,9720,9720,9655,9685,414,000,700000
19,A261110,TIGER 미국달러선물레버리지,20210726,9775,9775,9700,9745,1355,000,700000
20,A261110,TIGER 미국달러선물레버리지,20210723,9675,9680,9630,9665,1341,000,700000
21,A261110,TIGER 미국달러선물레버리지,20210722,9680,9700,9665,9665,435,000,700000
22,A261110,TIGER 미국달러선물레버리지,20210721,9650,9720,9630,9705,2989,000,700000
23,A261110,TIGER 미국달러선물레버리지,20210720,9675,9695,9640,9675,2778,000,700000
24,A261110,TIGER 미국달러선물레버리지,20210719,9530,9615,9530,9615,298,000,700000
25,A261110,TIGER 미국달러선물레버리지,20210716,9530,9555,9480,9495,233,000,700000
26,A261110,TIGER 미국달러선물레버리지,20210715,9575,9630,9495,9495,475,000,700000
27,A261110,TIGER 미국달러선물레버리지,20210714,9660,9700,9645,9645,734,000,700000
28,A261110,TIGER 미국달러선물레버리지,20210713,9610,9615,9560,9600,1388,000,700000
29,A261110,TIGER 미국달러선물레버리지,20210712,9595,9625,9585,9625,857,000,700000
30,A261110,TIGER 미국달러선물레버리지,20210709,9615,9655,9600,9655,4054,000,700000
31,A261110,TIGER 미국달러선물레버리지,20210708,9520,9585,9495,9555,2143,000,700000
32,A261110,TIGER 미국달러선물레버리지,20210707,9415,9500,9415,9470,1118,000,700000
33,A261110,TIGER 미국달러선물레버리지,20210706,9360,9370,9340,9340,249,000,700000
34,A261110,TIGER 미국달러선물레버리지,20210705,9340,9375,9310,9370,562,000,700000
