,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A245360,TIGER 차이나HSCEI,20210823,11095,11095,11020,11020,1841,000,5600000
1,A245360,TIGER 차이나HSCEI,20210820,11155,11175,10815,10975,60004,000,5600000
2,A245360,TIGER 차이나HSCEI,20210819,11390,11390,11135,11155,53909,000,5600000
3,A245360,TIGER 차이나HSCEI,20210818,11270,11420,11270,11370,19204,000,5600000
4,A245360,TIGER 차이나HSCEI,20210817,11600,11600,11255,11300,50303,000,5600000
5,A245360,TIGER 차이나HSCEI,20210813,11580,11720,11550,11615,63774,000,5600000
6,A245360,TIGER 차이나HSCEI,20210812,11685,11700,11620,11650,22078,000,5600000
7,A245360,TIGER 차이나HSCEI,20210811,11515,11720,11475,11685,32555,000,5600000
8,A245360,TIGER 차이나HSCEI,20210810,11370,11510,11260,11510,30175,000,5600000
9,A245360,TIGER 차이나HSCEI,20210809,11270,11400,11100,11340,24381,000,5600000
10,A245360,TIGER 차이나HSCEI,20210806,11305,11380,11140,11275,52820,000,5600000
11,A245360,TIGER 차이나HSCEI,20210805,11325,11555,11275,11280,21064,000,5400000
12,A245360,TIGER 차이나HSCEI,20210804,11460,11550,11240,11450,79607,000,5400000
13,A245360,TIGER 차이나HSCEI,20210803,11550,11570,11205,11340,46539,000,5400000
14,A245360,TIGER 차이나HSCEI,20210802,11190,11450,11175,11405,42459,000,5400000
15,A245360,TIGER 차이나HSCEI,20210730,11385,11385,11080,11190,84364,000,5400000
16,A245360,TIGER 차이나HSCEI,20210729,11390,11460,11305,11390,80670,000,5200000
17,A245360,TIGER 차이나HSCEI,20210728,11145,11290,10860,11120,137479,000,5200000
18,A245360,TIGER 차이나HSCEI,20210727,11560,12055,11065,11070,122924,000,5200000
19,A245360,TIGER 차이나HSCEI,20210726,12040,12040,11500,11585,51966,000,5200000
20,A245360,TIGER 차이나HSCEI,20210723,12360,12360,12075,12120,2133,000,5200000
21,A245360,TIGER 차이나HSCEI,20210722,12135,12230,12115,12205,14011,000,5200000
22,A245360,TIGER 차이나HSCEI,20210721,12100,12160,11935,12005,10594,000,5200000
23,A245360,TIGER 차이나HSCEI,20210720,12140,12215,12000,12045,9828,000,5200000
24,A245360,TIGER 차이나HSCEI,20210719,12335,12335,12090,12130,7717,000,5200000
25,A245360,TIGER 차이나HSCEI,20210716,12380,12380,12260,12350,3170,000,5200000
26,A245360,TIGER 차이나HSCEI,20210715,12295,12415,12245,12315,17105,000,5200000
27,A245360,TIGER 차이나HSCEI,20210714,12345,12480,12055,12295,17975,000,5200000
28,A245360,TIGER 차이나HSCEI,20210713,12195,12490,12150,12345,64837,000,5200000
