,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A385720,TIMEFOLIO Kstock액티브,20210823,10125,10150,10070,10120,1239,000,3200000
1,A385720,TIMEFOLIO Kstock액티브,20210820,10195,10200,9995,10005,15332,000,3200000
2,A385720,TIMEFOLIO Kstock액티브,20210819,10265,10300,10125,10160,74342,000,3200000
3,A385720,TIMEFOLIO Kstock액티브,20210818,10150,10360,10100,10320,38730,000,3200000
4,A385720,TIMEFOLIO Kstock액티브,20210817,10310,10310,10070,10180,50678,000,3200000
5,A385720,TIMEFOLIO Kstock액티브,20210813,10420,10420,10205,10320,60750,000,3200000
6,A385720,TIMEFOLIO Kstock액티브,20210812,10345,10430,10295,10430,43120,000,3200000
7,A385720,TIMEFOLIO Kstock액티브,20210811,10335,10400,10300,10325,42797,000,3200000
8,A385720,TIMEFOLIO Kstock액티브,20210810,10455,10455,10275,10305,18623,000,3200000
9,A385720,TIMEFOLIO Kstock액티브,20210809,10445,10535,10445,10485,38569,000,3200000
10,A385720,TIMEFOLIO Kstock액티브,20210806,10415,10480,10390,10440,37276,000,3200000
11,A385720,TIMEFOLIO Kstock액티브,20210805,10430,10505,10405,10415,69171,000,3200000
12,A385720,TIMEFOLIO Kstock액티브,20210804,10260,10415,10240,10415,23847,000,3200000
13,A385720,TIMEFOLIO Kstock액티브,20210803,10210,10250,10170,10250,14022,000,3200000
14,A385720,TIMEFOLIO Kstock액티브,20210802,10110,10165,10075,10155,25818,000,3200000
15,A385720,TIMEFOLIO Kstock액티브,20210730,10220,10220,10065,10115,34383,000,3100000
16,A385720,TIMEFOLIO Kstock액티브,20210729,10250,10260,10200,10215,4578,000,3100000
17,A385720,TIMEFOLIO Kstock액티브,20210728,10200,10235,10110,10175,9766,000,3100000
18,A385720,TIMEFOLIO Kstock액티브,20210727,10290,10320,10210,10240,28204,000,3100000
19,A385720,TIMEFOLIO Kstock액티브,20210726,10335,10355,10215,10215,3668,000,3000000
20,A385720,TIMEFOLIO Kstock액티브,20210723,10320,10325,10285,10305,31555,000,3000000
21,A385720,TIMEFOLIO Kstock액티브,20210722,10280,10325,10250,10315,35994,000,3000000
22,A385720,TIMEFOLIO Kstock액티브,20210721,10255,10300,10155,10185,4063,000,3000000
23,A385720,TIMEFOLIO Kstock액티브,20210720,10265,10340,10160,10285,13104,000,3000000
24,A385720,TIMEFOLIO Kstock액티브,20210719,10330,10380,10280,10380,60455,000,2600000
25,A385720,TIMEFOLIO Kstock액티브,20210716,10385,10400,10320,10385,3246,000,2600000
26,A385720,TIMEFOLIO Kstock액티브,20210715,10375,10420,10295,10400,13104,000,2600000
27,A385720,TIMEFOLIO Kstock액티브,20210714,10215,10320,10210,10300,12311,000,2600000
28,A385720,TIMEFOLIO Kstock액티브,20210713,10200,10255,10190,10250,4443,000,2600000
29,A385720,TIMEFOLIO Kstock액티브,20210712,10165,10165,10105,10155,5760,000,2500000
30,A385720,TIMEFOLIO Kstock액티브,20210709,10035,10075,9905,10075,35656,000,2500000
31,A385720,TIMEFOLIO Kstock액티브,20210708,10290,10290,10115,10115,32430,000,2500000
32,A385720,TIMEFOLIO Kstock액티브,20210707,10300,10300,10240,10250,42066,000,2500000
33,A385720,TIMEFOLIO Kstock액티브,20210706,10335,10360,10300,10320,28958,000,2500000
34,A385720,TIMEFOLIO Kstock액티브,20210705,10305,10320,10270,10300,48161,000,2500000
35,A385720,TIMEFOLIO Kstock액티브,20210702,10310,10310,10260,10270,6538,000,2500000
36,A385720,TIMEFOLIO Kstock액티브,20210701,10325,10325,10250,10290,4273,000,2500000
37,A385720,TIMEFOLIO Kstock액티브,20210630,10305,10345,10285,10300,13433,000,2500000
38,A385720,TIMEFOLIO Kstock액티브,20210629,10310,10310,10230,10270,19135,000,2500000
39,A385720,TIMEFOLIO Kstock액티브,20210628,10390,10390,10260,10310,20370,000,2700000
40,A385720,TIMEFOLIO Kstock액티브,20210625,10455,10455,10350,10380,16425,000,2700000
41,A385720,TIMEFOLIO Kstock액티브,20210624,10395,10430,10360,10390,20944,000,2700000
42,A385720,TIMEFOLIO Kstock액티브,20210623,10300,10355,10290,10330,63249,000,2700000
43,A385720,TIMEFOLIO Kstock액티브,20210622,10215,10250,10215,10225,14874,000,2700000
44,A385720,TIMEFOLIO Kstock액티브,20210621,10190,10255,10170,10220,78523,000,2700000
45,A385720,TIMEFOLIO Kstock액티브,20210618,10280,10315,10245,10295,54561,000,2700000
46,A385720,TIMEFOLIO Kstock액티브,20210617,10245,10275,10205,10270,15389,000,2700000
47,A385720,TIMEFOLIO Kstock액티브,20210616,10235,10270,10235,10270,13993,000,2700000
48,A385720,TIMEFOLIO Kstock액티브,20210615,10235,10240,10195,10230,12794,000,2700000
49,A385720,TIMEFOLIO Kstock액티브,20210614,10250,10250,10175,10220,15261,000,2700000
50,A385720,TIMEFOLIO Kstock액티브,20210611,10195,10240,10175,10235,35065,000,2700000
51,A385720,TIMEFOLIO Kstock액티브,20210610,10120,10165,10085,10130,88886,000,2700000
52,A385720,TIMEFOLIO Kstock액티브,20210609,10195,10195,10110,10110,45124,000,2700000
53,A385720,TIMEFOLIO Kstock액티브,20210608,10200,10225,10155,10195,5281,000,2700000
54,A385720,TIMEFOLIO Kstock액티브,20210607,10240,10240,10155,10205,11551,000,2700000
55,A385720,TIMEFOLIO Kstock액티브,20210604,10220,10220,10130,10185,24006,000,2700000
56,A385720,TIMEFOLIO Kstock액티브,20210603,10190,10265,10175,10245,20107,000,2600000
57,A385720,TIMEFOLIO Kstock액티브,20210602,10160,10205,10125,10155,38537,000,2600000
58,A385720,TIMEFOLIO Kstock액티브,20210601,10105,10140,10050,10120,39170,000,2600000
59,A385720,TIMEFOLIO Kstock액티브,20210531,10095,10095,9980,10080,22694,000,2600000
60,A385720,TIMEFOLIO Kstock액티브,20210528,9980,10060,9980,10045,143653,000,2600000
61,A385720,TIMEFOLIO Kstock액티브,20210527,9985,9985,9885,9965,185609,000,2600000
62,A385720,TIMEFOLIO Kstock액티브,20210526,9995,10020,9940,9975,289341,000,2600000
63,A385720,TIMEFOLIO Kstock액티브,20210525,9940,9975,9900,9975,830012,000,2600000
