,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A014570,고려제약,20210823,9300,9580,9290,9530,40336,266,11000000
1,A014570,고려제약,20210820,9610,9720,9150,9290,183920,266,11000000
2,A014570,고려제약,20210819,10100,10250,9580,9590,271119,266,11000000
3,A014570,고려제약,20210818,10050,10300,10000,10200,151380,266,11000000
4,A014570,고려제약,20210817,10600,10600,10100,10100,131914,266,11000000
5,A014570,고려제약,20210813,10850,10900,10450,10600,83938,266,11000000
6,A014570,고려제약,20210812,10900,11050,10750,10850,63870,266,11000000
7,A014570,고려제약,20210811,11000,11100,10900,10950,46425,266,11000000
8,A014570,고려제약,20210810,11100,11100,10950,11000,37609,266,11000000
9,A014570,고려제약,20210809,11050,11150,11000,11100,41577,266,11000000
10,A014570,고려제약,20210806,11250,11350,11000,11050,55697,266,11000000
11,A014570,고려제약,20210805,11200,11300,11100,11200,44431,266,11000000
12,A014570,고려제약,20210804,11200,11300,11150,11200,34370,266,11000000
13,A014570,고려제약,20210803,10950,11400,10900,11300,144384,266,11000000
14,A014570,고려제약,20210802,11050,11100,10850,10950,59846,266,11000000
15,A014570,고려제약,20210730,11250,11300,11000,11050,64580,266,11000000
16,A014570,고려제약,20210729,11400,11400,11200,11250,54722,266,11000000
17,A014570,고려제약,20210728,11500,11550,11300,11400,47976,266,11000000
18,A014570,고려제약,20210727,11300,11600,11250,11600,73903,266,11000000
19,A014570,고려제약,20210726,11500,11550,11300,11300,64389,266,11000000
20,A014570,고려제약,20210723,11450,11550,11400,11500,33579,266,11000000
21,A014570,고려제약,20210722,11300,11500,11300,11450,51590,266,11000000
22,A014570,고려제약,20210721,11500,11550,11250,11350,93380,266,11000000
23,A014570,고려제약,20210720,11500,11600,11300,11450,116319,266,11000000
24,A014570,고려제약,20210719,11750,11800,11600,11650,80430,266,11000000
25,A014570,고려제약,20210716,11850,11900,11700,11800,71095,266,11000000
26,A014570,고려제약,20210715,11750,11850,11700,11850,76825,266,11000000
27,A014570,고려제약,20210714,11800,11850,11650,11800,71638,266,11000000
28,A014570,고려제약,20210713,11750,11850,11650,11800,85433,266,11000000
29,A014570,고려제약,20210712,11650,11750,11550,11750,80265,266,11000000
30,A014570,고려제약,20210709,11600,11750,11300,11650,163358,266,11000000
31,A014570,고려제약,20210708,12000,12000,11550,11750,224078,266,11000000
32,A014570,고려제약,20210707,11850,12100,11700,11950,181771,266,11000000
33,A014570,고려제약,20210706,12050,12150,11700,11750,197688,266,11000000
34,A014570,고려제약,20210705,11750,12050,11650,11900,506746,266,11000000
