,辆格内靛,辆格疙,朝楼,矫啊,绊啊,历啊,辆啊,芭贰樊,刘鼻傈魂诀辆内靛,惯青林侥荐
0,A002720,惫力距前,20210823,6020,6160,6010,6150,50921,009,19276000
1,A002720,惫力距前,20210820,6490,6530,6000,6020,224384,009,19276000
2,A002720,惫力距前,20210819,6700,6840,6500,6510,107807,009,19276000
3,A002720,惫力距前,20210818,6720,6940,6550,6810,70772,009,19276000
4,A002720,惫力距前,20210817,7050,7120,6780,6820,104567,009,19276000
5,A002720,惫力距前,20210813,7300,7350,6990,7120,123306,009,19276000
6,A002720,惫力距前,20210812,7350,7470,7280,7340,66919,009,19276000
7,A002720,惫力距前,20210811,7320,7470,7220,7380,91824,009,19276000
8,A002720,惫力距前,20210810,7150,7320,7150,7310,99453,009,19276000
9,A002720,惫力距前,20210809,7370,7490,7180,7240,108558,009,19276000
10,A002720,惫力距前,20210806,7480,7480,7350,7370,82358,009,19276000
11,A002720,惫力距前,20210805,7330,7690,7330,7420,402833,009,19276000
12,A002720,惫力距前,20210804,7290,7360,7230,7320,75913,009,19276000
13,A002720,惫力距前,20210803,7000,7690,7000,7270,415691,009,19276000
14,A002720,惫力距前,20210802,7090,7100,7010,7010,46773,009,19276000
15,A002720,惫力距前,20210730,7140,7140,7060,7070,65265,009,19276000
16,A002720,惫力距前,20210729,7260,7260,7160,7160,70974,009,19276000
17,A002720,惫力距前,20210728,7290,7300,7180,7250,50076,009,19276000
18,A002720,惫力距前,20210727,7250,7330,7230,7290,47479,009,19276000
19,A002720,惫力距前,20210726,7340,7410,7220,7260,37433,009,19276000
20,A002720,惫力距前,20210723,7300,7390,7300,7330,47559,009,19276000
21,A002720,惫力距前,20210722,7350,7430,7200,7330,104825,009,19276000
22,A002720,惫力距前,20210721,7530,7570,7350,7350,99004,009,19276000
23,A002720,惫力距前,20210720,7660,7680,7500,7550,67751,009,19276000
24,A002720,惫力距前,20210719,7580,7680,7560,7660,72733,009,19276000
25,A002720,惫力距前,20210716,7690,7730,7520,7660,89438,009,19276000
26,A002720,惫力距前,20210715,7650,7710,7570,7690,107520,009,19276000
27,A002720,惫力距前,20210714,7750,7770,7630,7630,79681,009,19276000
28,A002720,惫力距前,20210713,7620,7780,7620,7720,70378,009,19276000
29,A002720,惫力距前,20210712,7640,7690,7560,7680,75705,009,19276000
30,A002720,惫力距前,20210709,7710,7760,7510,7620,136561,009,19276000
31,A002720,惫力距前,20210708,7890,7980,7680,7800,177959,009,19276000
32,A002720,惫力距前,20210707,7700,7920,7610,7850,177236,009,19276000
33,A002720,惫力距前,20210706,7900,7900,7660,7710,154960,009,19276000
34,A002720,惫力距前,20210705,7730,7930,7730,7890,156858,009,19276000
35,A002720,惫力距前,20210702,7990,7990,7790,7800,97362,009,19276000
36,A002720,惫力距前,20210701,7930,7940,7760,7900,134438,009,19276000
37,A002720,惫力距前,20210630,7920,7940,7860,7910,128626,009,19276000
38,A002720,惫力距前,20210629,7840,8030,7750,7820,270883,009,19276000
39,A002720,惫力距前,20210628,7630,7900,7630,7820,347419,009,19276000
40,A002720,惫力距前,20210625,7520,7700,7490,7630,168691,009,19276000
41,A002720,惫力距前,20210624,7600,7640,7390,7500,150076,009,19276000
42,A002720,惫力距前,20210623,7370,7650,7340,7560,326482,009,19276000
43,A002720,惫力距前,20210622,7300,7390,7270,7360,80620,009,19276000
44,A002720,惫力距前,20210621,7270,7390,7240,7270,96630,009,19276000
45,A002720,惫力距前,20210618,7290,7320,7250,7290,65466,009,19276000
46,A002720,惫力距前,20210617,7300,7350,7240,7260,72866,009,19276000
47,A002720,惫力距前,20210616,7380,7390,7270,7320,111064,009,19276000
48,A002720,惫力距前,20210615,7240,7450,7210,7380,107306,009,19276000
49,A002720,惫力距前,20210614,7310,7340,7220,7240,69854,009,19276000
50,A002720,惫力距前,20210611,7360,7380,7290,7310,78593,009,19276000
51,A002720,惫力距前,20210610,7280,7380,7150,7360,158287,009,19276000
