,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A900070,±Û·Î¹ú¿¡½º¿¥,20210823,831,840,831,836,143173,664,53743000
1,A900070,±Û·Î¹ú¿¡½º¿¥,20210820,884,888,805,836,439623,664,53743000
2,A900070,±Û·Î¹ú¿¡½º¿¥,20210819,909,923,886,886,390094,664,53743000
3,A900070,±Û·Î¹ú¿¡½º¿¥,20210818,940,942,921,938,258665,664,53743000
4,A900070,±Û·Î¹ú¿¡½º¿¥,20210817,980,999,936,948,511934,664,53743000
5,A900070,±Û·Î¹ú¿¡½º¿¥,20210813,1020,1030,981,999,283957,664,53743000
6,A900070,±Û·Î¹ú¿¡½º¿¥,20210812,1040,1050,1005,1020,225592,664,53743000
7,A900070,±Û·Î¹ú¿¡½º¿¥,20210811,1030,1065,1030,1040,156948,664,53743000
8,A900070,±Û·Î¹ú¿¡½º¿¥,20210810,1090,1090,1040,1040,249343,664,53743000
9,A900070,±Û·Î¹ú¿¡½º¿¥,20210809,1090,1105,1070,1085,161018,664,53743000
10,A900070,±Û·Î¹ú¿¡½º¿¥,20210806,1120,1140,1090,1090,173746,664,53743000
11,A900070,±Û·Î¹ú¿¡½º¿¥,20210805,1115,1125,1100,1120,93473,664,53743000
12,A900070,±Û·Î¹ú¿¡½º¿¥,20210804,1120,1120,1085,1110,92118,664,53743000
13,A900070,±Û·Î¹ú¿¡½º¿¥,20210803,1100,1125,1085,1105,225949,664,53743000
14,A900070,±Û·Î¹ú¿¡½º¿¥,20210802,1130,1130,1105,1120,107682,664,53743000
15,A900070,±Û·Î¹ú¿¡½º¿¥,20210730,1125,1135,1115,1130,103131,664,53743000
16,A900070,±Û·Î¹ú¿¡½º¿¥,20210729,1130,1145,1120,1125,117360,664,53743000
17,A900070,±Û·Î¹ú¿¡½º¿¥,20210728,1150,1170,1125,1130,258103,664,53743000
18,A900070,±Û·Î¹ú¿¡½º¿¥,20210727,1170,1180,1135,1170,185797,664,53743000
19,A900070,±Û·Î¹ú¿¡½º¿¥,20210726,1175,1185,1155,1170,179128,664,53743000
20,A900070,±Û·Î¹ú¿¡½º¿¥,20210723,1160,1190,1130,1185,308110,664,53743000
21,A900070,±Û·Î¹ú¿¡½º¿¥,20210722,1125,1160,1125,1155,147921,664,53743000
22,A900070,±Û·Î¹ú¿¡½º¿¥,20210721,1140,1155,1115,1125,143094,664,53743000
23,A900070,±Û·Î¹ú¿¡½º¿¥,20210720,1185,1185,1140,1140,347195,664,53743000
24,A900070,±Û·Î¹ú¿¡½º¿¥,20210719,1220,1220,1180,1185,255639,664,53743000
25,A900070,±Û·Î¹ú¿¡½º¿¥,20210716,1145,1195,1130,1195,343046,664,53743000
26,A900070,±Û·Î¹ú¿¡½º¿¥,20210715,1165,1175,1145,1150,223925,664,53743000
27,A900070,±Û·Î¹ú¿¡½º¿¥,20210714,1160,1175,1155,1160,132234,664,53743000
28,A900070,±Û·Î¹ú¿¡½º¿¥,20210713,1130,1170,1130,1160,211665,664,53743000
29,A900070,±Û·Î¹ú¿¡½º¿¥,20210712,1105,1140,1095,1130,241332,664,53743000
30,A900070,±Û·Î¹ú¿¡½º¿¥,20210709,1120,1135,1080,1100,661686,664,53743000
31,A900070,±Û·Î¹ú¿¡½º¿¥,20210708,1175,1180,1140,1140,443421,664,53743000
32,A900070,±Û·Î¹ú¿¡½º¿¥,20210707,1190,1200,1175,1180,232531,664,53743000
33,A900070,±Û·Î¹ú¿¡½º¿¥,20210706,1220,1220,1190,1195,257210,664,53743000
34,A900070,±Û·Î¹ú¿¡½º¿¥,20210705,1225,1235,1200,1215,287214,664,53743000
35,A900070,±Û·Î¹ú¿¡½º¿¥,20210702,1235,1240,1215,1225,199878,664,53743000
36,A900070,±Û·Î¹ú¿¡½º¿¥,20210701,1220,1230,1215,1225,294571,664,53743000
37,A900070,±Û·Î¹ú¿¡½º¿¥,20210630,1250,1250,1195,1210,516817,664,53743000
38,A900070,±Û·Î¹ú¿¡½º¿¥,20210629,1240,1250,1230,1240,185974,664,53743000
39,A900070,±Û·Î¹ú¿¡½º¿¥,20210628,1255,1260,1235,1245,251484,664,53743000
40,A900070,±Û·Î¹ú¿¡½º¿¥,20210625,1255,1260,1235,1250,365931,664,53743000
41,A900070,±Û·Î¹ú¿¡½º¿¥,20210624,1270,1270,1210,1240,684836,664,53743000
42,A900070,±Û·Î¹ú¿¡½º¿¥,20210623,1285,1285,1245,1260,889431,664,53743000
43,A900070,±Û·Î¹ú¿¡½º¿¥,20210622,1250,1270,1230,1265,890615,664,53743000
44,A900070,±Û·Î¹ú¿¡½º¿¥,20210621,1255,1255,1170,1240,707086,664,53743000
45,A900070,±Û·Î¹ú¿¡½º¿¥,20210618,1255,1260,1240,1255,383789,664,53743000
46,A900070,±Û·Î¹ú¿¡½º¿¥,20210617,1220,1250,1220,1250,476518,664,53743000
47,A900070,±Û·Î¹ú¿¡½º¿¥,20210616,1245,1250,1225,1230,333744,664,53743000
48,A900070,±Û·Î¹ú¿¡½º¿¥,20210615,1210,1240,1205,1215,300678,664,53743000
49,A900070,±Û·Î¹ú¿¡½º¿¥,20210614,1220,1220,1185,1210,244125,664,53743000
50,A900070,±Û·Î¹ú¿¡½º¿¥,20210611,1195,1210,1185,1205,275189,664,53743000
51,A900070,±Û·Î¹ú¿¡½º¿¥,20210610,1200,1205,1185,1195,272811,664,53743000
