,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A117580,대성에너지,20210823,6030,6230,6030,6230,10261,017,27500000
1,A117580,대성에너지,20210820,6270,6310,6100,6110,57735,017,27500000
2,A117580,대성에너지,20210819,6270,6360,6220,6230,98838,017,27500000
3,A117580,대성에너지,20210818,6160,6320,6010,6240,38217,017,27500000
4,A117580,대성에너지,20210817,6310,6420,6190,6190,45951,017,27500000
5,A117580,대성에너지,20210813,6490,6500,6260,6350,36544,017,27500000
6,A117580,대성에너지,20210812,6370,6510,6370,6490,74635,017,27500000
7,A117580,대성에너지,20210811,6440,6440,6300,6340,54668,017,27500000
8,A117580,대성에너지,20210810,6330,6550,6330,6440,114797,017,27500000
9,A117580,대성에너지,20210809,6450,6490,6290,6320,55483,017,27500000
10,A117580,대성에너지,20210806,6510,6530,6400,6450,31826,017,27500000
11,A117580,대성에너지,20210805,6350,6540,6340,6510,47696,017,27500000
12,A117580,대성에너지,20210804,6340,6460,6290,6330,39524,017,27500000
13,A117580,대성에너지,20210803,6290,6400,6290,6390,19194,017,27500000
14,A117580,대성에너지,20210802,6390,6400,6250,6330,57844,017,27500000
15,A117580,대성에너지,20210730,6460,6470,6320,6390,30324,017,27500000
16,A117580,대성에너지,20210729,6440,6530,6380,6450,43238,017,27500000
17,A117580,대성에너지,20210728,6320,6500,6260,6440,89215,017,27500000
18,A117580,대성에너지,20210727,6410,6440,6300,6340,68824,017,27500000
19,A117580,대성에너지,20210726,6510,6580,6350,6470,104205,017,27500000
20,A117580,대성에너지,20210723,6450,6570,6390,6540,44471,017,27500000
21,A117580,대성에너지,20210722,6400,6530,6380,6380,38595,017,27500000
22,A117580,대성에너지,20210721,6580,6590,6390,6400,65954,017,27500000
23,A117580,대성에너지,20210720,6620,6680,6500,6530,92281,017,27500000
24,A117580,대성에너지,20210719,6840,6840,6720,6720,72182,017,27500000
25,A117580,대성에너지,20210716,6710,6820,6710,6820,46737,017,27500000
