,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A027830,대성창투,20210823,3400,3505,3370,3495,315092,231,40000000
1,A027830,대성창투,20210820,3620,3690,3350,3370,1024447,231,40000000
2,A027830,대성창투,20210819,3740,3870,3600,3610,761727,231,40000000
3,A027830,대성창투,20210818,3565,3830,3525,3750,1158843,231,40000000
4,A027830,대성창투,20210817,3850,3905,3650,3660,838790,231,40000000
5,A027830,대성창투,20210813,4010,4030,3790,3905,940124,231,40000000
6,A027830,대성창투,20210812,4020,4085,4000,4000,753151,231,40000000
7,A027830,대성창투,20210811,4025,4115,4000,4025,853607,231,40000000
8,A027830,대성창투,20210810,4110,4205,4055,4070,1230587,231,40000000
9,A027830,대성창투,20210809,4195,4315,4145,4145,1920505,231,40000000
10,A027830,대성창투,20210806,4380,4385,4220,4240,2195272,231,40000000
11,A027830,대성창투,20210805,4805,5090,4435,4435,22625519,231,40000000
12,A027830,대성창투,20210804,4035,4330,3900,4330,2379251,231,40000000
13,A027830,대성창투,20210803,4350,4350,4060,4070,2299710,231,40000000
14,A027830,대성창투,20210802,4485,4605,4365,4370,1213044,231,40000000
15,A027830,대성창투,20210730,4810,4810,4515,4515,2624998,231,40000000
16,A027830,대성창투,20210729,4710,4885,4600,4885,2659387,231,40000000
17,A027830,대성창투,20210728,4820,4895,4650,4690,4258319,231,40000000
18,A027830,대성창투,20210727,4810,5200,4625,5040,9936385,231,40000000
19,A027830,대성창투,20210726,4755,4895,4705,4780,8635149,231,40000000
20,A027830,대성창투,20210723,4275,4625,4275,4585,4347117,231,40000000
21,A027830,대성창투,20210722,4390,4390,4270,4275,504110,231,40000000
22,A027830,대성창투,20210721,4360,4450,4320,4330,709399,231,40000000
23,A027830,대성창투,20210720,4210,4460,4205,4315,995491,231,40000000
24,A027830,대성창투,20210719,4435,4475,4310,4310,785414,231,40000000
25,A027830,대성창투,20210716,4660,4660,4475,4510,1653430,231,40000000
26,A027830,대성창투,20210715,4590,4670,4425,4615,3393041,231,40000000
27,A027830,대성창투,20210714,4445,4650,4445,4515,1531920,231,40000000
28,A027830,대성창투,20210713,4285,4555,4280,4505,2638303,231,40000000
29,A027830,대성창투,20210712,4355,4635,4270,4355,3343962,231,40000000
30,A027830,대성창투,20210709,4360,4400,4185,4200,1878151,231,40000000
31,A027830,대성창투,20210708,4515,4910,4445,4445,21107965,231,40000000
32,A027830,대성창투,20210707,4395,4420,4275,4275,1166487,231,40000000
33,A027830,대성창투,20210706,4395,4470,4390,4390,520245,231,40000000
