,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A003547,대신증권2우B,20210823,15900,16100,15900,16050,17392,024,10000000
1,A003547,대신증권2우B,20210820,15950,16000,15800,15900,31865,024,10000000
2,A003547,대신증권2우B,20210819,16000,16250,15900,15900,49135,024,10000000
3,A003547,대신증권2우B,20210818,16150,16250,15800,16150,50635,024,10000000
4,A003547,대신증권2우B,20210817,16400,16600,16100,16150,43623,024,10000000
5,A003547,대신증권2우B,20210813,16300,16300,15900,16100,34863,024,10000000
6,A003547,대신증권2우B,20210812,16250,16350,16000,16250,29985,024,10000000
7,A003547,대신증권2우B,20210811,15950,16400,15800,16150,62964,024,10000000
8,A003547,대신증권2우B,20210810,16000,16050,15800,15850,11553,024,10000000
9,A003547,대신증권2우B,20210809,16100,16100,15800,15900,15126,024,10000000
10,A003547,대신증권2우B,20210806,16050,16200,15950,16000,17075,024,10000000
11,A003547,대신증권2우B,20210805,16050,16050,15850,15950,13121,024,10000000
12,A003547,대신증권2우B,20210804,15450,16000,15450,15850,26222,024,10000000
13,A003547,대신증권2우B,20210803,15700,15700,15500,15550,12390,024,10000000
14,A003547,대신증권2우B,20210802,15750,15900,15350,15550,61128,024,10000000
15,A003547,대신증권2우B,20210730,16100,16100,15700,15850,43633,024,10000000
16,A003547,대신증권2우B,20210729,16050,16150,16000,16100,7802,024,10000000
17,A003547,대신증권2우B,20210728,16150,16250,16000,16050,43224,024,10000000
18,A003547,대신증권2우B,20210727,16200,16250,16150,16200,15113,024,10000000
19,A003547,대신증권2우B,20210726,16250,16300,16150,16200,24274,024,10000000
20,A003547,대신증권2우B,20210723,16250,16250,16150,16200,12458,024,10000000
21,A003547,대신증권2우B,20210722,16250,16250,16150,16200,7710,024,10000000
22,A003547,대신증권2우B,20210721,16300,16300,16050,16200,10495,024,10000000
23,A003547,대신증권2우B,20210720,16050,16150,16000,16150,13710,024,10000000
24,A003547,대신증권2우B,20210719,16200,16250,16150,16200,12161,024,10000000
25,A003547,대신증권2우B,20210716,16150,16300,16150,16250,10496,024,10000000
26,A003547,대신증권2우B,20210715,16350,16500,16150,16300,38806,024,10000000
27,A003547,대신증권2우B,20210714,16450,16500,16300,16350,8871,024,10000000
28,A003547,대신증권2우B,20210713,16500,16550,16400,16450,13344,024,10000000
29,A003547,대신증권2우B,20210712,16400,16500,16300,16450,25300,024,10000000
30,A003547,대신증권2우B,20210709,16400,16500,16200,16400,31462,024,10000000
31,A003547,대신증권2우B,20210708,16600,16750,16450,16600,25685,024,10000000
32,A003547,대신증권2우B,20210707,16750,16750,16600,16700,17987,024,10000000
33,A003547,대신증권2우B,20210706,16800,16800,16600,16700,13130,024,10000000
34,A003547,대신증권2우B,20210705,16800,16800,16600,16700,17228,024,10000000
35,A003547,대신증권2우B,20210702,16850,16850,16650,16700,16600,024,10000000
36,A003547,대신증권2우B,20210701,17050,17050,16600,16850,27317,024,10000000
37,A003547,대신증권2우B,20210630,16950,17000,16900,17000,6019,024,10000000
38,A003547,대신증권2우B,20210629,17200,17200,16850,17000,20900,024,10000000
39,A003547,대신증권2우B,20210628,16700,17350,16550,17200,67369,024,10000000
40,A003547,대신증권2우B,20210625,16800,16800,16600,16650,8781,024,10000000
41,A003547,대신증권2우B,20210624,16600,16650,16450,16650,17154,024,10000000
42,A003547,대신증권2우B,20210623,16400,16600,16300,16550,37817,024,10000000
43,A003547,대신증권2우B,20210622,16250,16400,16200,16350,21120,024,10000000
44,A003547,대신증권2우B,20210621,16550,16650,16150,16300,61757,024,10000000
45,A003547,대신증권2우B,20210618,16700,16700,16550,16550,16396,024,10000000
46,A003547,대신증권2우B,20210617,16700,16800,16600,16700,12763,024,10000000
