,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A069620,´ë¿õÁ¦¾à,20210823,159500,166000,159500,165000,28915,009,11586000
1,A069620,´ë¿õÁ¦¾à,20210820,161000,165000,158500,159500,112606,009,11586000
2,A069620,´ë¿õÁ¦¾à,20210819,169500,171000,164000,165000,95083,009,11586000
3,A069620,´ë¿õÁ¦¾à,20210818,170500,173000,166500,172000,67207,009,11586000
4,A069620,´ë¿õÁ¦¾à,20210817,176000,176000,170500,171000,88688,009,11586000
5,A069620,´ë¿õÁ¦¾à,20210813,177000,180000,173000,174000,91121,009,11586000
6,A069620,´ë¿õÁ¦¾à,20210812,175000,178500,173500,176500,94861,009,11586000
7,A069620,´ë¿õÁ¦¾à,20210811,175500,176500,170500,172000,87282,009,11586000
8,A069620,´ë¿õÁ¦¾à,20210810,173500,181500,173000,176500,136848,009,11586000
9,A069620,´ë¿õÁ¦¾à,20210809,186000,186500,173000,173500,216405,009,11586000
10,A069620,´ë¿õÁ¦¾à,20210806,180000,185000,177000,185000,137271,009,11586000
11,A069620,´ë¿õÁ¦¾à,20210805,179500,185000,177500,179000,228349,009,11586000
12,A069620,´ë¿õÁ¦¾à,20210804,172000,178000,170000,177500,165870,009,11586000
13,A069620,´ë¿õÁ¦¾à,20210803,174500,174500,169500,170000,84120,009,11586000
14,A069620,´ë¿õÁ¦¾à,20210802,169500,176000,169000,174000,115271,009,11586000
15,A069620,´ë¿õÁ¦¾à,20210730,171500,180000,168500,171000,502240,009,11586000
16,A069620,´ë¿õÁ¦¾à,20210729,165500,169500,163000,168000,140684,009,11586000
17,A069620,´ë¿õÁ¦¾à,20210728,159000,180000,158000,164000,589092,009,11586000
18,A069620,´ë¿õÁ¦¾à,20210727,155500,160500,151000,156000,155534,009,11586000
19,A069620,´ë¿õÁ¦¾à,20210726,155000,159000,154000,156000,62464,009,11586000
20,A069620,´ë¿õÁ¦¾à,20210723,153000,156000,153000,154000,30793,009,11586000
21,A069620,´ë¿õÁ¦¾à,20210722,154000,155000,150500,153500,61589,009,11586000
22,A069620,´ë¿õÁ¦¾à,20210721,153000,154500,151000,153000,35096,009,11586000
23,A069620,´ë¿õÁ¦¾à,20210720,152000,153000,150000,151000,52227,009,11586000
24,A069620,´ë¿õÁ¦¾à,20210719,154500,156000,153500,153500,45020,009,11586000
25,A069620,´ë¿õÁ¦¾à,20210716,157000,158000,153500,154500,70121,009,11586000
26,A069620,´ë¿õÁ¦¾à,20210715,157500,159000,156000,157000,64653,009,11586000
27,A069620,´ë¿õÁ¦¾à,20210714,156000,159000,154000,156000,88976,009,11586000
28,A069620,´ë¿õÁ¦¾à,20210713,158500,159000,155000,155500,80599,009,11586000
29,A069620,´ë¿õÁ¦¾à,20210712,159000,161000,157000,158000,64193,009,11586000
30,A069620,´ë¿õÁ¦¾à,20210709,160000,160500,155500,157500,106001,009,11586000
31,A069620,´ë¿õÁ¦¾à,20210708,161500,164000,157000,160500,130183,009,11586000
32,A069620,´ë¿õÁ¦¾à,20210707,170000,176500,156000,162500,493386,009,11586000
33,A069620,´ë¿õÁ¦¾à,20210706,174500,174500,169500,169500,67284,009,11586000
34,A069620,´ë¿õÁ¦¾à,20210705,172000,175000,171000,173500,64453,009,11586000
35,A069620,´ë¿õÁ¦¾à,20210702,176000,178500,172000,172500,74918,009,11586000
36,A069620,´ë¿õÁ¦¾à,20210701,173500,177000,170500,177000,85712,009,11586000
37,A069620,´ë¿õÁ¦¾à,20210630,177000,180000,171000,172000,130557,009,11586000
38,A069620,´ë¿õÁ¦¾à,20210629,169500,185000,169000,176500,302486,009,11586000
39,A069620,´ë¿õÁ¦¾à,20210628,169500,173500,162000,172000,142007,009,11586000
40,A069620,´ë¿õÁ¦¾à,20210625,178500,181500,168500,169500,221770,009,11586000
41,A069620,´ë¿õÁ¦¾à,20210624,173000,179000,168000,174000,294562,009,11586000
42,A069620,´ë¿õÁ¦¾à,20210623,158000,174000,155000,171000,541976,009,11586000
43,A069620,´ë¿õÁ¦¾à,20210622,151000,155000,150000,154000,69857,009,11586000
44,A069620,´ë¿õÁ¦¾à,20210621,152000,152500,149500,150000,54650,009,11586000
45,A069620,´ë¿õÁ¦¾à,20210618,153000,154000,148000,153000,94495,009,11586000
46,A069620,´ë¿õÁ¦¾à,20210617,160000,160000,152000,153500,122255,009,11586000
47,A069620,´ë¿õÁ¦¾à,20210616,162000,163000,160500,161000,40486,009,11586000
48,A069620,´ë¿õÁ¦¾à,20210615,160500,162500,157500,161500,68445,009,11586000
49,A069620,´ë¿õÁ¦¾à,20210614,159500,160500,156500,159000,52260,009,11586000
50,A069620,´ë¿õÁ¦¾à,20210611,161000,163500,158500,158500,85238,009,11586000
51,A069620,´ë¿õÁ¦¾à,20210610,163500,163500,159000,161500,79756,009,11586000
52,A069620,´ë¿õÁ¦¾à,20210609,163000,165500,160000,161000,125786,009,11586000
53,A069620,´ë¿õÁ¦¾à,20210608,168500,170000,158000,159000,263827,009,11586000
54,A069620,´ë¿õÁ¦¾à,20210607,162500,167000,160000,166500,139570,009,11586000
55,A069620,´ë¿õÁ¦¾à,20210604,160000,164000,159000,160500,67528,009,11586000
56,A069620,´ë¿õÁ¦¾à,20210603,157000,161000,157000,158000,57652,009,11586000
57,A069620,´ë¿õÁ¦¾à,20210602,157500,159500,155000,156000,50327,009,11586000
58,A069620,´ë¿õÁ¦¾à,20210601,156000,161500,154500,156500,73187,009,11586000
59,A069620,´ë¿õÁ¦¾à,20210531,157000,159000,153000,153500,66475,009,11586000
60,A069620,´ë¿õÁ¦¾à,20210528,158000,160000,153000,158000,56826,009,11586000
61,A069620,´ë¿õÁ¦¾à,20210527,162500,163000,157500,158000,71753,009,11586000
62,A069620,´ë¿õÁ¦¾à,20210526,156500,162500,156500,161000,71240,009,11586000
63,A069620,´ë¿õÁ¦¾à,20210525,157000,160000,155500,156500,82030,009,11586000
64,A069620,´ë¿õÁ¦¾à,20210524,162500,165000,151500,156000,161463,009,11586000
65,A069620,´ë¿õÁ¦¾à,20210521,158500,166000,158000,162000,272006,009,11586000
66,A069620,´ë¿õÁ¦¾à,20210520,156000,159500,153000,157500,141771,009,11586000
67,A069620,´ë¿õÁ¦¾à,20210518,145000,158000,145000,156000,284230,009,11586000
68,A069620,´ë¿õÁ¦¾à,20210517,147500,150000,141000,145000,74317,009,11586000
69,A069620,´ë¿õÁ¦¾à,20210514,148000,151000,147000,147500,43666,009,11586000
70,A069620,´ë¿õÁ¦¾à,20210513,147000,152000,145500,147000,80007,009,11586000
71,A069620,´ë¿õÁ¦¾à,20210512,153000,154000,148000,149000,74424,009,11586000
72,A069620,´ë¿õÁ¦¾à,20210511,151000,156500,149000,153000,182312,009,11586000
73,A069620,´ë¿õÁ¦¾à,20210510,145000,151500,143500,150500,163718,009,11586000
74,A069620,´ë¿õÁ¦¾à,20210507,139500,153500,139500,143500,336066,009,11586000
75,A069620,´ë¿õÁ¦¾à,20210506,132000,137000,131000,136000,60566,009,11586000
76,A069620,´ë¿õÁ¦¾à,20210504,125500,135000,123500,134000,102813,009,11586000
77,A069620,´ë¿õÁ¦¾à,20210503,133500,133500,126500,126500,62429,009,11586000
78,A069620,´ë¿õÁ¦¾à,20210430,138000,139000,131500,133500,125749,009,11586000
79,A069620,´ë¿õÁ¦¾à,20210429,143000,145000,140500,140500,82845,009,11586000
80,A069620,´ë¿õÁ¦¾à,20210428,140000,146500,137500,143000,129818,009,11586000
81,A069620,´ë¿õÁ¦¾à,20210427,143000,143500,140000,140000,42975,009,11586000
82,A069620,´ë¿õÁ¦¾à,20210426,142500,144500,141500,142500,44820,009,11586000
83,A069620,´ë¿õÁ¦¾à,20210423,145000,146000,142000,142000,56834,009,11586000
84,A069620,´ë¿õÁ¦¾à,20210422,145000,146000,142000,145500,86037,009,11586000
85,A069620,´ë¿õÁ¦¾à,20210421,138000,143500,137500,143000,95626,009,11586000
86,A069620,´ë¿õÁ¦¾à,20210420,140500,142000,137500,139000,41714,009,11586000
87,A069620,´ë¿õÁ¦¾à,20210419,141500,143000,140000,140500,53358,009,11586000
88,A069620,´ë¿õÁ¦¾à,20210416,138500,142000,138000,140000,70333,009,11586000
89,A069620,´ë¿õÁ¦¾à,20210415,139000,142500,137500,139000,100720,009,11586000
90,A069620,´ë¿õÁ¦¾à,20210414,137000,148500,135000,139000,386416,009,11586000
91,A069620,´ë¿õÁ¦¾à,20210413,134500,137500,133000,136500,76130,009,11586000
92,A069620,´ë¿õÁ¦¾à,20210412,132000,135000,130500,134500,78774,009,11586000
93,A069620,´ë¿õÁ¦¾à,20210409,129000,133500,129000,131000,67258,009,11586000
94,A069620,´ë¿õÁ¦¾à,20210408,126500,131000,124500,129000,62613,009,11586000
95,A069620,´ë¿õÁ¦¾à,20210407,125500,126500,124000,126000,34998,009,11586000
96,A069620,´ë¿õÁ¦¾à,20210406,128000,128000,125000,125500,42238,009,11586000
97,A069620,´ë¿õÁ¦¾à,20210405,129500,130000,126000,127500,66808,009,11586000
98,A069620,´ë¿õÁ¦¾à,20210402,131000,133000,130500,131000,36981,009,11586000
99,A069620,´ë¿õÁ¦¾à,20210401,134000,134000,130500,131500,41361,009,11586000
100,A069620,´ë¿õÁ¦¾à,20210331,132500,135000,131000,133500,50276,009,11586000
101,A069620,´ë¿õÁ¦¾à,20210330,133000,133000,131000,132500,38677,009,11586000
102,A069620,´ë¿õÁ¦¾à,20210329,130000,134000,128500,132500,79639,009,11586000
103,A069620,´ë¿õÁ¦¾à,20210326,128000,129500,126500,128500,36175,009,11586000
104,A069620,´ë¿õÁ¦¾à,20210325,129500,130500,127000,128000,43652,009,11586000
105,A069620,´ë¿õÁ¦¾à,20210324,129500,133000,128000,129500,67878,009,11586000
106,A069620,´ë¿õÁ¦¾à,20210323,128500,131000,126500,127000,42279,009,11586000
107,A069620,´ë¿õÁ¦¾à,20210322,132500,132500,128500,128500,45804,009,11586000
108,A069620,´ë¿õÁ¦¾à,20210319,130500,133500,128000,131500,389252,009,11586000
109,A069620,´ë¿õÁ¦¾à,20210318,135000,136500,130000,130500,147145,009,11586000
110,A069620,´ë¿õÁ¦¾à,20210317,127500,137500,125000,132500,242044,009,11586000
111,A069620,´ë¿õÁ¦¾à,20210316,124000,126000,123500,126000,60524,009,11586000
112,A069620,´ë¿õÁ¦¾à,20210315,124500,125500,122500,123000,36642,009,11586000
113,A069620,´ë¿õÁ¦¾à,20210312,127000,127000,123500,124500,43222,009,11586000
114,A069620,´ë¿õÁ¦¾à,20210311,120000,125000,120000,123000,47561,009,11586000
115,A069620,´ë¿õÁ¦¾à,20210310,123000,125000,120000,120000,56926,009,11586000
116,A069620,´ë¿õÁ¦¾à,20210309,122500,125000,118000,121500,110977,009,11586000
117,A069620,´ë¿õÁ¦¾à,20210308,129500,129500,124000,125000,81886,009,11586000
118,A069620,´ë¿õÁ¦¾à,20210305,126500,129500,125500,128500,87052,009,11586000
119,A069620,´ë¿õÁ¦¾à,20210304,134500,135000,128500,130500,108826,009,11586000
120,A069620,´ë¿õÁ¦¾à,20210303,135500,138000,135000,136000,69331,009,11586000
121,A069620,´ë¿õÁ¦¾à,20210302,137500,142000,134000,135500,110140,009,11586000
122,A069620,´ë¿õÁ¦¾à,20210226,137000,138000,133000,135500,119429,009,11586000
123,A069620,´ë¿õÁ¦¾à,20210225,137000,142000,135500,141000,130566,009,11586000
124,A069620,´ë¿õÁ¦¾à,20210224,146000,147000,136000,136500,144610,009,11586000
125,A069620,´ë¿õÁ¦¾à,20210223,151000,152500,143500,143500,235270,009,11586000
126,A069620,´ë¿õÁ¦¾à,20210222,160500,164500,146000,155500,1150456,009,11586000
127,A069620,´ë¿õÁ¦¾à,20210219,136000,137500,132000,136000,97519,009,11586000
128,A069620,´ë¿õÁ¦¾à,20210218,136000,140000,136000,137500,103664,009,11586000
129,A069620,´ë¿õÁ¦¾à,20210217,141500,141500,136500,137500,131251,009,11586000
130,A069620,´ë¿õÁ¦¾à,20210216,147000,148000,137000,141000,319703,009,11586000
131,A069620,´ë¿õÁ¦¾à,20210215,149000,149500,144000,147500,102113,009,11586000
132,A069620,´ë¿õÁ¦¾à,20210210,149000,151000,147500,149500,54864,009,11586000
133,A069620,´ë¿õÁ¦¾à,20210209,150500,152500,148000,149000,81317,009,11586000
134,A069620,´ë¿õÁ¦¾à,20210208,152500,155000,148500,150000,73908,009,11586000
135,A069620,´ë¿õÁ¦¾à,20210205,151500,159000,150000,153000,204669,009,11586000
136,A069620,´ë¿õÁ¦¾à,20210204,157500,163500,149500,150500,199368,009,11586000
137,A069620,´ë¿õÁ¦¾à,20210203,163000,163500,158000,159500,106870,009,11586000
138,A069620,´ë¿õÁ¦¾à,20210202,158000,164000,155500,161500,128937,009,11586000
139,A069620,´ë¿õÁ¦¾à,20210201,148000,162500,146000,157500,147683,009,11586000
140,A069620,´ë¿õÁ¦¾à,20210129,157500,160500,146500,151500,169895,009,11586000
141,A069620,´ë¿õÁ¦¾à,20210128,156000,161000,156000,156500,127932,009,11586000
142,A069620,´ë¿õÁ¦¾à,20210127,169000,171000,162500,163000,170666,009,11586000
143,A069620,´ë¿õÁ¦¾à,20210126,165000,175000,164000,169000,351022,009,11586000
144,A069620,´ë¿õÁ¦¾à,20210125,169000,174000,163000,163000,335010,009,11586000
145,A069620,´ë¿õÁ¦¾à,20210122,161000,161000,157000,158000,140912,009,11586000
146,A069620,´ë¿õÁ¦¾à,20210121,163000,165000,160000,161000,120864,009,11586000
147,A069620,´ë¿õÁ¦¾à,20210120,159000,168500,155000,162500,242834,009,11586000
148,A069620,´ë¿õÁ¦¾à,20210119,164000,166500,156500,160000,237286,009,11586000
149,A069620,´ë¿õÁ¦¾à,20210118,173500,175000,166000,166000,250259,009,11586000
150,A069620,´ë¿õÁ¦¾à,20210115,172500,181500,168500,174000,558889,009,11586000
151,A069620,´ë¿õÁ¦¾à,20210114,170000,180000,168500,170000,422201,009,11586000
152,A069620,´ë¿õÁ¦¾à,20210113,171000,172000,166500,167500,203721,009,11586000
153,A069620,´ë¿õÁ¦¾à,20210112,171500,184500,171000,174000,1044798,009,11586000
154,A069620,´ë¿õÁ¦¾à,20210111,172500,173000,160500,168000,330545,009,11586000
155,A069620,´ë¿õÁ¦¾à,20210108,183000,183000,173000,175500,281787,009,11586000
156,A069620,´ë¿õÁ¦¾à,20210107,187000,187000,179000,180500,261232,009,11586000
157,A069620,´ë¿õÁ¦¾à,20210106,186000,193500,180000,184000,599671,009,11586000
158,A069620,´ë¿õÁ¦¾à,20210105,175000,207000,158500,190500,2903141,009,11586000
159,A069620,´ë¿õÁ¦¾à,20210104,177000,186000,168000,172000,787288,009,11586000
160,A069620,´ë¿õÁ¦¾à,20201230,162000,170500,159000,165000,475655,009,11586000
161,A069620,´ë¿õÁ¦¾à,20201229,156500,164500,155500,164500,541837,009,11586000
162,A069620,´ë¿õÁ¦¾à,20201228,156500,161000,150000,154500,773293,009,11586000
163,A069620,´ë¿õÁ¦¾à,20201224,169500,173500,149500,157000,1855893,009,11586000
164,A069620,´ë¿õÁ¦¾à,20201223,224000,232000,167000,167000,612231,009,11586000
165,A069620,´ë¿õÁ¦¾à,20201222,285500,286500,238000,238500,633248,009,11586000
166,A069620,´ë¿õÁ¦¾à,20201221,266000,275500,266000,275500,314609,009,11586000
167,A069620,´ë¿õÁ¦¾à,20201218,175500,222000,175500,212000,5918965,009,11586000
168,A069620,´ë¿õÁ¦¾à,20201217,144000,175500,137500,175500,6454045,009,11586000
169,A069620,´ë¿õÁ¦¾à,20201216,135000,140500,132500,135000,610124,009,11586000
170,A069620,´ë¿õÁ¦¾à,20201215,135000,148000,128000,135000,1756956,009,11586000
171,A069620,´ë¿õÁ¦¾à,20201214,149500,153500,132000,133500,1616439,009,11586000
172,A069620,´ë¿õÁ¦¾à,20201211,136000,161000,132000,142500,6403432,009,11586000
173,A069620,´ë¿õÁ¦¾à,20201210,127000,150000,122000,139000,4850359,009,11586000
174,A069620,´ë¿õÁ¦¾à,20201209,111000,120000,110000,117000,696234,009,11586000
175,A069620,´ë¿õÁ¦¾à,20201208,117500,118000,111000,111000,211472,009,11586000
176,A069620,´ë¿õÁ¦¾à,20201207,120000,121000,114500,119000,261890,009,11586000
177,A069620,´ë¿õÁ¦¾à,20201204,126000,126500,118500,118500,835147,009,11586000
178,A069620,´ë¿õÁ¦¾à,20201203,110500,117000,107500,113500,619816,009,11586000
179,A069620,´ë¿õÁ¦¾à,20201202,111500,112500,107500,110500,289641,009,11586000
180,A069620,´ë¿õÁ¦¾à,20201201,105000,125500,102500,111000,2574960,009,11586000
181,A069620,´ë¿õÁ¦¾à,20201130,102500,104000,101500,103500,104519,009,11586000
182,A069620,´ë¿õÁ¦¾à,20201127,104000,104000,100500,102000,90502,009,11586000
183,A069620,´ë¿õÁ¦¾à,20201126,104500,107000,102500,104000,187288,009,11586000
184,A069620,´ë¿õÁ¦¾à,20201125,98600,110500,98100,102500,753229,009,11586000
185,A069620,´ë¿õÁ¦¾à,20201124,98400,98400,96200,97300,88544,009,11586000
186,A069620,´ë¿õÁ¦¾à,20201123,96300,101000,95200,97500,202170,009,11586000
187,A069620,´ë¿õÁ¦¾à,20201120,98200,101500,95800,96300,173904,009,11586000
188,A069620,´ë¿õÁ¦¾à,20201119,93100,99900,92400,95700,220740,009,11586000
189,A069620,´ë¿õÁ¦¾à,20201118,92000,108000,90700,94800,449126,009,11586000
190,A069620,´ë¿õÁ¦¾à,20201117,94300,94300,92100,92200,90325,009,11586000
191,A069620,´ë¿õÁ¦¾à,20201116,95600,97600,95100,95100,98938,009,11586000
192,A069620,´ë¿õÁ¦¾à,20201113,95400,95400,93000,94200,56586,009,11586000
193,A069620,´ë¿õÁ¦¾à,20201112,94000,95800,93500,95300,52246,009,11586000
194,A069620,´ë¿õÁ¦¾à,20201111,95000,95300,92200,94400,63409,009,11586000
195,A069620,´ë¿õÁ¦¾à,20201110,96000,96000,94300,95000,51647,009,11586000
196,A069620,´ë¿õÁ¦¾à,20201109,96400,97000,95100,96300,58864,009,11586000
197,A069620,´ë¿õÁ¦¾à,20201106,97500,97500,95100,96200,54211,009,11586000
198,A069620,´ë¿õÁ¦¾à,20201105,98400,98800,96300,97200,99806,009,11586000
199,A069620,´ë¿õÁ¦¾à,20201104,93000,96000,92400,95100,97388,009,11586000
200,A069620,´ë¿õÁ¦¾à,20201103,91100,93400,91100,92700,41105,009,11586000
201,A069620,´ë¿õÁ¦¾à,20201102,91800,91800,90800,90800,26791,009,11586000
202,A069620,´ë¿õÁ¦¾à,20201030,93400,93900,90900,91200,36347,009,11586000
203,A069620,´ë¿õÁ¦¾à,20201029,92300,93400,90600,93400,31912,009,11586000
204,A069620,´ë¿õÁ¦¾à,20201028,89200,94000,88300,92900,42734,009,11586000
205,A069620,´ë¿õÁ¦¾à,20201027,90000,91600,88200,90400,73959,009,11586000
206,A069620,´ë¿õÁ¦¾à,20201026,99300,99500,90600,91900,170724,009,11586000
207,A069620,´ë¿õÁ¦¾à,20201023,101000,101500,99800,100000,45165,009,11586000
208,A069620,´ë¿õÁ¦¾à,20201022,102000,102000,100000,101000,41140,009,11586000
209,A069620,´ë¿õÁ¦¾à,20201021,104000,104500,102000,102500,48251,009,11586000
210,A069620,´ë¿õÁ¦¾à,20201020,108000,109500,102500,103500,130775,009,11586000
211,A069620,´ë¿õÁ¦¾à,20201019,99900,103000,99900,102000,68001,009,11586000
212,A069620,´ë¿õÁ¦¾à,20201016,102500,102500,99300,100500,64193,009,11586000
213,A069620,´ë¿õÁ¦¾à,20201015,104500,105500,101000,101500,65499,009,11586000
214,A069620,´ë¿õÁ¦¾à,20201014,107500,108000,104500,105500,50710,009,11586000
215,A069620,´ë¿õÁ¦¾à,20201013,109000,109500,107000,107500,40341,009,11586000
216,A069620,´ë¿õÁ¦¾à,20201012,108000,110000,106000,108000,115322,009,11586000
217,A069620,´ë¿õÁ¦¾à,20201008,107500,108500,106000,106500,42991,009,11586000
218,A069620,´ë¿õÁ¦¾à,20201007,107500,107500,106000,107000,32851,009,11586000
219,A069620,´ë¿õÁ¦¾à,20201006,106000,110000,105000,106500,105873,009,11586000
220,A069620,´ë¿õÁ¦¾à,20201005,107500,108000,105000,106500,53994,009,11586000
221,A069620,´ë¿õÁ¦¾à,20200929,104000,111000,103000,105000,238743,009,11586000
222,A069620,´ë¿õÁ¦¾à,20200928,102000,104500,102000,102500,56193,009,11586000
223,A069620,´ë¿õÁ¦¾à,20200925,101000,111000,99500,102000,195629,009,11586000
224,A069620,´ë¿õÁ¦¾à,20200924,104000,105000,99200,99600,131310,009,11586000
225,A069620,´ë¿õÁ¦¾à,20200923,111500,112000,103000,106500,102053,009,11586000
226,A069620,´ë¿õÁ¦¾à,20200922,117500,118500,110500,110500,157766,009,11586000
227,A069620,´ë¿õÁ¦¾à,20200921,114500,116500,113500,115000,92163,009,11586000
228,A069620,´ë¿õÁ¦¾à,20200918,114000,116500,113000,115500,72145,009,11586000
229,A069620,´ë¿õÁ¦¾à,20200917,115500,116000,113500,113500,59414,009,11586000
230,A069620,´ë¿õÁ¦¾à,20200916,116500,117000,115000,115500,70530,009,11586000
231,A069620,´ë¿õÁ¦¾à,20200915,117500,117500,116000,117000,60763,009,11586000
232,A069620,´ë¿õÁ¦¾à,20200914,116500,119000,116000,116500,99837,009,11586000
233,A069620,´ë¿õÁ¦¾à,20200911,116000,117000,113500,116000,77729,009,11586000
234,A069620,´ë¿õÁ¦¾à,20200910,117000,118000,116000,116000,82506,009,11586000
235,A069620,´ë¿õÁ¦¾à,20200909,116000,119500,115500,116500,132572,009,11586000
236,A069620,´ë¿õÁ¦¾à,20200908,119500,120000,116500,117500,100700,009,11586000
237,A069620,´ë¿õÁ¦¾à,20200907,116500,121000,116000,119000,205314,009,11586000
238,A069620,´ë¿õÁ¦¾à,20200904,115500,117000,114500,116000,108880,009,11586000
239,A069620,´ë¿õÁ¦¾à,20200903,116000,122000,115000,118000,292230,009,11586000
240,A069620,´ë¿õÁ¦¾à,20200902,115500,116000,114000,116000,74315,009,11586000
241,A069620,´ë¿õÁ¦¾à,20200901,115500,116500,114000,115500,87354,009,11586000
242,A069620,´ë¿õÁ¦¾à,20200831,116000,119000,113500,116000,189660,009,11586000
243,A069620,´ë¿õÁ¦¾à,20200828,114000,115000,112000,113000,152220,009,11586000
244,A069620,´ë¿õÁ¦¾à,20200827,116500,118000,113000,113500,130084,009,11586000
245,A069620,´ë¿õÁ¦¾à,20200826,118000,119000,116000,116500,181818,009,11586000
246,A069620,´ë¿õÁ¦¾à,20200825,121000,123000,117500,119000,357886,009,11586000
247,A069620,´ë¿õÁ¦¾à,20200824,119500,121000,117000,120500,232481,009,11586000
248,A069620,´ë¿õÁ¦¾à,20200821,117000,121500,111000,117000,310581,009,11586000
249,A069620,´ë¿õÁ¦¾à,20200820,111500,118000,111000,115000,209548,009,11586000
250,A069620,´ë¿õÁ¦¾à,20200819,111500,113500,110500,111500,90165,009,11586000
251,A069620,´ë¿õÁ¦¾à,20200818,114000,116000,110000,110500,167645,009,11586000
252,A069620,´ë¿õÁ¦¾à,20200814,114000,122000,113500,117000,275873,009,11586000
253,A069620,´ë¿õÁ¦¾à,20200813,117000,118000,114500,115000,154078,009,11586000
254,A069620,´ë¿õÁ¦¾à,20200812,118500,119500,116000,116500,194928,009,11586000
255,A069620,´ë¿õÁ¦¾à,20200811,117500,124500,116500,118500,668516,009,11586000
256,A069620,´ë¿õÁ¦¾à,20200810,117000,126000,115000,118500,1337180,009,11586000
257,A069620,´ë¿õÁ¦¾à,20200807,125500,132000,115000,117000,1135774,009,11586000
