,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A003490,대한항공,20210823,27600,28500,27550,28400,758102,019,347820000
1,A003490,대한항공,20210820,28400,28650,27300,27600,2550946,019,347820000
2,A003490,대한항공,20210819,28900,29100,28400,28400,1758907,019,347820000
3,A003490,대한항공,20210818,28700,29400,28500,29200,1473161,019,347820000
4,A003490,대한항공,20210817,29900,29950,28700,28700,3141240,019,347820000
5,A003490,대한항공,20210813,30000,30150,29450,29800,2090932,019,347820000
6,A003490,대한항공,20210812,30050,30450,29900,29900,1818206,019,347820000
7,A003490,대한항공,20210811,30150,30300,29850,30100,1372931,019,347820000
8,A003490,대한항공,20210810,30150,30350,29900,30000,1638296,019,347820000
9,A003490,대한항공,20210809,30450,30700,30150,30200,1384930,019,347820000
10,A003490,대한항공,20210806,31050,31150,30400,30600,1772518,019,347820000
11,A003490,대한항공,20210805,31100,31100,30550,30650,1923011,019,347820000
12,A003490,대한항공,20210804,29750,31300,29750,31200,4561687,019,347820000
13,A003490,대한항공,20210803,29600,29750,29400,29700,1255218,019,347820000
14,A003490,대한항공,20210802,29900,29950,29400,29600,1350184,019,347820000
15,A003490,대한항공,20210730,30100,30150,29900,29900,1332561,019,347820000
16,A003490,대한항공,20210729,30250,30450,30050,30150,764383,019,347820000
17,A003490,대한항공,20210728,30250,30400,29950,30150,1241849,019,347820000
18,A003490,대한항공,20210727,30050,30900,30050,30400,1537720,019,347820000
19,A003490,대한항공,20210726,30150,30200,29900,29950,1235451,019,347820000
20,A003490,대한항공,20210723,30350,30500,30000,30300,1179705,019,347820000
21,A003490,대한항공,20210722,30450,30600,30250,30400,1085743,019,347820000
22,A003490,대한항공,20210721,30600,30950,30050,30150,1851507,019,347820000
23,A003490,대한항공,20210720,29700,30200,29600,30000,1796591,019,347820000
24,A003490,대한항공,20210719,30700,30800,30200,30350,1203930,019,347820000
25,A003490,대한항공,20210716,30900,31000,30450,30900,1255195,019,347820000
26,A003490,대한항공,20210715,30700,30850,30400,30800,1005799,019,347820000
27,A003490,대한항공,20210714,30700,30700,30400,30550,1022942,019,347820000
28,A003490,대한항공,20210713,30750,31200,30600,30950,1555649,019,347820000
29,A003490,대한항공,20210712,30350,30950,30100,30500,1768542,019,347820000
30,A003490,대한항공,20210709,30350,30500,29800,30300,4359553,019,347820000
31,A003490,대한항공,20210708,31300,31900,31000,31000,2535059,019,347820000
32,A003490,대한항공,20210707,31800,31800,31300,31500,1885914,019,347820000
33,A003490,대한항공,20210706,32050,32650,32000,32250,1955885,019,347820000
