,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,Ω√∞°,∞Ì∞°,¿˙∞°,¡æ∞°,∞≈∑°∑Æ,¡ı±«¿¸ªÍæ˜¡æƒ⁄µÂ,πﬂ«‡¡÷Ωƒºˆ
0,A003830,¥Î«—»≠º∂,20210823,118500,124000,117500,123000,528,008,1328000
1,A003830,¥Î«—»≠º∂,20210820,121000,123000,116500,117000,1701,008,1328000
2,A003830,¥Î«—»≠º∂,20210819,129000,131000,120000,121000,4583,008,1328000
3,A003830,¥Î«—»≠º∂,20210818,132500,132500,130000,130500,1198,008,1328000
4,A003830,¥Î«—»≠º∂,20210817,136000,136000,131500,131500,705,008,1328000
5,A003830,¥Î«—»≠º∂,20210813,140500,141000,134000,137000,1628,008,1328000
6,A003830,¥Î«—»≠º∂,20210812,143000,144000,139500,142000,726,008,1328000
7,A003830,¥Î«—»≠º∂,20210811,143000,145000,143000,144500,189,008,1328000
8,A003830,¥Î«—»≠º∂,20210810,144500,145000,143000,143500,63,008,1328000
9,A003830,¥Î«—»≠º∂,20210809,145000,146000,144000,145500,139,008,1328000
10,A003830,¥Î«—»≠º∂,20210806,142500,152000,142500,144000,766,008,1328000
11,A003830,¥Î«—»≠º∂,20210805,145500,145500,142000,142500,723,008,1328000
12,A003830,¥Î«—»≠º∂,20210804,145500,146500,144000,144500,207,008,1328000
13,A003830,¥Î«—»≠º∂,20210803,147500,149500,144500,145000,218,008,1328000
14,A003830,¥Î«—»≠º∂,20210802,141000,148000,141000,147500,622,008,1328000
15,A003830,¥Î«—»≠º∂,20210730,146500,146500,140000,141000,1197,008,1328000
16,A003830,¥Î«—»≠º∂,20210729,146500,149000,145500,146500,126,008,1328000
17,A003830,¥Î«—»≠º∂,20210728,146500,147500,145500,146500,154,008,1328000
18,A003830,¥Î«—»≠º∂,20210727,145000,148000,144000,146500,222,008,1328000
19,A003830,¥Î«—»≠º∂,20210726,148500,148500,145000,145000,278,008,1328000
20,A003830,¥Î«—»≠º∂,20210723,148500,149000,147000,147500,223,008,1328000
21,A003830,¥Î«—»≠º∂,20210722,149000,149500,144500,148500,973,008,1328000
22,A003830,¥Î«—»≠º∂,20210721,149500,151000,148000,150500,251,008,1328000
23,A003830,¥Î«—»≠º∂,20210720,150500,152500,147000,149500,1052,008,1328000
24,A003830,¥Î«—»≠º∂,20210719,153000,154000,151000,153500,264,008,1328000
25,A003830,¥Î«—»≠º∂,20210716,155000,156500,153000,155000,600,008,1328000
26,A003830,¥Î«—»≠º∂,20210715,156000,158500,155000,156500,1294,008,1328000
27,A003830,¥Î«—»≠º∂,20210714,158500,160000,158000,158500,216,008,1328000
28,A003830,¥Î«—»≠º∂,20210713,162000,167000,157500,158500,1222,008,1328000
29,A003830,¥Î«—»≠º∂,20210712,158500,168000,156000,159000,1107,008,1328000
30,A003830,¥Î«—»≠º∂,20210709,160000,160000,156000,158000,411,008,1328000
31,A003830,¥Î«—»≠º∂,20210708,166000,166000,155000,160000,763,008,1328000
32,A003830,¥Î«—»≠º∂,20210707,164500,169000,164000,166000,203,008,1328000
33,A003830,¥Î«—»≠º∂,20210706,165500,167000,162000,167000,378,008,1328000
34,A003830,¥Î«—»≠º∂,20210705,166000,168000,165000,165500,159,008,1328000
35,A003830,¥Î«—»≠º∂,20210702,169500,171500,164500,166000,842,008,1328000
36,A003830,¥Î«—»≠º∂,20210701,167500,169500,165000,168000,682,008,1328000
37,A003830,¥Î«—»≠º∂,20210630,168000,169500,163000,167500,1212,008,1328000
38,A003830,¥Î«—»≠º∂,20210629,159000,168500,158500,166000,2748,008,1328000
39,A003830,¥Î«—»≠º∂,20210628,159000,160000,158500,158500,332,008,1328000
40,A003830,¥Î«—»≠º∂,20210625,155000,168500,152500,158500,2016,008,1328000
41,A003830,¥Î«—»≠º∂,20210624,153500,156500,151000,156500,567,008,1328000
42,A003830,¥Î«—»≠º∂,20210623,155500,156000,153000,153000,678,008,1328000
43,A003830,¥Î«—»≠º∂,20210622,155000,160500,154000,155000,1014,008,1328000
44,A003830,¥Î«—»≠º∂,20210621,162000,162000,155500,155500,1837,008,1328000
45,A003830,¥Î«—»≠º∂,20210618,168000,168000,162500,162500,1204,008,1328000
46,A003830,¥Î«—»≠º∂,20210617,163500,167500,163500,167500,949,008,1328000
47,A003830,¥Î«—»≠º∂,20210616,161500,165500,161000,164000,883,008,1328000
48,A003830,¥Î«—»≠º∂,20210615,169500,169500,162000,162000,2380,008,1328000
49,A003830,¥Î«—»≠º∂,20210614,161500,169000,161500,167000,2875,008,1328000
50,A003830,¥Î«—»≠º∂,20210611,149000,174000,149000,158500,12613,008,1328000
51,A003830,¥Î«—»≠º∂,20210610,148000,152000,148000,148000,548,008,1328000
52,A003830,¥Î«—»≠º∂,20210609,148500,151000,147500,148000,362,008,1328000
53,A003830,¥Î«—»≠º∂,20210608,147500,151000,147500,148500,247,008,1328000
54,A003830,¥Î«—»≠º∂,20210607,149500,153500,147000,150000,867,008,1328000
55,A003830,¥Î«—»≠º∂,20210604,153000,153000,149500,149500,782,008,1328000
56,A003830,¥Î«—»≠º∂,20210603,149000,153000,149000,151000,2020,008,1328000
57,A003830,¥Î«—»≠º∂,20210602,145000,148000,142500,148000,1690,008,1328000
58,A003830,¥Î«—»≠º∂,20210601,140000,145000,140000,142000,888,008,1328000
59,A003830,¥Î«—»≠º∂,20210531,141500,142500,140000,140500,445,008,1328000
60,A003830,¥Î«—»≠º∂,20210528,140000,143500,140000,141500,743,008,1328000
61,A003830,¥Î«—»≠º∂,20210527,140000,145000,140000,141000,598,008,1328000
62,A003830,¥Î«—»≠º∂,20210526,141000,142500,136000,141500,1745,008,1328000
63,A003830,¥Î«—»≠º∂,20210525,142500,142500,140500,140500,340,008,1328000
64,A003830,¥Î«—»≠º∂,20210524,141500,143500,140000,141000,163,008,1328000
65,A003830,¥Î«—»≠º∂,20210521,143000,143000,140000,141000,584,008,1328000
66,A003830,¥Î«—»≠º∂,20210520,142500,147000,141500,143000,501,008,1328000
67,A003830,¥Î«—»≠º∂,20210518,141500,144000,139000,142500,2089,008,1328000
68,A003830,¥Î«—»≠º∂,20210517,143500,143500,139500,140000,379,008,1328000
69,A003830,¥Î«—»≠º∂,20210514,142500,142500,138000,140000,388,008,1328000
70,A003830,¥Î«—»≠º∂,20210513,142500,144000,139500,139500,924,008,1328000
71,A003830,¥Î«—»≠º∂,20210512,145000,146000,140000,144000,1134,008,1328000
72,A003830,¥Î«—»≠º∂,20210511,141000,144500,138000,144500,997,008,1328000
73,A003830,¥Î«—»≠º∂,20210510,140000,141000,139000,141000,1316,008,1328000
74,A003830,¥Î«—»≠º∂,20210507,137000,142000,137000,138500,731,008,1328000
75,A003830,¥Î«—»≠º∂,20210506,137000,138000,134500,136500,458,008,1328000
76,A003830,¥Î«—»≠º∂,20210504,135500,135500,132000,133000,610,008,1328000
77,A003830,¥Î«—»≠º∂,20210503,134500,138000,131000,136500,1712,008,1328000
78,A003830,¥Î«—»≠º∂,20210430,136000,136000,133500,134500,205,008,1328000
79,A003830,¥Î«—»≠º∂,20210429,138500,142000,135000,136000,1210,008,1328000
80,A003830,¥Î«—»≠º∂,20210428,143500,144000,136500,138500,7610,008,1328000
81,A003830,¥Î«—»≠º∂,20210427,145000,145000,142000,144000,445,008,1328000
82,A003830,¥Î«—»≠º∂,20210426,140000,145000,140000,145000,550,008,1328000
83,A003830,¥Î«—»≠º∂,20210423,144000,145500,140500,141500,304,008,1328000
84,A003830,¥Î«—»≠º∂,20210422,140500,144500,140500,143500,431,008,1328000
85,A003830,¥Î«—»≠º∂,20210421,140500,145000,139000,140000,889,008,1328000
86,A003830,¥Î«—»≠º∂,20210420,142500,143000,139500,143000,419,008,1328000
87,A003830,¥Î«—»≠º∂,20210419,140500,141500,140500,140500,214,008,1328000
88,A003830,¥Î«—»≠º∂,20210416,142000,144000,140500,140500,270,008,1328000
89,A003830,¥Î«—»≠º∂,20210415,140000,143000,138000,143000,325,008,1328000
90,A003830,¥Î«—»≠º∂,20210414,141500,143000,140000,140000,955,008,1328000
91,A003830,¥Î«—»≠º∂,20210413,147000,148000,142000,143500,651,008,1328000
92,A003830,¥Î«—»≠º∂,20210412,135000,147500,135000,147000,3360,008,1328000
93,A003830,¥Î«—»≠º∂,20210409,135500,137500,135000,135000,582,008,1328000
94,A003830,¥Î«—»≠º∂,20210408,136500,138000,135000,135000,300,008,1328000
95,A003830,¥Î«—»≠º∂,20210407,135500,139000,134500,136000,894,008,1328000
96,A003830,¥Î«—»≠º∂,20210406,137000,137500,134000,135500,575,008,1328000
97,A003830,¥Î«—»≠º∂,20210405,133500,137000,133500,137000,889,008,1328000
98,A003830,¥Î«—»≠º∂,20210402,131500,135500,131500,133500,759,008,1328000
99,A003830,¥Î«—»≠º∂,20210401,133500,135500,133000,133500,591,008,1328000
100,A003830,¥Î«—»≠º∂,20210331,135000,135000,131000,133500,1186,008,1328000
101,A003830,¥Î«—»≠º∂,20210330,137500,138000,132000,135000,1133,008,1328000
102,A003830,¥Î«—»≠º∂,20210329,134500,144000,134000,138000,1236,008,1328000
103,A003830,¥Î«—»≠º∂,20210326,133000,137000,132000,134500,799,008,1328000
104,A003830,¥Î«—»≠º∂,20210325,134500,134500,130500,134500,1153,008,1328000
105,A003830,¥Î«—»≠º∂,20210324,133000,135500,132500,135500,772,008,1328000
106,A003830,¥Î«—»≠º∂,20210323,137500,137500,134000,136500,750,008,1328000
107,A003830,¥Î«—»≠º∂,20210322,140000,144500,135500,137000,3183,008,1328000
108,A003830,¥Î«—»≠º∂,20210319,128500,140000,128000,137000,2755,008,1328000
109,A003830,¥Î«—»≠º∂,20210318,125000,130500,124000,129500,1781,008,1328000
110,A003830,¥Î«—»≠º∂,20210317,125000,125000,122500,124000,356,008,1328000
111,A003830,¥Î«—»≠º∂,20210316,120000,125500,120000,123000,2117,008,1328000
112,A003830,¥Î«—»≠º∂,20210315,118000,121500,117500,119500,398,008,1328000
113,A003830,¥Î«—»≠º∂,20210312,119000,119500,118000,119500,190,008,1328000
114,A003830,¥Î«—»≠º∂,20210311,117500,121000,115000,119500,1811,008,1328000
115,A003830,¥Î«—»≠º∂,20210310,117500,119000,117000,117500,355,008,1328000
116,A003830,¥Î«—»≠º∂,20210309,120000,120500,116500,117500,556,008,1328000
117,A003830,¥Î«—»≠º∂,20210308,116500,120500,111500,117500,1888,008,1328000
118,A003830,¥Î«—»≠º∂,20210305,112000,118000,112000,115500,453,008,1328000
119,A003830,¥Î«—»≠º∂,20210304,115000,116000,113000,113500,447,008,1328000
120,A003830,¥Î«—»≠º∂,20210303,118000,118000,114500,116500,366,008,1328000
121,A003830,¥Î«—»≠º∂,20210302,115500,118500,114000,118000,1601,008,1328000
122,A003830,¥Î«—»≠º∂,20210226,114500,116500,110000,115000,334,008,1328000
123,A003830,¥Î«—»≠º∂,20210225,114000,114500,112000,114500,1666,008,1328000
124,A003830,¥Î«—»≠º∂,20210224,120000,120000,113000,113000,947,008,1328000
125,A003830,¥Î«—»≠º∂,20210223,120000,120000,118000,119500,467,008,1328000
126,A003830,¥Î«—»≠º∂,20210222,121000,121000,117500,120000,813,008,1328000
127,A003830,¥Î«—»≠º∂,20210219,119500,120000,115500,120000,1140,008,1328000
128,A003830,¥Î«—»≠º∂,20210218,117500,122500,117500,120000,1986,008,1328000
129,A003830,¥Î«—»≠º∂,20210217,117500,118500,116500,118500,673,008,1328000
130,A003830,¥Î«—»≠º∂,20210216,117500,119500,115500,117500,1042,008,1328000
131,A003830,¥Î«—»≠º∂,20210215,120500,126000,116500,117500,921,008,1328000
132,A003830,¥Î«—»≠º∂,20210210,122000,122500,117000,118000,1957,008,1328000
133,A003830,¥Î«—»≠º∂,20210209,126000,127500,121500,122000,1174,008,1328000
134,A003830,¥Î«—»≠º∂,20210208,122500,127500,122500,126000,828,008,1328000
135,A003830,¥Î«—»≠º∂,20210205,134000,134000,123500,126000,2595,008,1328000
136,A003830,¥Î«—»≠º∂,20210204,115500,133500,111000,129000,17845,008,1328000
137,A003830,¥Î«—»≠º∂,20210203,112000,114500,111500,114500,1728,008,1328000
138,A003830,¥Î«—»≠º∂,20210202,111500,114500,111000,111000,1913,008,1328000
139,A003830,¥Î«—»≠º∂,20210201,110000,113000,108000,111000,2209,008,1328000
140,A003830,¥Î«—»≠º∂,20210129,111000,112000,107000,110500,1133,008,1328000
141,A003830,¥Î«—»≠º∂,20210128,109000,112000,106500,112000,2918,008,1328000
142,A003830,¥Î«—»≠º∂,20210127,111000,111500,109000,110500,1145,008,1328000
143,A003830,¥Î«—»≠º∂,20210126,111500,112000,110500,111000,1259,008,1328000
144,A003830,¥Î«—»≠º∂,20210125,112000,112000,110000,111500,529,008,1328000
145,A003830,¥Î«—»≠º∂,20210122,110500,113000,110500,111000,1982,008,1328000
146,A003830,¥Î«—»≠º∂,20210121,109000,112000,109000,110000,2159,008,1328000
147,A003830,¥Î«—»≠º∂,20210120,110000,115500,109000,109000,1969,008,1328000
148,A003830,¥Î«—»≠º∂,20210119,107000,118000,106500,109000,3324,008,1328000
149,A003830,¥Î«—»≠º∂,20210118,107500,112000,105000,106000,3859,008,1328000
150,A003830,¥Î«—»≠º∂,20210115,109500,111500,107000,109500,2415,008,1328000
151,A003830,¥Î«—»≠º∂,20210114,107500,112000,107500,108500,3602,008,1328000
152,A003830,¥Î«—»≠º∂,20210113,106500,108000,104500,107500,1263,008,1328000
153,A003830,¥Î«—»≠º∂,20210112,106500,107500,103500,105500,918,008,1328000
154,A003830,¥Î«—»≠º∂,20210111,107500,109500,104500,107500,878,008,1328000
155,A003830,¥Î«—»≠º∂,20210108,109500,120000,108500,109000,6712,008,1328000
156,A003830,¥Î«—»≠º∂,20210107,106000,109000,105000,109000,2635,008,1328000
157,A003830,¥Î«—»≠º∂,20210106,102500,106000,102500,105500,4045,008,1328000
158,A003830,¥Î«—»≠º∂,20210105,103500,104500,102500,102500,601,008,1328000
159,A003830,¥Î«—»≠º∂,20210104,102000,104000,102000,103500,2600,008,1328000
160,A003830,¥Î«—»≠º∂,20201230,100500,102500,100000,102000,569,008,1328000
161,A003830,¥Î«—»≠º∂,20201229,99600,102500,99600,100500,622,008,1328000
162,A003830,¥Î«—»≠º∂,20201228,101000,102500,100000,100500,423,008,1328000
163,A003830,¥Î«—»≠º∂,20201224,101000,104500,101000,101000,1692,008,1328000
164,A003830,¥Î«—»≠º∂,20201223,102500,103000,100500,101000,1636,008,1328000
165,A003830,¥Î«—»≠º∂,20201222,104500,108000,102500,102500,1130,008,1328000
166,A003830,¥Î«—»≠º∂,20201221,104000,108500,102000,106000,2522,008,1328000
167,A003830,¥Î«—»≠º∂,20201218,100000,106000,100000,104500,1150,008,1328000
168,A003830,¥Î«—»≠º∂,20201217,102000,104000,100000,100000,393,008,1328000
169,A003830,¥Î«—»≠º∂,20201216,99000,103000,99000,102000,400,008,1328000
170,A003830,¥Î«—»≠º∂,20201215,101000,103000,99400,100000,941,008,1328000
171,A003830,¥Î«—»≠º∂,20201214,103000,104000,99800,101500,720,008,1328000
172,A003830,¥Î«—»≠º∂,20201211,99000,108500,98900,102000,981,008,1328000
173,A003830,¥Î«—»≠º∂,20201210,97500,99300,97100,99000,275,008,1328000
174,A003830,¥Î«—»≠º∂,20201209,98300,99200,96000,97300,604,008,1328000
175,A003830,¥Î«—»≠º∂,20201208,100500,100500,96100,99000,1641,008,1328000
176,A003830,¥Î«—»≠º∂,20201207,102500,103500,100000,100000,726,008,1328000
177,A003830,¥Î«—»≠º∂,20201204,104500,104500,100000,103500,952,008,1328000
178,A003830,¥Î«—»≠º∂,20201203,103500,105000,102500,105000,286,008,1328000
179,A003830,¥Î«—»≠º∂,20201202,103000,105500,102000,104000,918,008,1328000
180,A003830,¥Î«—»≠º∂,20201201,102000,107500,102000,103500,935,008,1328000
181,A003830,¥Î«—»≠º∂,20201130,106000,107000,101000,102000,1628,008,1328000
182,A003830,¥Î«—»≠º∂,20201127,107000,107000,103500,106000,837,008,1328000
183,A003830,¥Î«—»≠º∂,20201126,110500,112000,105500,107000,848,008,1328000
184,A003830,¥Î«—»≠º∂,20201125,115500,115500,107000,108000,2863,008,1328000
