,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A094170,동운아나텍,20210823,5930,5930,5680,5900,56473,359,17577000
1,A094170,동운아나텍,20210820,6030,6130,5780,5850,198654,359,17577000
2,A094170,동운아나텍,20210819,6310,6370,5970,6020,182035,359,17577000
3,A094170,동운아나텍,20210818,6150,6390,6150,6330,123080,359,17577000
4,A094170,동운아나텍,20210817,6440,6440,6050,6290,303377,359,17577000
5,A094170,동운아나텍,20210813,6770,6800,6440,6450,272237,359,17577000
6,A094170,동운아나텍,20210812,6790,6860,6740,6780,120604,359,17577000
7,A094170,동운아나텍,20210811,6860,6920,6760,6760,127024,359,17577000
8,A094170,동운아나텍,20210810,7070,7070,6820,6860,255449,359,17577000
9,A094170,동운아나텍,20210809,7090,7130,7000,7050,169930,359,17577000
10,A094170,동운아나텍,20210806,7140,7150,7010,7100,193540,359,17577000
11,A094170,동운아나텍,20210805,6990,7140,6940,7110,222327,359,17577000
12,A094170,동운아나텍,20210804,7000,7030,6890,6970,170998,359,17577000
13,A094170,동운아나텍,20210803,6960,7040,6910,6990,130593,359,17577000
14,A094170,동운아나텍,20210802,6990,7040,6830,6950,212333,359,17577000
15,A094170,동운아나텍,20210730,7080,7100,6920,6990,170426,359,17577000
16,A094170,동운아나텍,20210729,7130,7170,7030,7090,93165,359,17577000
17,A094170,동운아나텍,20210728,7080,7170,6950,7100,136948,359,17577000
18,A094170,동운아나텍,20210727,7010,7140,7010,7060,124753,359,17577000
19,A094170,동운아나텍,20210726,7280,7280,6930,7060,280024,359,17577000
20,A094170,동운아나텍,20210723,7360,7380,7150,7200,188029,359,17577000
21,A094170,동운아나텍,20210722,7300,7400,7270,7340,198192,359,17577000
22,A094170,동운아나텍,20210721,7160,7320,7160,7270,211212,359,17577000
23,A094170,동운아나텍,20210720,7080,7240,7000,7150,331429,359,17577000
24,A094170,동운아나텍,20210719,7400,7450,7120,7200,562980,359,17577000
25,A094170,동운아나텍,20210716,7770,7850,7320,7500,684899,359,17577000
26,A094170,동운아나텍,20210715,8060,8130,7760,7810,530588,359,17577000
27,A094170,동운아나텍,20210714,8350,8350,8020,8050,485779,359,17577000
28,A094170,동운아나텍,20210713,8340,8580,8190,8380,715023,359,17577000
29,A094170,동운아나텍,20210712,8040,8350,8010,8160,273136,359,17577000
30,A094170,동운아나텍,20210709,8030,8220,7730,8150,628040,359,17577000
31,A094170,동운아나텍,20210708,8120,8540,7940,8170,1372562,359,17577000
32,A094170,동운아나텍,20210707,7650,8090,7440,8020,919198,359,17577000
33,A094170,동운아나텍,20210706,7310,7950,7270,7650,1145260,359,17577000
34,A094170,동운아나텍,20210705,7430,7430,7200,7310,252139,359,17577000
35,A094170,동운아나텍,20210702,7190,7190,7090,7100,104639,359,17577000
36,A094170,동운아나텍,20210701,7200,7240,7100,7160,125642,359,17577000
37,A094170,동운아나텍,20210630,7260,7260,7150,7200,127447,359,17577000
38,A094170,동운아나텍,20210629,7240,7260,7110,7210,69452,359,17577000
39,A094170,동운아나텍,20210628,7340,7340,7050,7240,127600,359,17577000
40,A094170,동운아나텍,20210625,7230,7390,7190,7270,135515,359,17577000
41,A094170,동운아나텍,20210624,7340,7340,7000,7160,288648,359,17577000
42,A094170,동운아나텍,20210623,7370,7370,7140,7310,239795,359,17577000
43,A094170,동운아나텍,20210622,7400,7480,7260,7290,253891,359,17577000
44,A094170,동운아나텍,20210621,7540,7550,7350,7390,233838,359,17577000
45,A094170,동운아나텍,20210618,7680,7680,7500,7570,267162,359,17577000
46,A094170,동운아나텍,20210617,7600,7740,7500,7650,257562,359,17577000
47,A094170,동운아나텍,20210616,7620,7760,7540,7620,271388,359,17577000
48,A094170,동운아나텍,20210615,7450,7900,7380,7590,698647,359,17577000
49,A094170,동운아나텍,20210614,7630,7630,7450,7450,180246,359,17577000
50,A094170,동운아나텍,20210611,7320,7640,7320,7600,224328,359,17577000
51,A094170,동운아나텍,20210610,7300,7380,7210,7320,106148,359,17577000
52,A094170,동운아나텍,20210609,7390,7540,7260,7300,219064,359,17577000
53,A094170,동운아나텍,20210608,7490,7530,7270,7280,275397,359,17577000
54,A094170,동운아나텍,20210607,7590,7720,7480,7540,266581,359,17577000
55,A094170,동운아나텍,20210604,7650,7730,7440,7630,398281,359,17577000
56,A094170,동운아나텍,20210603,7500,7920,7420,7700,671938,359,17577000
57,A094170,동운아나텍,20210602,7080,7490,7020,7490,449400,359,17577000
58,A094170,동운아나텍,20210601,7020,7210,7010,7070,286004,359,17577000
59,A094170,동운아나텍,20210531,6930,7090,6850,7020,233720,359,17577000
60,A094170,동운아나텍,20210528,6790,6950,6750,6910,152380,359,17577000
61,A094170,동운아나텍,20210527,6890,6940,6770,6810,143689,359,17577000
62,A094170,동운아나텍,20210526,6800,7010,6720,6890,194817,359,17577000
63,A094170,동운아나텍,20210525,6770,6800,6680,6780,107041,359,17577000
