,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A219420,링크제니시스,20210823,8310,8370,8180,8340,109414,355,11469000
1,A219420,링크제니시스,20210820,8780,9030,8170,8290,279385,355,11469000
2,A219420,링크제니시스,20210819,8810,9250,8720,8770,335428,355,11469000
3,A219420,링크제니시스,20210818,8850,9040,8640,8890,255271,355,11469000
4,A219420,링크제니시스,20210817,9360,9380,8720,8900,323832,355,11469000
5,A219420,링크제니시스,20210813,9720,9760,9260,9330,366549,355,11469000
6,A219420,링크제니시스,20210812,9810,10050,9440,9700,455535,355,11469000
7,A219420,링크제니시스,20210811,10400,10450,9820,9880,766364,355,11469000
8,A219420,링크제니시스,20210810,10800,11200,10450,10450,848520,355,11469000
9,A219420,링크제니시스,20210809,10450,11100,10350,10900,1134898,355,11469000
10,A219420,링크제니시스,20210806,10400,10700,9980,10650,845266,355,11469000
11,A219420,링크제니시스,20210805,10700,10700,10300,10350,668688,355,11469000
12,A219420,링크제니시스,20210804,10350,10800,10000,10750,910348,355,11469000
13,A219420,링크제니시스,20210803,10200,11250,10000,10500,4843044,355,11469000
14,A219420,링크제니시스,20210802,10000,10150,9400,9970,1351964,355,11469000
15,A219420,링크제니시스,20210730,9750,11650,9450,10150,5801950,355,11469000
16,A219420,링크제니시스,20210729,9060,9680,8920,9140,640411,355,11469000
17,A219420,링크제니시스,20210728,8730,9450,8730,8940,608639,355,11469000
18,A219420,링크제니시스,20210727,8600,8850,8600,8730,116944,355,11469000
19,A219420,링크제니시스,20210726,8730,8870,8580,8600,158858,355,11469000
20,A219420,링크제니시스,20210723,8670,9020,8620,8730,98775,355,11469000
21,A219420,링크제니시스,20210722,8630,8760,8600,8710,90797,355,11469000
22,A219420,링크제니시스,20210721,9170,9170,8620,8650,349997,355,11469000
23,A219420,링크제니시스,20210720,8630,9310,8630,9170,586616,355,11469000
24,A219420,링크제니시스,20210719,8820,9250,8650,8800,367203,355,11469000
25,A219420,링크제니시스,20210716,8450,8960,8410,8820,724886,355,11469000
26,A219420,링크제니시스,20210715,8310,8500,8290,8450,219099,355,11469000
27,A219420,링크제니시스,20210714,8060,8330,8050,8280,132748,355,11469000
28,A219420,링크제니시스,20210713,8040,8070,7990,8060,51538,355,11469000
29,A219420,링크제니시스,20210712,7830,8020,7830,7990,47813,355,11469000
30,A219420,링크제니시스,20210709,8040,8050,7710,7880,144238,355,10000000
31,A219420,링크제니시스,20210708,8310,8450,8080,8090,225670,355,10000000
32,A219420,링크제니시스,20210707,8370,8420,8220,8330,142238,355,10000000
33,A219420,링크제니시스,20210706,8410,8530,8330,8370,229566,355,10000000
34,A219420,링크제니시스,20210705,8330,8450,8280,8410,146427,355,10000000
35,A219420,링크제니시스,20210702,8270,8290,8220,8290,85794,355,10000000
36,A219420,링크제니시스,20210701,8240,8280,8190,8260,59886,355,10000000
37,A219420,링크제니시스,20210630,8240,8270,8160,8240,43395,355,10000000
38,A219420,링크제니시스,20210629,8230,8310,8100,8240,50530,355,10000000
39,A219420,링크제니시스,20210628,8110,8240,8040,8230,58636,355,10000000
40,A219420,링크제니시스,20210625,8360,8460,8010,8150,255425,355,10000000
41,A219420,링크제니시스,20210624,8280,8420,8200,8370,212274,355,10000000
42,A219420,링크제니시스,20210623,8150,8560,8150,8270,481691,355,10000000
43,A219420,링크제니시스,20210622,8130,8140,8060,8140,59623,355,10000000
44,A219420,링크제니시스,20210621,8210,8210,8010,8050,75434,355,10000000
45,A219420,링크제니시스,20210618,8150,8220,8130,8210,67355,355,10000000
46,A219420,링크제니시스,20210617,8110,8240,8030,8150,99861,355,10000000
47,A219420,링크제니시스,20210616,8100,8170,8060,8100,69894,355,10000000
48,A219420,링크제니시스,20210615,8090,8120,8030,8100,44108,355,10000000
49,A219420,링크제니시스,20210614,8150,8160,8020,8090,59745,355,10000000
50,A219420,링크제니시스,20210611,8100,8130,7990,8100,51277,355,10000000
51,A219420,링크제니시스,20210610,8010,8040,7950,7980,49508,355,10000000
52,A219420,링크제니시스,20210609,8090,8140,7950,8020,72208,355,10000000
53,A219420,링크제니시스,20210608,8080,8100,8000,8090,44137,355,10000000
54,A219420,링크제니시스,20210607,8070,8200,8020,8040,55815,355,10000000
55,A219420,링크제니시스,20210604,8050,8090,7970,8040,62039,355,10000000
56,A219420,링크제니시스,20210603,8030,8100,7930,8050,81454,355,10000000
57,A219420,링크제니시스,20210602,8090,8090,7960,8020,48659,355,10000000
58,A219420,링크제니시스,20210601,7950,8090,7940,8050,60907,355,10000000
59,A219420,링크제니시스,20210531,7750,8100,7750,8000,142378,355,10000000
60,A219420,링크제니시스,20210528,7710,7830,7670,7750,26719,355,10000000
61,A219420,링크제니시스,20210527,7780,7780,7650,7690,37252,355,10000000
62,A219420,링크제니시스,20210526,7840,7840,7690,7750,20601,355,10000000
63,A219420,링크제니시스,20210525,7670,7810,7670,7740,34930,355,10000000
64,A219420,링크제니시스,20210524,7760,7790,7640,7670,34675,355,10000000
65,A219420,링크제니시스,20210521,7720,7820,7630,7770,57897,355,10000000
66,A219420,링크제니시스,20210520,7770,7800,7710,7730,31715,355,10000000
67,A219420,링크제니시스,20210518,7690,7760,7650,7750,30971,355,10000000
68,A219420,링크제니시스,20210517,7730,7830,7680,7760,50176,355,10000000
69,A219420,링크제니시스,20210514,7890,7890,7550,7730,49192,355,10000000
70,A219420,링크제니시스,20210513,7800,7940,7700,7750,76489,355,10000000
71,A219420,링크제니시스,20210512,7970,8020,7700,7820,81919,355,10000000
72,A219420,링크제니시스,20210511,7920,7970,7850,7930,39517,355,10000000
73,A219420,링크제니시스,20210510,7860,8010,7820,7970,49300,355,10000000
74,A219420,링크제니시스,20210507,7890,7930,7800,7810,58691,355,10000000
75,A219420,링크제니시스,20210506,7900,8000,7820,7850,47198,355,10000000
76,A219420,링크제니시스,20210504,7780,7920,7590,7900,75581,355,10000000
77,A219420,링크제니시스,20210503,7940,8000,7750,7780,53902,355,10000000
78,A219420,링크제니시스,20210430,7850,8040,7820,7920,60061,355,10000000
