,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A137930,마이다스 200커버드콜5%OTM,20210823,14800,14800,14800,14800,0,000,600000
1,A137930,마이다스 200커버드콜5%OTM,20210820,14800,14800,14800,14800,0,000,600000
2,A137930,마이다스 200커버드콜5%OTM,20210819,14980,15000,14960,15000,12,000,600000
3,A137930,마이다스 200커버드콜5%OTM,20210818,15165,15165,15165,15165,0,000,600000
4,A137930,마이다스 200커버드콜5%OTM,20210817,15135,15135,15135,15135,0,000,600000
5,A137930,마이다스 200커버드콜5%OTM,20210813,15280,15280,15280,15280,28,000,600000
6,A137930,마이다스 200커버드콜5%OTM,20210812,15575,15575,15575,15575,192,000,600000
7,A137930,마이다스 200커버드콜5%OTM,20210811,15670,15670,15670,15670,4,000,600000
8,A137930,마이다스 200커버드콜5%OTM,20210810,15680,15680,15680,15680,0,000,600000
9,A137930,마이다스 200커버드콜5%OTM,20210809,15780,15780,15780,15780,0,000,600000
10,A137930,마이다스 200커버드콜5%OTM,20210806,15845,15845,15845,15845,0,000,600000
11,A137930,마이다스 200커버드콜5%OTM,20210805,15870,15950,15870,15910,170,000,600000
12,A137930,마이다스 200커버드콜5%OTM,20210804,15765,15765,15765,15765,1,000,600000
13,A137930,마이다스 200커버드콜5%OTM,20210803,15685,15685,15685,15685,0,000,600000
14,A137930,마이다스 200커버드콜5%OTM,20210802,15580,15580,15580,15580,0,000,600000
15,A137930,마이다스 200커버드콜5%OTM,20210730,15535,15535,15535,15535,0,000,600000
16,A137930,마이다스 200커버드콜5%OTM,20210729,15665,15665,15665,15665,0,000,600000
17,A137930,마이다스 200커버드콜5%OTM,20210728,15665,15665,15665,15665,0,000,600000
18,A137930,마이다스 200커버드콜5%OTM,20210727,15680,15700,15665,15665,16,000,600000
19,A137930,마이다스 200커버드콜5%OTM,20210726,15640,15640,15640,15640,0,000,600000
20,A137930,마이다스 200커버드콜5%OTM,20210723,15735,15735,15735,15735,0,000,600000
21,A137930,마이다스 200커버드콜5%OTM,20210722,15715,15715,15715,15715,0,000,600000
22,A137930,마이다스 200커버드콜5%OTM,20210721,15585,15585,15585,15585,8,000,600000
23,A137930,마이다스 200커버드콜5%OTM,20210720,15610,15610,15610,15610,4,000,600000
