,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A236340,메디젠휴먼케어,20210823,6200,7000,5870,7000,4538,000,2405000
1,A236340,메디젠휴먼케어,20210820,6200,6970,6200,6900,33,000,2405000
2,A236340,메디젠휴먼케어,20210819,6980,6980,6890,6890,2,000,2405000
3,A236340,메디젠휴먼케어,20210818,6160,6160,6000,6140,72,000,2405000
4,A236340,메디젠휴먼케어,20210817,6240,6240,6000,6190,847,000,2405000
5,A236340,메디젠휴먼케어,20210813,6290,6290,6030,6050,946,000,2405000
6,A236340,메디젠휴먼케어,20210812,6290,6290,6290,6290,0,000,2405000
7,A236340,메디젠휴먼케어,20210811,6400,6400,6360,6360,22,000,2405000
8,A236340,메디젠휴먼케어,20210810,6600,6700,6100,6400,3926,000,2405000
9,A236340,메디젠휴먼케어,20210809,6350,6980,6200,6980,2632,000,2405000
10,A236340,메디젠휴먼케어,20210806,6200,6350,6020,6350,208,000,2405000
11,A236340,메디젠휴먼케어,20210805,6400,6400,6390,6390,341,000,2405000
12,A236340,메디젠휴먼케어,20210804,6390,6390,6200,6300,72,000,2405000
13,A236340,메디젠휴먼케어,20210803,6400,6600,6000,6200,2993,000,2405000
14,A236340,메디젠휴먼케어,20210802,6400,6400,6200,6390,452,000,2405000
15,A236340,메디젠휴먼케어,20210730,6490,6800,6200,6260,2784,000,2405000
16,A236340,메디젠휴먼케어,20210729,6400,6600,6400,6490,158,000,2405000
17,A236340,메디젠휴먼케어,20210728,7000,7000,6110,6290,3862,000,2405000
18,A236340,메디젠휴먼케어,20210727,6800,6800,6450,6800,1819,000,2405000
19,A236340,메디젠휴먼케어,20210726,6600,6880,6490,6600,1063,000,2405000
20,A236340,메디젠휴먼케어,20210723,6600,7000,6400,6590,644,000,2405000
21,A236340,메디젠휴먼케어,20210722,6400,6480,6200,6470,1458,000,2405000
22,A236340,메디젠휴먼케어,20210721,6600,7000,6400,6500,6336,000,2405000
23,A236340,메디젠휴먼케어,20210720,7000,7000,6400,6400,101,000,2405000
24,A236340,메디젠휴먼케어,20210719,7000,7000,6800,7000,305,000,2405000
25,A236340,메디젠휴먼케어,20210716,7000,7000,7000,7000,500,000,2405000
26,A236340,메디젠휴먼케어,20210715,7000,7190,6900,7000,949,000,2405000
27,A236340,메디젠휴먼케어,20210714,7000,7000,7000,7000,21,000,2405000
28,A236340,메디젠휴먼케어,20210713,7000,7000,6900,7000,352,000,2405000
29,A236340,메디젠휴먼케어,20210712,7770,7770,7000,7200,3076,000,2405000
30,A236340,메디젠휴먼케어,20210709,7000,7090,6990,7090,1640,000,2405000
31,A236340,메디젠휴먼케어,20210708,7200,7200,6990,6990,556,000,2405000
32,A236340,메디젠휴먼케어,20210707,6980,7180,6670,6990,1137,000,2405000
33,A236340,메디젠휴먼케어,20210706,7200,7200,6800,6990,1236,000,2405000
34,A236340,메디젠휴먼케어,20210705,7340,7340,6880,7000,191,000,2405000
35,A236340,메디젠휴먼케어,20210702,7400,7400,7000,7200,661,000,2405000
36,A236340,메디젠휴먼케어,20210701,7400,7590,7000,7200,919,000,2405000
37,A236340,메디젠휴먼케어,20210630,7200,7400,6900,7270,857,000,2405000
38,A236340,메디젠휴먼케어,20210629,7630,7630,7020,7290,458,000,2405000
39,A236340,메디젠휴먼케어,20210628,7050,7250,6810,7090,965,000,2405000
40,A236340,메디젠휴먼케어,20210625,7300,7500,6900,7320,2968,000,2405000
41,A236340,메디젠휴먼케어,20210624,7190,7380,7170,7340,1096,000,2405000
42,A236340,메디젠휴먼케어,20210623,7590,7600,6800,7000,3643,000,2405000
43,A236340,메디젠휴먼케어,20210622,7800,7800,7400,7600,275,000,2405000
44,A236340,메디젠휴먼케어,20210621,7800,7800,7300,7690,918,000,2405000
45,A236340,메디젠휴먼케어,20210618,8350,8350,7700,7800,835,000,2405000
46,A236340,메디젠휴먼케어,20210617,8100,8800,8100,8200,156,000,2405000
47,A236340,메디젠휴먼케어,20210616,7990,8200,7900,8100,511,000,2405000
48,A236340,메디젠휴먼케어,20210615,8530,8530,7360,8000,1367,000,2405000
49,A236340,메디젠휴먼케어,20210614,8570,8570,8570,8570,1,000,2405000
50,A236340,메디젠휴먼케어,20210611,8500,8500,8470,8470,21,000,2405000
51,A236340,메디젠휴먼케어,20210610,8400,8590,8400,8490,114,000,2405000
52,A236340,메디젠휴먼케어,20210609,8500,8500,8430,8440,440,000,2405000
53,A236340,메디젠휴먼케어,20210608,8460,8460,8380,8380,61,000,2405000
54,A236340,메디젠휴먼케어,20210607,8200,8590,8190,8500,380,000,2405000
55,A236340,메디젠휴먼케어,20210604,7600,8240,7600,8200,218,000,2405000
56,A236340,메디젠휴먼케어,20210603,8150,8590,7500,8240,1528,000,2405000
57,A236340,메디젠휴먼케어,20210602,8810,8810,8100,8490,455,000,2405000
58,A236340,메디젠휴먼케어,20210601,8600,8870,8300,8580,349,000,2405000
59,A236340,메디젠휴먼케어,20210531,8600,9000,8300,8300,372,000,2405000
60,A236340,메디젠휴먼케어,20210528,8680,8680,8500,8650,491,000,2405000
61,A236340,메디젠휴먼케어,20210527,8800,9000,8410,8720,1936,000,2405000
62,A236340,메디젠휴먼케어,20210526,8600,8700,8600,8700,131,000,2405000
63,A236340,메디젠휴먼케어,20210525,8000,8990,7600,8760,450,000,2405000
64,A236340,메디젠휴먼케어,20210524,8200,8580,8100,8500,1516,000,2405000
65,A236340,메디젠휴먼케어,20210521,8600,8800,8400,8590,3403,000,2405000
66,A236340,메디젠휴먼케어,20210520,8800,9000,8350,8600,7550,000,2405000
67,A236340,메디젠휴먼케어,20210518,9030,9030,9000,9030,1105,000,2405000
68,A236340,메디젠휴먼케어,20210517,9010,9190,9000,9090,3140,000,2405000
69,A236340,메디젠휴먼케어,20210514,9230,9260,9010,9220,1892,000,2405000
70,A236340,메디젠휴먼케어,20210513,9010,9260,8880,9260,2382,000,2405000
71,A236340,메디젠휴먼케어,20210512,9300,9500,9030,9280,983,000,2405000
72,A236340,메디젠휴먼케어,20210511,9300,9300,9000,9270,163,000,2405000
73,A236340,메디젠휴먼케어,20210510,9310,9310,9000,9260,365,000,2405000
74,A236340,메디젠휴먼케어,20210507,9190,9190,9020,9020,4911,000,2405000
75,A236340,메디젠휴먼케어,20210506,9200,9400,8850,9190,3053,000,2405000
76,A236340,메디젠휴먼케어,20210504,9300,9800,9000,9500,2427,000,2405000
77,A236340,메디젠휴먼케어,20210503,9200,10450,9200,9380,156,000,2405000
78,A236340,메디젠휴먼케어,20210430,8600,9110,8600,9110,1005,000,2405000
79,A236340,메디젠휴먼케어,20210429,8600,9000,8600,9000,15,000,2405000
80,A236340,메디젠휴먼케어,20210428,8500,8980,8500,8980,1485,000,2405000
81,A236340,메디젠휴먼케어,20210427,9110,9110,8800,9000,329,000,2405000
82,A236340,메디젠휴먼케어,20210426,8600,9140,8600,9020,45,000,2405000
83,A236340,메디젠휴먼케어,20210423,8900,9000,8900,9000,111,000,2405000
84,A236340,메디젠휴먼케어,20210422,9150,9150,8900,9000,1037,000,2405000
85,A236340,메디젠휴먼케어,20210421,9200,9300,9000,9000,402,000,2405000
86,A236340,메디젠휴먼케어,20210420,8860,9090,8860,9000,724,000,2405000
87,A236340,메디젠휴먼케어,20210419,8910,9200,8500,8860,2683,000,2405000
88,A236340,메디젠휴먼케어,20210416,9200,9200,8700,9180,292,000,2405000
89,A236340,메디젠휴먼케어,20210415,9210,9350,9000,9150,710,000,2405000
90,A236340,메디젠휴먼케어,20210414,9000,9100,8900,9070,1207,000,2405000
91,A236340,메디젠휴먼케어,20210413,8700,8940,8500,8790,7713,000,2405000
92,A236340,메디젠휴먼케어,20210412,8990,8990,8950,8960,206,000,2405000
